id,pop,domain
Sé,3513,BRA
Parque Dom Pedro,4142,BRA
Praça João Mendes,16177,BRA
Ladeira da Memória,24406,BRA
República,14734,BRA
Santa Ifigênia,21685,BRA
Luz,12876,BRA
Bom Retiro,11586,BRA
Ponte Pequena,7786,BRA
Canindé,2385,BRA
Bom Jardim,4240,BRA
Pari,10734,BRA
João Teodoro,790,BRA
Oriente,1659,BRA
Bresser,8384,BRA
Brás,19400,BRA
Gasômetro,8517,BRA
Independência,26014,BRA
Cambuci,19149,BRA
Glicério,24085,BRA
Aclimação,16299,BRA
Pires da Mota,11134,BRA
Centro Cultural,4061,BRA
Liberdade,10477,BRA
Treze de Maio,16336,BRA
Bexiga,11537,BRA
Bela Vista,15041,BRA
São Carlos do Pinhal,7211,BRA
Masp,9899,BRA
Higienópolis,16380,BRA
Vila Buarque,21794,BRA
Consolação,7161,BRA
Pacaembu,1501,BRA
FAAP,6308,BRA
Santa Cecília,34998,BRA
Marechal Deodoro,38425,BRA
Rudge,8821,BRA
Catumbi,5390,BRA
Belém,12896,BRA
Quarta Parada,8011,BRA
Belenzinho,22745,BRA
Celso Garcia,6743,BRA
Mooca,31316,BRA
Alto da Mooca,16539,BRA
Parque da Mooca,33025,BRA
Água Rasa,36213,BRA
Vila Bertioga,25374,BRA
Regente Feijó,24201,BRA
Ana Rosa,14480,BRA
Jardim da Glória,9330,BRA
Chácara Klabin,15500,BRA
Vila Mariana,9310,BRA
Santa Cruz,13715,BRA
Vila Clementino,8240,BRA
França Pinto,15086,BRA
Rodrigues Alves,19948,BRA
Paraíso,21677,BRA
Bosque da Saúde,33495,BRA
Saúde,48906,BRA
Planalto Paulista,20173,BRA
Mirandópolis,25895,BRA
Parque Ibirapuera,4819,BRA
Jardim Luzitânia,2000,BRA
Moema,30321,BRA
Vila Helena,25675,BRA
Bandeirantes,10389,BRA
Vila Nova Conceição,8695,BRA
Chácara Itaim,25206,BRA
Vila Olímpia,10394,BRA
Hélio Pelegrino,13047,BRA
Brooklin,30542,BRA
Vila Cordeiro,12859,BRA
Berrini,9404,BRA
Campinas,11245,BRA
Pamplona,12918,BRA
Jardins,9025,BRA
Clínicas,21791,BRA
Oscar Freire,17559,BRA
Trianon,9321,BRA
Jardim Paulistano,18612,BRA
Jardim Europa,11624,BRA
Pinheiros,12097,BRA
Vila Madalena,22812,BRA
PUC,16293,BRA
Cardoso de Almeida,4187,BRA
Zequinha de Abreu,2958,BRA
Sumaré,16343,BRA
Perdizes,38183,BRA
Vila Anglo Brasileira,12026,BRA
Pompéia,12401,BRA
Santa Marina,13993,BRA
Barra Funda,3401,BRA
Francisco Matarazzo,10101,BRA
Água Branca,5941,BRA
Vila Beatriz,15974,BRA
Alto de Pinheiros,6270,BRA
Boaçava,15115,BRA
Vila Anastácio,8618,BRA
Lapa de Baixo,8535,BRA
Lapa,23133,BRA
Vila Ipojuca,21042,BRA
Alto da Lapa,11763,BRA
Gavião Peixoto,2442,BRA
Bela Aliança,6234,BRA
Vila Hamburguesa,12180,BRA
CEASA,7340,BRA
Vila Leopoldina,15964,BRA
Emissário,5157,BRA
Vila Zatt,116427,BRA
Pirituba,62977,BRA
São Domingos,49989,BRA
Jardim Mutinga,38895,BRA
Vila Jaguara,24730,BRA
Parque do Jaraguá,65,BRA
Nova Jaraguá,50699,BRA
Parada de Taipas,160853,BRA
Parque Morro Doce,60480,BRA
Anhanguera,14880,BRA
Perus,87716,BRA
Vista Alegre,0,BRA
Jardim Damasceno,80353,BRA
Vila Souza,46084,BRA
Vila Terezinha,61111,BRA
Brasilândia,55160,BRA
Vila Morro Grande,51578,BRA
Itaberaba,33463,BRA
Freguesia do Ó,53084,BRA
Carandiru,1057,BRA
Santana,4674,BRA
Zaki Narchi,5428,BRA
Tietê,1493,BRA
Parque Anhembi,1758,BRA
Alfredo Pujol,37229,BRA
Santa Terezinha,30780,BRA
Jardim São Paulo,33816,BRA
Casa Verde,31316,BRA
Parque Peruche,49220,BRA
Limão,11622,BRA
Jardim Primavera,26314,BRA
Vila Santa Maria,44437,BRA
Cachoeirinha,80725,BRA
Jardim Peri,62641,BRA
Reserva da Cantareira,0,BRA
Mandaqui,95319,BRA
Horto Florestal,7800,BRA
ETA Guaraú,0,BRA
Parque Palmas do Tremembé,28550,BRA
Tremembé,20095,BRA
Cantareira,613,BRA
Jardim das Pedras,50345,BRA
Jardim Guapira,95704,BRA
Parada Inglesa,34958,BRA
Tucuruvi,16643,BRA
Vila Gustavo,47958,BRA
Cohab Jova Rural,30478,BRA
Jaçanã,41479,BRA
Parque Edu Chaves,16628,BRA
Vila Medeiros,54022,BRA
Jardim Brasil,60917,BRA
Jardim Japão,46285,BRA
Parque Novo Mundo,46689,BRA
Vila Maria,15569,BRA
Vila Isolina Mazzei,41475,BRA
Vila Guilherme,7682,BRA
Coroa,3430,BRA
Gomes Cardim,30190,BRA
Tatuapé,15182,BRA
Chácara do Piqueri,24765,BRA
Parque São Jorge,28464,BRA
Penha,41145,BRA
Tiquatira,38178,BRA
Vila Esperança,25791,BRA
Vila Ré,27338,BRA
Rui Barbosa,45525,BRA
Estação Eng. Goulart,35585,BRA
Cangaíba,45285,BRA
Parque Ecológico do Tietê,14036,BRA
USP Leste I,791,BRA
USP Leste II,901,BRA
Ermelino Matarazzo,66408,BRA
Parque Buturussu,44974,BRA
Ponte Rasa,44756,BRA
Burgo Paulista,45125,BRA
Limoeiro,23112,BRA
Laranja da China,25793,BRA
Pedro José Nunes,9865,BRA
Parque Cruzeiro do Sul,47349,BRA
Vila Jacuí,28862,BRA
Parada XV,48418,BRA
Itaquera,35225,BRA
Arena Corinthians,1202,BRA
Vila Campanela,36696,BRA
Araucárias,25138,BRA
Parque Guarani,25097,BRA
Rio Verde,39184,BRA
Saudade,32785,BRA
São Miguel Paulista,22036,BRA
Cidade Nitro-Operária,25398,BRA
Jardim Helena,97218,BRA
Jardim Romano,32191,BRA
Vila Curuçá,67453,BRA
Jardim Robru,73005,BRA
Lajeado,51770,BRA
Fábrica Bandeirantes,112621,BRA
Fazenda Itaim,95360,BRA
Itaim Paulista,38486,BRA
Jardim das Oliveiras,71664,BRA
Vila Califórnia,44057,BRA
Vila Carrão,40340,BRA
Jardim Anália Franco,33284,BRA
Vila Formosa,58902,BRA
Barreira Grande,42345,BRA
Aricanduva,47229,BRA
Frei Mont'Alverne,25533,BRA
Vila Matilde,39182,BRA
Cidade Patriarca,38843,BRA
Cidade A.E.Carvalho,31263,BRA
Artur Alvim,64312,BRA
Cidade Líder,47850,BRA
Santa Marcelina,34127,BRA
Parque Savoy,53136,BRA
Vila Carmosina,47363,BRA
Fazenda Caguaçu,26203,BRA
Parque do Carmo,2658,BRA
Gleba do Pêssego,45861,BRA
José Bonifácio,82492,BRA
Guaianases,62518,BRA
Juscelino Kubitschek,46798,BRA
Cidade Tiradentes,130741,BRA
Santa Etelvina,63326,BRA
Terceira Divisão,47960,BRA
Iguatemi,45674,BRA
Sítio Carrãozinho,56066,BRA
Parque São Rafael,73821,BRA
Rodolfo Pirani,74152,BRA
Ipiranga,12015,BRA
Sacomã,11154,BRA
Alto do Ipiranga,19199,BRA
Vila São José,14123,BRA
Vila Monumento,20007,BRA
Vila Independência,10687,BRA
Vila Carioca,29086,BRA
Moinho Velho,44751,BRA
Vila Heliópolis,65484,BRA
São João Clímaco,24473,BRA
Anchieta,29929,BRA
Vila das Mercês,96799,BRA
Parque do Estado,18,BRA
Água Funda,38165,BRA
Jardim da Saúde,19402,BRA
Vila Gumercindo,24420,BRA
Jardim Previdência,21157,BRA
Tamanduateí,5470,BRA
Orfanato,34306,BRA
Vila Zelina,65914,BRA
Linhas Corrente,27207,BRA
Vila Ema,43317,BRA
Parque São Lucas,67514,BRA
Vila Cardoso Franco,33860,BRA
Parque Santa Madalena,42227,BRA
Jardim Colorado,51465,BRA
Teotônio Vilela,77973,BRA
Fazenda da Juta,61190,BRA
São Mateus,62747,BRA
Cidade IV Centenário,41799,BRA
Rio Claro,19189,BRA
Cidade Satélite,31947,BRA
Joaquim Nabuco,12518,BRA
Vieira de Moraes,28477,BRA
Campo Belo,9203,BRA
Congonhas,406,BRA
Jardim Aeroporto,20430,BRA
Vila Santa Catarina,59782,BRA
Jabaquara,31646,BRA
Cidade Vargas,37520,BRA
Jardim Bom Clima,86043,BRA
Cupecê,56232,BRA
Jardim Miriam,119967,BRA
Vila Missionária,73019,BRA
Jurubatuba,24943,BRA
Vila São Pedro,38684,BRA
Campo Grande,35357,BRA
Vila Sabará,16941,BRA
Mar Paulista,51205,BRA
Pedreira,112381,BRA
Vila Socorro,11232,BRA
Parque Interlagos,26819,BRA
Jardim Represa,17821,BRA
Rio Bonito,43759,BRA
SESC Interlagos,51598,BRA
Jardim Presidente,69281,BRA
Vila Natal,63335,BRA
Grajaú,75161,BRA
Cocaia,99304,BRA
Belmira Marin,126252,BRA
Bororé,20821,BRA
Jaceguava,6889,BRA
Parelheiros,146798,BRA
Marsilac,9266,BRA
Jardim Emburá,2185,BRA
Granja Julieta,40675,BRA
Chácara Flora,12246,BRA
Santo Amaro,18546,BRA
Vila Miranda,13882,BRA
Jardim São Luís,72487,BRA
Centro Empresarial,110894,BRA
Guarapiranga,76858,BRA
Jardim Capela,111378,BRA
Riviera,38574,BRA
Jardim Turquesa,59388,BRA
Morro do Índio,25351,BRA
Jardim Ângela,76741,BRA
Capão Redondo,38097,BRA
Jardim Sônia Ingá,20522,BRA
Adventista,94024,BRA
Parque Fernanda,117262,BRA
Morumbi,12557,BRA
Jóquei Clube,2581,BRA
Fazenda Morumbi,20555,BRA
Real Parque,7997,BRA
Paraisópolis,72555,BRA
Jardim Vitória Régia,38994,BRA
Vila Suzana,57120,BRA
Parque Arariba,68050,BRA
Jardim Mitsutani,70307,BRA
Pirajussara,38259,BRA
Jardim Umarizal,59546,BRA
Portal do Morumbi,25333,BRA
Jardim Jussara,22496,BRA
Vila Sônia,31280,BRA
Jardim Maria do Carmo,44639,BRA
Jardim Cambará,46334,BRA
Jardim João XXIII,43858,BRA
Raposo Tavares,27236,BRA
Rio Pequeno,41373,BRA
Jardim Ester Yolanda,40502,BRA
Jardim Adalgiza,49756,BRA
Parque Continental,21497,BRA
Jaguaré,33885,BRA
Cidade Universitária,2283,BRA
Butantã,6873,BRA
Jardim Caxingui,8514,BRA
