"meso.id","sarscov2","denv","pop","a10casos","a100casos","sarscov2100k","denv.100k"
1101,26890,355,761057,15,17,3533.24389631788,46.6456520339475
1102,12614,693,1016168,16,19,1241.3301737508,68.1973846844223
1201,5656,5527,242796,18,20,2329.5276693191,2276.39664574375
1202,14274,4780,639139,12,16,2233.31700928906,747.881133837866
1301,8146,872,138655,18,20,5875.01352277235,628.89906602719
1302,12735,2016,404397,16,18,3149.13315380678,498.520018694501
1303,71752,714,3269348,12,13,2194.68835988093,21.8392168713762
1304,9144,348,332197,17,20,2752.583557347,104.757117011894
1401,28472,1111,497513,13,16,5722.86553316195,223.310747658855
1402,4114,501,108248,17,21,3800.53211144779,462.826103022689
1501,13226,63,812850,15,19,1627.11447376515,7.75050747370364
1502,9344,37,564199,17,19,1656.15323671258,6.55796979434561
1503,39986,424,2707279,14,15,1476.98113123915,15.6614815096634
1504,34000,494,2018738,17,19,1684.22053778153,24.4707336960022
1505,15598,939,530276,18,20,2941.48707465546,177.077597326675
1506,44131,3674,1969523,16,19,2240.69482813859,186.542629865201
1601,4481,22,69931,18,21,6407.74477699447,31.4595815875649
1602,32114,198,775800,14,15,4139.4689352926,25.5220417633411
1701,18117,5402,963390,17,19,1880.54681904525,560.728261659349
1702,8317,8994,609476,14,19,1364.61484947726,1475.6938747383
2101,32418,1541,2840284,13,15,1141.36473676576,54.255137866495
2102,34501,791,1508258,16,18,2287.47336331052,52.4446082831982
2103,23737,1414,960433,18,20,2471.48942195864,147.225261939146
2104,24237,918,1430217,17,19,1694.63794654937,64.1860640727946
2105,6688,1057,335989,18,20,1990.54135700871,314.593632529636
2201,15574,270,665149,17,20,2341.43026600055,40.5924086182194
2202,26766,5293,1528823,14,16,1750.75859010494,346.214048323449
2203,5324,1396,536061,17,24,993.170553351204,260.418124056777
2204,5329,1102,543194,18,20,981.049127935876,202.874111275161
2301,40951,207,1425980,15,18,2871.77940784583,14.5163326273861
2302,22287,974,1093206,17,19,2038.6825538828,89.0957422480301
2303,63775,4915,3808511,12,13,1674.53894711083,129.053060369262
2304,12384,1691,914346,16,20,1354.41069354489,184.940930457398
2305,10981,5512,560131,17,20,1960.43425555807,984.055515584747
2306,5451,1535,391868,17,22,1391.02963242725,391.713536190758
2307,18624,1509,938036,18,22,1985.42486642304,160.868026387047
2401,11607,3224,902526,13,17,1286.0571329801,357.219625805794
2402,3675,3335,404847,20,24,907.750335311859,823.767991364639
2403,4351,4126,462658,18,25,940.435483661798,891.803448767772
2404,31874,21392,1736822,13,15,1835.19094069513,1231.67486363024
2501,10680,2698,903911,17,20,1181.53225262222,298.480713256062
2502,3024,885,315518,19,24,958.423925100945,280.491128873789
2503,29372,2558,1269391,16,20,2313.86546777155,201.513954329281
2504,40385,12733,1529307,14,16,2640.73858290062,832.599340747149
2601,7344,8145,1073221,17,22,684.295219717095,758.930360102905
2602,4029,2883,663089,17,21,607.610743052592,434.78326438834
2603,22674,4408,2412364,16,20,939.907907761847,182.725326691992
2604,13671,4134,1405519,16,19,972.665613200533,294.126226682101
2605,48806,19344,4002878,12,14,1219.27273326841,483.252299970171
2701,4790,1122,453109,20,24,1057.1407762812,247.622536740608
2702,11418,11216,659101,18,21,1732.35968387243,1701.71187723884
2703,44623,10096,2225147,13,16,2005.39559858293,453.72283269375
2801,3141,800,247923,20,21,1266.92561803463,322.680832355207
2802,10676,998,482119,18,20,2214.39105283135,207.002835399559
2803,45907,4494,1568654,13,18,2926.52171861991,286.487651196504
2901,3500,6401,643487,21,23,543.911532012302,994.73649040307
2902,5394,1374,1036299,18,23,520.506147357085,132.587216623774
2903,18046,26014,2358073,14,19,765.285892336667,1103.18891739145
2904,10605,7936,1624932,20,23,652.642695202015,488.389667998415
2905,78981,15249,4601273,12,14,1716.5032372563,331.408286359014
2906,14829,7718,2534452,15,20,585.096896686147,304.523423603998
2907,33577,3445,2074548,15,17,1618.52123932539,166.06026951413
3101,2821,14847,395811,18,23,712.71389627878,3751.0326898444
3102,4332,34785,1722156,18,24,251.545156187941,2019.85186011023
3103,2173,3582,723929,22,27,300.167557868244,494.799904410515
3104,2562,909,393985,18,21,650.278563904717,230.719443633641
3105,23420,61744,2384478,14,18,982.185618823072,2589.41369976993
3106,2075,12178,442552,15,23,468.871454653916,2751.76702398814
3107,45303,296381,6817784,12,13,664.482770354708,4347.17497650263
3108,18156,7171,1709266,17,21,1062.21032887801,419.53680702711
3109,3375,20149,1056982,14,19,319.30534294813,1906.27654964796
3110,8638,12609,2615720,15,22,330.234122918355,482.047008089551
3111,1687,2249,594581,19,22,283.72921435431,378.249557251241
3112,12068,17723,2311547,13,17,522.074610639541,766.715969867799
3201,8632,3978,448663,16,20,1923.93845714935,886.634288987503
3202,11430,10691,652244,16,21,1752.41167415875,1639.11051692311
3203,52578,37997,2304647,12,15,2281.3905990809,1648.71236245724
3204,10382,12332,613096,18,21,1693.37265289612,2011.43051006694
3301,4930,1717,335368,18,22,1470.02695546385,511.974905178789
3302,10987,1285,958248,16,19,1146.57165994607,134.098897153973
3303,4193,212,507621,15,20,826.009956246885,41.7634416227855
3304,6209,1259,861732,16,19,720.525639061796,146.101108001095
3305,12251,5125,1160648,13,16,1055.53104817309,441.563678221132
3306,128643,22718,13441326,11,13,957.070753287287,169.016062849752
3501,23776,86597,1736252,15,18,1369.38647154906,4987.5824477092
3502,25940,66128,2667376,14,18,972.491317309596,2479.14054861407
3503,7184,34431,765432,15,20,938.554959813543,4498.24412880569
3504,14455,42009,1614574,15,18,895.282594665838,2601.86278238099
3505,5143,40952,909258,16,19,565.626037934228,4503.89218461647
3506,18818,12610,1546453,15,18,1216.84913799514,815.414370821486
