inloco_name,ibge_name,distance_measure
Microrregião de Porto Franco,Porto Franco,0
Microrregião de Tabuleiro,Tabuleiro,0
Microrregião Três Rios,Três Rios,0
Microrregião do Vale do Rio dos Bois,Vale do Rio dos Bois,0
Microrregião Cantagalo-Cordeiro,Cantagalo-Cordeiro,0
Microrregião do Médio Curu,Médio Curu,0
Microrregião São Lourenço,São Lourenço,0
Microrregião de Jequié,Jequié,0
Microrregião de Restinga Seca,Restinga Seca,0
Microrregião de Vacaria,Vacaria,0
Microrregião do Brejo Paraibano,Brejo Paraibano,0
Microrregião Gerais das Balsas,Gerais de Balsas,2
Microrregião da Chapada do Apodi,Chapada do Apodi,0
Microrregião Mantena,Mantena,0
Microrregião o Sertão de Inhamuns,Sertão de Inhamuns,0
Microrregião de Umarizal,Umarizal,0
Microrregião do Alto Médio Gurguéia,Alto Médio Gurguéia,0
Microrregião Barbacena,Barbacena,0
Microrregião de Batalha,Batalha,0
Microrregião de Batatais,Batatais,0
Microrregião de Baturité,Baturité,0
Microrregião Juiz de Fora,Juiz de Fora,0
Microrregião de Novo Horizonte,Novo Horizonte,0
Microrregião de Araranguá,Araranguá,0
Microrregião de Canindé,Canindé,0
Microrregião de Campos de Lages,Campos de Lages,0
Microrregião de Joaçaba,Joaçaba,0
Microrregião de Soledade,Soledade,0
Microrregião de Goioerê,Goioerê,0
Microrregião de Ponta Grossa,Ponta Grossa,0
Microrregião de Santa Cruz do Sul,Santa Cruz do Sul,0
Microrregião de Capanema,Capanema,0
Microrregião de Jacobina,Jacobina,0
Microrregião de Tupã,Tupã,0
Microrregião de Camaquã,Camaquã,0
Microrregião Campo Belo,Campo Belo,0
Microrregião Cianorte,Cianorte,0
Microrregião de Limeira,Limeira,0
Microrregião de Barra,Barra,0
Microrregião Teófilo Otoni,Teófilo Otoni,0
Microrregião Ariquemes,Ariquemes,0
Microrregião Santa Maria Madalena,Santa Maria Madalena,0
Microrregião Ituiutaba,Ituiutaba,0
Microrregião de Prudentópolis,Prudentópolis,0
Microrregião de Esperança,Esperança,0
Microrregião de Itamaracá,Itamaracá,0
Microrregião de Meia Ponte,Meia Ponte,0
Microrregião do Médio Jaguaribe,Médio Jaguaribe,0
Microrregião de Várzea Alegre,Várzea Alegre,0
Microrregião de Lins,Lins,0
Microrregião do Litoral Piauiense,Litoral Piauiense,0
Microrregião de Castanhal,Castanhal,0
Microrregião das Chapadas do Alto Itapecuru,Chapadas do Alto Itapecuru,0
Microrregião de Ituverava,Ituverava,0
Microrregião de Jaboticabal,Jaboticabal,0
Microrregião de Nahndeara,Nhandeara,2
Microrregião de Brejo Santo,Brejo Santo,0
Microrregião de Florianópolis,Florianópolis,0
Microrregião de Itapecuru Mirim,Itapecuru Mirim,0
Microrregião Ouro Preto,Ouro Preto,0
Microrregião Jacarezinho,Jacarezinho,0
Microrregião de Santa Rosa,Santa Rosa,0
Microrregião do Vale do Ipojuca,Vale do Ipojuca,0
Microrregião Almenara,Almenara,0
