"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"45","SP","ARUJÁ",11,12,12,11,10,11,10,11,9,11,10,9,10,11,10,10,"High Risk","High Risk","High Risk"
"46","SP","ASPÁSIA",36,41,42,43,40,41,40,40,38,39,38,37,38,38,37,37,"Low Risk","Low Risk","Low Risk"
"47","SP","ASSIS",24,25,25,24,23,24,23,24,22,24,22,22,23,23,23,22,"Medium Risk","Medium Risk","Medium Risk"
"48","SP","ATIBAIA",12,13,13,12,11,12,11,12,11,12,11,10,11,12,11,11,"High Risk","High Risk","High Risk"
"49","SP","AURIFLAMA",34,34,34,33,32,33,32,33,32,33,31,31,32,32,32,31,"Low Risk","Low Risk","Low Risk"
"50","SP","AVAÍ",33,33,33,32,31,32,30,31,30,31,30,29,30,31,30,29,"Low Risk","Low Risk","Low Risk"
"51","SP","AVANHANDAVA",34,34,34,33,32,33,31,32,31,32,31,30,31,31,31,30,"Low Risk","Low Risk","Low Risk"
"52","SP","AVARÉ",21,22,22,21,20,21,20,21,19,21,20,19,20,21,20,19,"Medium Risk","Medium Risk","Medium Risk"
"53","SP","BADY BASSITT",29,29,29,28,27,28,27,28,26,27,26,26,26,27,26,26,"Medium Risk","Medium Risk","Medium Risk"
"54","SP","BALBINOS",36,36,36,35,34,35,34,35,33,34,33,33,33,34,33,33,"Low Risk","Low Risk","Low Risk"
"55","SP","BÁLSAMO",32,33,33,32,30,32,30,31,29,31,29,29,29,30,29,29,"Low Risk","Low Risk","Low Risk"
"56","SP","BANANAL",31,32,32,31,30,31,30,31,29,31,29,29,30,30,30,29,"Medium Risk","Low Risk","Low Risk"
"57","SP","BARÃO DE ANTONINA",36,36,36,35,34,36,34,35,34,35,34,33,34,34,34,33,"Low Risk","Low Risk","Low Risk"
"58","SP","BARBOSA",36,37,37,36,35,36,34,35,33,35,33,33,33,34,33,32,"Low Risk","Low Risk","Low Risk"
"59","SP","BARIRI",29,29,29,28,27,29,27,28,27,28,27,26,27,27,27,26,"Medium Risk","Medium Risk","Medium Risk"
"60","SP","BARRA BONITA",27,27,27,26,25,27,25,26,25,26,25,24,25,26,25,24,"Medium Risk","Medium Risk","Medium Risk"
"61","SP","BARRA DO CHAPÉU",36,37,37,36,35,36,34,35,34,35,33,33,34,34,33,33,"Low Risk","Low Risk","Low Risk"
"62","SP","BARRA DO TURVO",25,25,25,24,23,25,23,25,23,25,23,23,23,24,24,23,"Medium Risk","Medium Risk","Medium Risk"
"63","SP","BARRETOS",24,25,25,24,23,24,23,24,22,24,22,22,23,23,23,22,"Medium Risk","Medium Risk","Medium Risk"
