Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,5,5,16,13,15,6.83333333333333,0.25,0.15074466184999,0.945388614559863,0.833333333333333,0.929838717809712,1.02800337256394,0.853509024961036,1.01822344777297
2,4,5,13,28,14,6.14285714285714,0.5,0.160967538709376,0.907233881947233,0.857142857142857,0.936840874784444,1.0320063691663,0.864937501623064,1.03903182674629
3,4,6,15,28,16,7.28571428571429,2.5,0.12902962135628,0.895820255539494,0.857142857142857,0.929884133840619,1.02601027021666,0.858152851896852,1.0245563662302
4,5,5,15,16,12,5.66666666666667,3,0.199986759248038,0.958016860655047,0.933333333333333,0.944719712719233,1.03820552359118,0.858891580985821,1.02517773404365
5,4,5,14,24,14,6.8,0.5,0.139646891298839,0.894028648902117,0.8,0.937486151967772,1.03239967876178,0.85961874093381,1.02888440431221
6,4,5,14,27,13,6.125,3,0.161465280573978,0.936962036567139,0.875,0.941005132795342,1.0351337744343,0.861490470812857,1.03082184083018
7,5,5,16,11,13,6.83333333333333,3,0.143707823127225,0.94776965368596,0.833333333333333,0.940484016555067,1.03504453938896,0.8536051358723,1.01822090927375
8,5,5,15,27,15,6.42857142857143,2,0.157080397659205,0.936933406987959,0.857142857142857,0.92993168130443,1.02798172534772,0.857051504459858,1.02410484523887
9,4,5,14,14,14,6.5,3,0.145086190796924,0.915649001098316,0.833333333333333,0.936485505932837,1.03193239905041,0.860475045565311,1.02968922457437
10,5,5,15,22,13,6.66666666666667,2,0.147578589227398,0.927704831868702,0.833333333333333,0.941346316948833,1.03537502186557,0.856529291972309,1.0237370445774
11,5,5,13,8,13,6,0.25,0.169764937839149,0.911623255527138,0.875,0.942159559494108,1.0355671106581,0.864806301442405,1.03967134307163
12,4,5,15,23,13,7,1,0.137650365561677,0.915124595940839,0.8,0.942409103694412,1.03587901372907,0.856283000392295,1.0226160122392
13,4,5,13,11,15,6,0.5,0.168237085991551,0.915374092493435,0.875,0.931275728007012,1.02845776199912,0.865414894369228,1.03955387585047
14,4,5,15,8,13,7,2,0.135366492251845,0.915187354797769,0.8,0.942408988987699,1.03587901560698,0.856314031112368,1.0226194940845
15,5,5,15,11,13,6.42857142857143,1.5,0.158320267789373,0.936915142749766,0.857142857142857,0.940592204929465,1.03501965510907,0.85703222120382,1.02410844997749
16,4,5,14,10,13,5.9,2.5,0.175212686614946,0.941417085300863,0.9,0.940237356289668,1.03476603257985,0.862114692665539,1.03179794974726
17,4,6,16,6,14,7,0.5,0.149027444665057,0.923437363945227,0.9,0.937835547900876,1.03251573725643,0.855903714910029,1.01969917722787
18,4,5,15,12,13,7,3,0.132925184465106,0.915946249661581,0.8,0.942408877497782,1.0358790174125,0.856343952451675,1.02262288312194
19,4,6,14,11,16,7.33333333333333,0.25,0.126646774576659,0.86436766578778,0.833333333333333,0.931269453969467,1.02623614179404,0.861020807932541,1.0305305640304
20,4,6,16,18,13,7.42857142857143,2.5,0.128483316907854,0.909632343289546,0.857142857142857,0.944963407712325,1.03693193727387,0.855092845185826,1.01890091173075
