DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-08-07,2020-09-18,2020-11-11,145.751930431905,182.189913039887,369.841031245545,Grande São Paulo
II,2020-08-07,2020-08-25,2020-10-26,5.00019473105337,6.3992085102,11.1526013272593,Araçatuba
III,2020-08-07,2020-09-20,2020-10-22,2.61657504919816,3.9630024303828,8.81289055582488,Araraquara
IV,2020-08-07,2020-09-15,2020-10-19,16.9291188699299,23.5295610242366,62.2516890778888,Baixada Santista
IX,2020-08-07,2020-10-01,2020-11-02,2.94588366610989,5.39120286254561,13.3016170846718,Marília
V,2020-08-07,2020-09-13,2020-10-18,3.02446339182632,4.01085616062133,9.0330382217453,Barretos
VI,2020-08-07,2020-09-14,2020-10-17,7.17196484100782,9.25102579932025,16.8020623609691,Bauru
VII,2020-08-07,2020-09-13,2020-10-21,40.1297171924189,50.2747123283887,100.784126943152,Campinas
VIII,2020-08-07,2020-09-22,2020-10-17,3.7272419861074,11.9881870208088,38.5777716103014,Franca
X,2020-08-07,2020-09-14,2020-11-05,14.2423625163508,18.383903264193,33.502385886401,Piracicaba
XI,2020-08-07,2020-09-23,2020-10-23,3.32282962373751,5.39595151288296,12.5439059255522,Presidente Prudente
XII,2020-08-07,2020-08-24,2020-10-27,1.63241691247809,2.17655588330408,3.84943784094304,Registro
XIII,2020-08-07,2020-08-07,2020-11-08,13.9410939732504,17.0875463518786,21.5354016061215,Ribeirão Preto
XIV,2020-08-07,2020-09-20,2020-10-25,4.34983118979872,6.64532025036954,19.72488981216,São João da Boa Vista
XV,2020-08-07,2020-08-18,2020-10-08,15.8786893069032,19.5430022238801,30.0043529303573,São José do Rio Preto
XVI,2020-08-07,2020-09-25,2020-11-08,11.875422163034,15.7759052630435,39.2196412901621,Sorocaba
XVII,2020-08-07,2020-09-27,2020-11-14,15.0988220407154,24.9054821438768,62.3904560237916,Taubaté
