DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-12,2020-07-12,2020-07-12,180.457799957665,191.736412455017,219.127328520019,Grande São Paulo
II,2020-07-12,2020-08-25,2020-09-26,3.56872917614658,4.26589475285672,9.92482056276401,Araçatuba
III,2020-07-12,2020-07-12,2020-10-29,1.16966862654089,1.2427729156997,1.42031190365679,Araraquara
IV,2020-07-12,2020-07-12,2020-09-02,16.8332564570092,17.8853349855724,20.4403828406539,Baixada Santista
IX,2020-07-12,2020-07-12,2020-09-23,1.92632972202615,2.18317368496299,3.63472381037275,Marília
V,2020-07-12,2020-07-12,2020-07-12,2.21322006659827,2.35154632076065,2.68748150944077,Barretos
VI,2020-07-12,2020-07-12,2020-07-12,4.33858795856673,4.60974970597712,5.26828537825961,Bauru
VII,2020-07-12,2020-07-12,2020-09-27,28.1267693519592,29.8846924364566,34.1539342130934,Campinas
VIII,2020-07-12,2020-09-26,2020-11-20,1.44412498478054,1.84313633759923,4.81503867197813,Franca
X,2020-07-12,2020-07-12,2020-09-07,10.262387687247,11.5913080399318,21.7658528358545,Piracicaba
XI,2020-07-12,2020-09-02,2020-09-21,2.14388167104501,4.89443643141954,12.7219972265431,Presidente Prudente
XII,2020-07-12,2020-07-12,2020-09-28,1.02626509247762,1.13259852511982,2.24667763535322,Registro
XIII,2020-07-12,2020-07-12,2020-09-07,10.6157912209865,10.9696509283528,13.5933147228807,Ribeirão Preto
XIV,2020-07-12,2020-08-18,2020-09-04,2.85303637374625,4.05749118629606,9.1000794177923,São João da Boa Vista
XV,2020-07-12,2020-07-12,2020-09-07,10.2978901809526,10.6411531869844,15.3338822929724,São José do Rio Preto
XVI,2020-07-12,2020-07-12,2020-10-08,11.467217133267,12.2316982754849,26.3049832066245,Sorocaba
XVII,2020-07-12,2020-07-12,2020-09-28,6.92163031794894,7.15235132854733,8.05343032039207,Taubaté
