date,median_cases,min_cases,max_cases,median_deaths,min_deaths,max_deaths
2020-08-27,783208.285714286,783208.285714286,783208.285714286,29368.5714285714,29368.5714285714,29368.5714285714
2020-08-28,791024.526785714,790564.74789916,791545.60952381,29574.7975721112,29551.8835561623,29622.3882206203
2020-08-29,798498.242875,797635.502066238,799480.261349206,29765.7436286556,29720.1602757409,29844.1047530002
2020-08-30,805689.005650012,804468.265059418,807077.627147556,29942.894071625,29875.049488904,30039.1679487296
2020-08-31,812630.709188309,811092.772655513,814382.032136253,30097.9556696983,30018.0449139688,30212.1036543476
2020-09-01,819349.388788268,817527.376359448,821423.643671327,30243.2444031125,30150.480808659,30366.6446250567
2020-09-02,825862.685513418,733090.016454818,851586.072693575,30369.7269154573,28881.2479166791,31395.6045763646
2020-09-03,832184.000449136,738505.184725778,858346.511836416,30484.3031140907,28980.3391870587,31542.0441465395
2020-09-04,838323.7186823,743769.455418475,864890.125278925,30593.0583340904,29071.3658667929,31678.6090963825
2020-09-05,844289.884131747,748877.729818747,871229.022765733,30693.434666832,29155.4359620191,31806.4591748835
2020-09-06,850090.282183857,753837.783157805,877373.387098054,30783.6760250326,29233.4812924147,31926.5920859887
2020-09-07,855731.550269351,758651.575871445,883331.810844265,30867.8379144497,29304.3813574376,32039.8659055268
2020-09-08,861219.239588118,763321.013127073,889111.91117244,30946.7053426847,29368.7040148236,32147.0190120452
2020-09-09,866558.002304201,767848.012683913,894720.156162475,31024.0637038855,29429.1438064036,32248.6868452414
2020-09-10,871753.083426824,772234.762381417,900165.652993503,31099.3849603983,29486.1829038908,32345.4162820303
2020-09-11,876785.473292666,776483.565218674,905479.447900413,31175.0540849677,29540.2167505084,32437.679803515
2020-09-12,881650.762575614,780596.857468255,910642.935658859,31244.5057535651,29591.57055148,32525.8863161564
2020-09-13,886373.735724426,784577.173204623,915661.255181458,31303.3000874147,29640.5126953405,32610.3905393106
2020-09-14,890958.276887454,788427.154659145,920539.310106314,31365.8750894537,29687.2655849447,32691.5007882121
2020-09-15,895407.672114756,792149.485311661,925281.691774054,31429.0053650548,29732.01445392,32769.4857747937
2020-09-16,899724.572887156,795746.871387424,929892.683439204,31489.7741671961,29774.9144013413,32844.5799500511
2020-09-17,903912.712113422,799222.194715023,934376.582607411,31548.3491148202,29816.0960675351,32916.987981435
2020-09-18,907989.589291226,802578.376840975,938737.496820032,31604.8783284174,29855.6705467377,32986.8899869329
2020-09-19,911952.419900437,805818.380721194,942979.379687639,31659.4930791978,29893.7331162776,33054.4449819619
2020-09-20,915780.620890714,808945.177983572,947106.000385807,31712.3101710025,29930.3662709579,33119.7939369631
2020-09-21,919494.019427192,811961.753553327,951120.981642314,31763.4338109765,29965.6421288489,33183.0622128615
2020-09-22,923095.553907837,814871.054950873,955027.728109612,31812.9573456852,29999.6243974467,33244.3617767598
2020-09-23,926587.855168943,817675.979037146,958829.424114047,31860.964406439,30032.3698777544,33303.7927419158
2020-09-24,929973.997939994,820379.48708683,962529.284210595,31907.5298434242,30063.9296605085,33361.4446313688
2020-09-25,933256.954180734,822984.508014199,966130.391210624,31952.7216193749,30094.3503254842,33417.3985776354
2020-09-26,936381.232901113,825493.944090126,969635.724270205,31996.6016575971,30123.6747298299,33471.7284044469
2020-09-27,939491.500061583,827910.652153655,973048.133967307,32039.2266636007,30151.9426598093,33524.5016453786
2020-09-28,942418.845483161,830237.453187011,976370.371910568,32080.6486955295,30179.1913254387,33575.7802752856
2020-09-29,945308.717000536,832477.101003595,979605.032693436,32120.9157604058,30205.4557808674,33625.621443566
2020-09-30,948108.210318742,834632.278040038,982754.551095538,32160.0720519869,30230.7692069606,33674.077820238
2020-10-01,950820.033190099,836705.685133362,985821.399353104,32198.1581181026,30255.1631309128,33721.1978518723
2020-10-02,953504.886926295,838699.973925494,988807.957163668,32235.2118729731,30278.6677799748,33767.0268683669
2020-10-03,956134.283414148,840617.753300018,991716.53239596,32271.2688504934,30301.3122382941,33811.6073997404
2020-10-04,958658.547765029,842461.576646685,994549.339040034,32306.1809024938,30323.1245865109,33854.9795233173
2020-10-05,961135.24966643,844233.949241516,997308.519237279,32339.1976398003,30344.1319917824,33897.1810508944
2020-10-06,963539.708295982,845937.304907175,999996.094924725,32372.3422574117,30364.3607957004,33938.2477778266
2020-10-07,965873.684299886,847574.002337872,1002613.96424837,32404.6078190115,30383.8365426057,33978.2134740517
