DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-08-13,353968.571428572,353968.571428572,353968.571428572,Grande São Paulo
I,2020-08-14,357143.485714286,358069.502380953,359260.095238095,Grande São Paulo
I,2020-08-15,360245.824598214,362080.362216711,364482.664705468,Grande São Paulo
I,2020-08-16,363290.297189654,366019.696510339,369651.484913987,Grande São Paulo
I,2020-08-17,366285.321019258,369897.934986788,374772.823569535,Grande São Paulo
I,2020-08-18,369235.410493373,373720.537390246,379847.943941182,Grande São Paulo
I,2020-08-19,325809.270445137,377489.874158788,405715.421105094,Grande São Paulo
I,2020-08-20,328318.420965248,381207.716194834,410961.773118377,Grande São Paulo
I,2020-08-21,330792.26100959,384874.859926551,416151.207462264,Grande São Paulo
I,2020-08-22,333231.27248605,388491.803320559,421279.675942053,Grande São Paulo
I,2020-08-23,335635.526899846,392058.663740627,426342.967128693,Grande São Paulo
I,2020-08-24,338005.260959389,395575.204665399,431336.893254644,Grande São Paulo
I,2020-08-25,340340.250361563,399040.956441335,436257.299974484,Grande São Paulo
I,2020-08-26,342639.564664564,402455.150816817,441100.101678883,Grande São Paulo
I,2020-08-27,344903.39553063,405817.594618886,445861.661793179,Grande São Paulo
I,2020-08-28,347131.844957079,409128.051936913,450538.580379213,Grande São Paulo
I,2020-08-29,349325.078473097,412386.330319746,455127.746134856,Grande São Paulo
I,2020-08-30,351483.112129554,415592.176243626,459626.311255557,Grande São Paulo
I,2020-08-31,353605.980715899,418745.366604151,464031.734621983,Grande São Paulo
I,2020-09-01,355693.376937324,421845.526507199,468341.71960233,Grande São Paulo
I,2020-09-02,357744.525786192,424892.067112297,472554.19281393,Grande São Paulo
I,2020-09-03,359759.641328849,427884.94007188,476667.575518172,Grande São Paulo
I,2020-09-04,361738.887174886,430824.102313431,480680.58065016,Grande São Paulo
I,2020-09-05,363682.503030102,433709.583071777,484592.227699005,Grande São Paulo
I,2020-09-06,365590.619454766,436541.390314244,488401.799428447,Grande São Paulo
I,2020-09-07,367463.399802183,439319.585178639,492108.856215924,Grande São Paulo
I,2020-09-08,369300.733694413,442044.125555508,495713.17002678,Grande São Paulo
I,2020-09-09,371102.126625712,444714.809064569,499214.692249614,Grande São Paulo
I,2020-09-10,372867.932314438,447331.905764296,502613.754479694,Grande São Paulo
I,2020-09-11,374598.47224943,449895.704405373,505910.898911494,Grande São Paulo
I,2020-09-12,376294.140653794,452406.565026386,509106.880738706,Grande São Paulo
I,2020-09-13,377955.245215402,454864.836457849,512202.627089454,Grande São Paulo
I,2020-09-14,379582.125185068,457270.915500497,515199.241978249,Grande São Paulo
I,2020-09-15,381174.892403995,459625.113602252,518097.950914322,Grande São Paulo
I,2020-09-16,382733.334840452,461927.605404544,520900.071703319,Grande São Paulo
I,2020-09-17,384257.951132719,464178.954588016,523607.16474772,Grande São Paulo
I,2020-09-18,385749.210345911,466379.733849046,526539.160199865,Grande São Paulo
I,2020-09-19,387207.638683904,468530.566915549,529447.151807261,Grande São Paulo
I,2020-09-20,388633.68471031,470632.058556321,532285.722479164,Grande São Paulo
I,2020-09-21,390027.817583495,472684.842857139,535055.830312949,Grande São Paulo
I,2020-09-22,391219.258911976,474689.472692541,537758.181615799,Grande São Paulo
I,2020-09-23,392315.585299132,476646.376014534,540393.11617158,Grande São Paulo
I,2020-09-24,393371.121158573,478556.290688999,542961.801174098,Grande São Paulo
I,2020-09-25,394386.967342706,480419.950835893,545465.372002323,Grande São Paulo
I,2020-09-26,395364.253111262,482238.121559483,547905.02998478,Grande São Paulo
