DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-09,2020-07-09,2020-10-02,188.921054418974,200.728620320158,227.818074727366,Grande São Paulo
II,2020-07-09,2020-08-29,2020-10-03,3.05702420461097,4.51502912202372,8.19543591996035,Araçatuba
III,2020-07-09,2020-07-09,2020-07-09,1.16312027217075,1.23581528918142,1.31820297512685,Araraquara
IV,2020-07-09,2020-07-09,2020-07-09,17.6864423373108,18.7918449833927,20.0446346489522,Baixada Santista
IX,2020-07-09,2020-07-09,2020-10-29,1.95455519654588,1.95455519654588,3.14416577503437,Marília
V,2020-07-09,2020-07-09,2020-07-09,2.21266126585704,2.35095259497309,2.50768276797133,Barretos
VI,2020-07-09,2020-07-09,2020-07-09,4.38123255044616,4.65505958484906,4.96539689050559,Bauru
VII,2020-07-09,2020-07-09,2020-07-09,27.407292492486,29.1202482732665,31.0615981581504,Campinas
VIII,2020-07-09,2020-07-09,2020-12-18,1.20132803312232,1.27641103519245,1.37051461357908,Franca
X,2020-07-09,2020-07-09,2020-09-24,9.34092391068725,9.4148549621134,15.1481005949486,Piracicaba
XI,2020-07-09,2020-09-01,2020-09-28,1.91366264063721,3.16949134346723,5.99325603873956,Presidente Prudente
XII,2020-07-09,2020-07-09,2020-09-28,0.938209683771298,0.996847789007013,1.14429253624375,Registro
XIII,2020-07-09,2020-07-09,2020-09-15,9.95053522167603,9.95053522167603,13.9942780139359,Ribeirão Preto
XIV,2020-07-30,2020-08-07,2020-08-16,2.62432229854615,4.74854400194165,10.2395240240485,São João da Boa Vista
XV,2020-07-09,2020-07-09,2020-09-09,9.13882774500746,9.41646877664164,10.8347043809032,São José do Rio Preto
XVI,2020-07-09,2020-07-09,2020-09-28,12.0805691472951,12.0805691472951,14.978104559098,Sorocaba
XVII,2020-07-09,2020-07-09,2020-10-08,6.94684814406986,7.37396868046957,12.8673305337113,Taubaté
