Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,6,10,13,24,14,10.06,1,0.0690751845920454,0.465823355719268,0.98,0.924898710408765,1.04614285797085,0.859222380568076,1.04453891755356
2,5,9,12,19,14,9.42857142857143,1.5,0.0623676369796381,0.571820255642975,0.857142857142857,0.927055712487426,1.0477483044607,0.862626201824944,1.05333235786479
3,6,8,12,13,14,8.4,1,0.0712977301376504,0.57290983138006,0.9,0.922491841826725,1.04431645113715,0.864820641955494,1.0535399396934
4,4,10,12,9,14,10.2857142857143,0.25,0.0652647191950397,0.650007142602208,0.857142857142857,0.929754601620533,1.0497930309468,0.863176694388415,1.05364846059191
5,6,9,12,5,13,9.33333333333333,0.25,0.0577256648907147,0.509066422768348,0.888888888888889,0.935427134086714,1.05421045977804,0.864092044863472,1.05365578203302
6,5,10,12,22,15,10.4,1.5,0.048139534744168,0.495481183052102,0.8,0.922892774600037,1.04446083987949,0.859331893742218,1.05304639002562
7,4,10,12,22,13,10.2222222222222,1,0.0682867710015577,0.675558753372823,0.888888888888889,0.938391961758252,1.05646474414173,0.86512628868444,1.05395476190405
8,5,10,12,20,14,10.25,1.5,0.0557147896568824,0.550482959668457,0.875,0.929279317605582,1.04946030422357,0.863694194822246,1.05377120669896
9,5,7,13,15,14,7.12,2.5,0.149609573340416,0.709937656456456,0.98,0.914149313558559,1.03961471945899,0.861069812865766,1.04458779044328
10,4,9,12,23,14,9.375,0.25,0.0768562806618201,0.701275130193982,0.875,0.926576469693724,1.04738407659618,0.864263564639545,1.05357828226536
11,5,9,12,17,14,9.6,0.5,0.0571564585150506,0.530681195175764,0.8,0.928690191788705,1.0489257697883,0.859153970492241,1.05271991404571
12,6,9,12,20,15,9.42857142857143,0.25,0.0540606785316669,0.479074496182542,0.857142857142857,0.918985266291124,1.04154050197136,0.862181358669523,1.05330120204062
13,4,10,12,28,14,10.4,0.25,0.0587595915574214,0.601886251615196,0.8,0.931259415260676,1.05020025511848,0.859792482108242,1.05307231899841
14,6,8,12,17,14,8.8,1,0.0573417240218708,0.500896835058466,0.8,0.925583633796623,1.04655311969286,0.85859200909042,1.05226002707093
15,4,10,12,16,15,10.3333333333333,0.5,0.0623894906221323,0.629191794743649,0.833333333333333,0.922074810726448,1.04386822019874,0.861771223113332,1.05315722875303
16,6,8,12,21,14,8.4,2.5,0.0700611051227518,0.574822571140886,0.9,0.922492187845703,1.04431647087507,0.864868061332109,1.05353974550549
17,6,9,12,13,14,9.33333333333333,1.5,0.0563412641874905,0.508585861219697,0.888888888888889,0.926176014313983,1.04710565830835,0.864126666622513,1.05365564969914
18,5,7,13,18,14,7.12,2,0.150783627707256,0.709040298271232,0.98,0.914149221170347,1.03961471945899,0.861043998808735,1.04458838797626
19,4,9,12,15,14,9.3,2,0.0796378873627956,0.722933798224335,0.9,0.925879000499197,1.04688013144444,0.86594067036394,1.05386384078928
20,5,9,12,20,14,9.375,0.25,0.0666891232479885,0.58344482974057,0.875,0.926551237888193,1.04738537801481,0.863668601865544,1.0535313371491
21,5,9,12,9,15,9.375,2,0.0639426298026508,0.585135416411873,0.875,0.918501410948045,1.04120069396785,0.863735195668223,1.05353110251086
22,5,8,12,14,14,8.5,1.5,0.0768217455043362,0.631087233641741,0.875,0.923249791167389,1.04486564474361,0.863678285103946,1.05323523842864
23,5,8,12,9,14,8.5,3,0.0748042127259089,0.627738433894556,0.875,0.923250097615911,1.04486566971777,0.863739663037621,1.05323500043003
24,6,10,12,10,13,10.3333333333333,0.5,0.0420818012201734,0.422898189310609,0.833333333333333,0.939968138667208,1.05758625737144,0.860845961184042,1.05314898156647
25,4,9,12,11,13,9.3,0.25,0.0816324730636604,0.722013549354436,0.9,0.935107405523476,1.05396781099601,0.865844850180705,1.05386416150247
26,4,9,12,27,15,9.6,2,0.065289052973452,0.628631790391093,0.8,0.920516016182635,1.04263831908822,0.859726897143218,1.05276055594375
27,6,9,12,18,13,9.5,2.5,0.0494251612289835,0.466707260489604,0.833333333333333,0.937119339088497,1.05542749283283,0.860821504826379,1.05286098908729
