DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-10,2020-07-10,2020-07-10,186.007445404202,210.808438124759,243.240505528576,Grande São Paulo
II,2020-07-10,2020-08-13,2020-09-13,3.31027678734705,3.70254134758133,8.29660244825487,Araçatuba
III,2020-07-10,2020-07-10,2020-07-10,1.16136677581812,1.31621567926055,1.51871039914678,Araraquara
IV,2020-07-10,2020-07-10,2020-07-10,17.4982524384636,19.8313527635921,22.882330111837,Baixada Santista
IX,2020-07-10,2020-07-10,2020-10-01,1.87690180922169,2.12715538378463,2.45441005821304,Marília
V,2020-07-10,2020-07-10,2020-07-10,2.20658715189094,2.50079877214309,2.88553704478048,Barretos
VI,2020-07-10,2020-07-10,2020-07-10,4.37872042447233,4.96254981440197,5.72601901661756,Bauru
VII,2020-07-10,2020-07-10,2020-07-10,27.7033026193217,31.3970763018976,36.2273957329592,Campinas
VIII,2020-07-10,2020-07-10,2020-11-06,1.29049929898303,1.47485634169489,2.65640465087435,Franca
X,2020-07-10,2020-07-10,2020-09-05,9.51922812575037,11.0520879009808,17.5741663076902,Piracicaba
XI,2020-07-10,2020-08-28,2020-09-13,2.06923117411102,2.98611958637629,6.67049932595558,Presidente Prudente
XII,2020-07-10,2020-07-10,2020-09-10,0.948944838135731,1.07547081655383,1.5080937864691,Registro
XIII,2020-07-10,2020-07-10,2020-09-01,9.59093969797846,10.8697316577089,13.9866567966684,Ribeirão Preto
XIV,2020-07-10,2020-08-13,2020-08-23,2.74069698831876,3.84528072925208,8.3194188526918,São João da Boa Vista
XV,2020-07-10,2020-07-10,2020-08-24,9.19947927051692,10.4260765065856,12.0300882768296,São José do Rio Preto
XVI,2020-07-10,2020-07-10,2020-09-14,11.3306026129019,12.8413496279556,14.8169418784103,Sorocaba
XVII,2020-07-10,2020-07-10,2020-09-19,6.55796739804327,7.43236305111566,9.57930054535939,Taubaté
