Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,4,5,17,13,17,6.2,2,0.166196947904599,0.900894871560398,0.9,0.96041355781678,1.01901224990893,0.923804411413109,1.0246501683946
2,5,5,16,7,16,6.375,0.5,0.154852465198164,0.870707397991516,0.875,0.964694493700606,1.02258352757989,0.925880848061241,1.02989116069617
3,4,6,17,23,22,7.375,0.5,0.129023877626422,0.842912228973263,0.875,0.948803920120767,1.0131933468419,0.923332606018802,1.02460321027956
4,4,5,17,18,21,6.2,1.5,0.16740752617168,0.900894871560398,0.9,0.947111694108048,1.01218150892459,0.923805007023529,1.0246681597459
5,4,6,20,22,15,8.33333333333333,1.5,0.11278929768197,0.86538730034566,0.833333333333333,0.969204724994745,1.02887368224594,0.915686946241465,1.01373850601829
6,4,6,21,8,23,8.14285714285714,1,0.121275533739673,0.887957564768937,0.857142857142857,0.945100068914024,1.01100794422196,0.913241170442749,1.01132128061436
7,4,6,14,21,23,7,1.5,0.128646365066572,0.804879218807706,0.875,0.947979577031653,1.01270266852834,0.933178374010577,1.04280168690858
8,4,6,18,27,13,6.8,2.5,0.155240883986649,0.858760128043936,0.933333333333333,0.974616423601127,1.03625366346539,0.922225846960061,1.02154454007167
9,4,6,19,23,21,7.625,1,0.127754159615819,0.865406126174245,0.875,0.950658384213476,1.01428971064115,0.918493721203776,1.01744671637451
10,4,6,19,14,15,7.625,1.5,0.126573141587951,0.862623106160099,0.875,0.968860188842944,1.02844968976675,0.918493377658979,1.01744669044497
11,4,6,18,17,16,7.2,3,0.135390983823849,0.855820170948854,0.9,0.966209560811192,1.02464737716558,0.921330409889791,1.0210874867967
12,4,5,18,7,11,5.86666666666667,1,0.193201174421731,0.905423225719955,0.933333333333333,0.979427258858188,1.04457181898985,0.922222391842463,1.02121000229271
13,5,5,14,15,20,5.6,1.5,0.189961186992142,0.850847993294631,0.933333333333333,0.951020269938439,1.01448222438774,0.934892954310694,1.04369320966978
14,5,5,19,11,11,6.4,2,0.163140847647473,0.907500134487792,0.9,0.979742034986624,1.04505337697403,0.918794935588359,1.017566166485
15,4,6,17,13,18,7.22222222222222,1,0.133687917151663,0.845881532118719,0.888888888888889,0.961399256700828,1.01875119740481,0.923651391731964,1.02491358547466
16,4,6,21,8,13,8.14285714285714,0.25,0.122105732616135,0.888311522292275,0.857142857142857,0.97493647219277,1.0367844501005,0.91324118628849,1.01132139576117
17,4,6,15,28,13,7.5,2.5,0.112793006943926,0.790644780865253,0.833333333333333,0.977637639650107,1.03974219774435,0.928442283533287,1.03492094163782
