DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-08-15,2020-08-15,2020-08-15,119.560625027214,136.640714316811,159.414166702947,Grande São Paulo
II,2020-08-15,2020-08-15,2020-08-15,3.99583090189265,4.56666388787733,5.32777453585678,Araçatuba
III,2020-08-15,2020-08-15,2020-08-15,2.49468094707007,2.85106393950863,3.32624126276008,Araraquara
IV,2020-08-15,2020-08-15,2020-08-15,16.2951050675756,18.6229772200863,21.7268067567675,Baixada Santista
IX,2020-08-15,2020-08-15,2020-08-15,2.57514266642761,2.94302019020313,3.43352355523692,Marília
V,2020-08-15,2020-08-15,2020-08-15,2.89568434785605,3.3093535404069,3.86091246380803,Barretos
VI,2020-08-15,2020-08-15,2020-08-15,6.13601998652888,7.01259427031891,8.18135998203837,Bauru
VII,2020-08-15,2020-08-15,2020-08-15,34.3468851954135,39.2535830804727,45.795846927218,Campinas
VIII,2020-08-15,2020-08-15,2020-08-15,3.17705379352915,3.63091862117622,4.23607172470558,Franca
X,2020-08-15,2020-08-15,2020-08-15,11.8130393538509,13.5006164044008,15.7507191384675,Piracicaba
XI,2020-08-15,2020-08-15,2020-08-15,3.22971170322316,3.69109908939791,4.30628227096423,Presidente Prudente
XII,2020-08-15,2020-08-15,2020-08-15,1.85676098470179,2.12201255394487,2.47568131293569,Registro
XIII,2020-08-15,2020-08-15,2020-08-15,13.0185694218944,14.8783650535935,17.3580925625261,Ribeirão Preto
XIV,2020-08-15,2020-08-15,2020-08-15,3.11384035854832,3.55867469548375,4.15178714473106,São João da Boa Vista
XV,2020-08-15,2020-08-15,2020-08-15,15.262138316969,17.4424437908217,20.3495177559582,São José do Rio Preto
XVI,2020-08-15,2020-08-15,2020-08-15,9.2736712473428,10.5984814255346,12.3648949964571,Sorocaba
XVII,2020-08-15,2020-08-15,2020-08-15,13.5135861906351,15.4440985035832,18.0181149208472,Taubaté
