DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-09-17,2020-09-17,2020-09-17,84.446010135769,98.5203451583984,118.224414190077,Grande São Paulo
II,2020-09-17,2020-09-17,2020-09-17,3.19662232299305,3.72939271015838,4.47527125219,Araçatuba
III,2020-09-17,2020-09-17,2020-09-17,3.19320555832348,3.72540648471076,4.47048778165285,Araraquara
IV,2020-09-17,2020-09-17,2020-09-17,7.78654686261416,9.08430467304993,10.90116560766,Baixada Santista
IX,2020-09-17,2020-09-17,2020-09-17,2.65728384880867,3.10016449027677,3.7201973883322,Marília
V,2020-09-17,2020-09-17,2020-09-17,2.82633292173728,3.29738840869339,3.95686609043219,Barretos
VI,2020-09-17,2020-09-17,2020-09-17,5.5954809120534,6.52806106406251,7.83367327687483,Bauru
VII,2020-09-17,2020-09-17,2020-09-17,20.4370935616676,23.843275821946,28.6119309863348,Campinas
VIII,2020-09-17,2020-09-17,2020-09-17,4.36955088625953,5.09780936730283,6.11737124076336,Franca
X,2020-09-17,2020-09-17,2020-09-17,8.86597194325452,10.3436339337969,12.4123607205566,Piracicaba
XI,2020-09-17,2020-09-17,2020-09-17,3.36102004257907,3.92119004967549,4.70542805961071,Presidente Prudente
XII,2020-09-17,2020-09-17,2020-09-17,1.06687485477929,1.24468733057586,1.49362479669102,Registro
XIII,2020-09-17,2020-09-17,2020-09-17,10.6757249062248,12.4550123905958,14.9460148687149,Ribeirão Preto
XIV,2020-09-17,2020-09-17,2020-09-17,2.5724607293858,3.00120418428344,3.60144502114014,São João da Boa Vista
XV,2020-09-17,2020-09-17,2020-09-17,15.0149379327672,17.5174275882289,21.0209131058753,São José do Rio Preto
XVI,2020-09-17,2020-09-17,2020-09-17,7.9785967099632,9.30836282829046,11.1700353939483,Sorocaba
XVII,2020-09-17,2020-09-17,2020-09-17,10.8067489780506,12.6078738077256,15.1294485692708,Taubaté
