Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,5,8,11,13,13,8.075,2,0.193916934137913,1.33404465034211,0.975,0.896503826909369,1.04021814878909,0.824475078378586,1.03570737670147
2,5,7,11,28,13,7.1,0.5,0.220637453998602,1.29426390489574,0.975,0.890567221384794,1.03580261431151,0.824154780556955,1.03565739411466
3,5,10,11,13,14,10.05,3,0.144651395841001,1.3853358427032,0.95,0.894014221710395,1.03688895846001,0.821553465933368,1.03474669728159
4,6,10,10,23,16,10,2.5,0.131152278784961,1.28777569742684,0.9,0.878548803196171,1.02561419358038,0.836170438161672,1.04746587774683
5,6,6,11,18,14,6.125,3,0.241888397145205,1.23756051511802,0.975,0.872640253800419,1.02582744253063,0.823908554547683,1.03562760575162
6,6,5,10,28,14,5.83333333333333,3,0.190244761636663,1.11722194743837,0.833333333333333,0.873172773236656,1.02626412777214,0.824078204008528,1.04416574579395
7,6,5,11,28,13,5.3,0.5,0.254215751963823,1.21917006244151,0.95,0.874539985650926,1.02817049285366,0.818695403172416,1.03358556814615
8,5,5,11,26,13,5.3,2.5,0.24909434746159,1.23210943938389,0.95,0.874547181137718,1.0281758031436,0.819245042980331,1.03370551781765
9,4,15,11,10,17,14.9,1,0.127000958165208,1.61687886755881,0.975,0.875374874345004,1.02280727765996,0.825305685796925,1.03569903391237
10,4,8,10,6,14,8.2,3,0.154103033550045,1.25930280368112,0.9,0.890909301102279,1.03528703388274,0.835753145667519,1.04722952150647
11,5,11,10,24,16,10.95,0.25,0.140236418103903,1.41949453941487,0.95,0.879968025643247,1.0259153912697,0.841719731006936,1.04899224820034
12,4,5,10,12,12,5.16666666666667,3,0.269558505741747,1.22925398315494,0.966666666666667,0.888493846113263,1.03676914393555,0.842803103681419,1.04893244881087
13,6,7,10,11,15,7.1,2,0.202273244955514,1.27424713163813,0.966666666666667,0.87329981410856,1.02510282830178,0.8427068531284,1.04913701373406
14,4,10,10,11,15,10,0.5,0.169197936434779,1.42181712546761,0.975,0.885943209431895,1.03040580022002,0.845450530143011,1.04950654235358
15,4,16,10,21,17,15.25,1.5,0.0993043151931305,1.49499449837792,0.875,0.881081470155161,1.02511342932447,0.835960133248128,1.04785751368217
16,5,12,10,13,16,11.8,2,0.118469993140014,1.37268176325518,0.9,0.883367269200575,1.02773422175948,0.837075840314386,1.0476426630433
17,4,11,11,19,16,11,1.5,0.146488383107525,1.45711850852214,0.966666666666667,0.876673779778823,1.0252689708494,0.823870359208101,1.03529051522018
18,5,5,10,28,14,5.625,2.5,0.208061728384005,1.1653161006558,0.875,0.8711381667221,1.0249597479497,0.829254162683307,1.04559122777045
19,5,14,10,23,17,13.3333333333333,0.25,0.10133017703237,1.3189247807448,0.833333333333333,0.879317448067198,1.02410399012677,0.831438347277298,1.04706955428544
20,4,7,10,11,13,7.3,1,0.173098329267634,1.23277677180469,0.9,0.896986123525302,1.0406532388152,0.83484171289269,1.04704280401319
