DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-08-07,16296.7142857143,16296.7142857143,16296.7142857143,Grande São Paulo
I,2020-08-08,16440.7911962746,16451.0824041718,16476.8104239147,Grande São Paulo
I,2020-08-09,16584.561140156,16601.6518781972,16638.462175549,Grande São Paulo
I,2020-08-10,16727.9158361114,16748.5914678718,16784.4627249573,Grande São Paulo
I,2020-08-11,16870.8418010317,16892.1508235006,16917.300297105,Grande São Paulo
I,2020-08-12,17013.3657229909,17031.1986140323,17041.7739507125,Grande São Paulo
I,2020-08-13,15293.0003365252,17159.397421662,17936.5135800919,Grande São Paulo
I,2020-08-14,15387.9873787613,17292.9311294771,18098.2965873347,Grande São Paulo
I,2020-08-15,15472.9976451912,17417.7029982446,18261.7389127252,Grande São Paulo
I,2020-08-16,15553.1418421646,17543.1472174927,18426.8525149666,Grande São Paulo
I,2020-08-17,15629.248506234,17666.8445547185,18593.660401732,Grande São Paulo
I,2020-08-18,15702.0025222994,17788.525654746,18762.1930830237,Grande São Paulo
I,2020-08-19,15771.9684032501,17908.5839400881,18932.4854567307,Grande São Paulo
I,2020-08-20,15839.6098738634,18027.24194405,19104.5741227787,Grande São Paulo
I,2020-08-21,15905.3081116387,18145.1357778802,19278.4981388664,Grande São Paulo
I,2020-08-22,15969.3756988296,18262.2400269675,19454.2981397191,Grande São Paulo
I,2020-08-23,16032.0683803854,18378.5749535762,19632.0158817619,Grande São Paulo
I,2020-08-24,16093.5945953573,18494.2774797541,19811.6935147807,Grande São Paulo
I,2020-08-25,16154.1235557186,18609.4678620641,19993.3732251155,Grande São Paulo
I,2020-08-26,16213.7914897899,18724.2499837883,20177.0961096213,Grande São Paulo
I,2020-08-27,16272.706650738,18838.7111644698,20362.9007043419,Grande São Paulo
I,2020-08-28,16330.9552217321,18952.9264171556,20550.8248025315,Grande São Paulo
I,2020-08-29,16388.6049423328,19066.9593571998,20740.9050805077,Grande São Paulo
I,2020-08-30,16445.7082570216,19180.8633600365,20933.1769483984,Grande São Paulo
I,2020-08-31,16502.30471021,19294.6820494097,21127.6739473216,Grande São Paulo
I,2020-09-01,16558.4231221371,19408.4501814133,21324.4274709137,Grande São Paulo
I,2020-09-02,16614.0829782639,19522.1933606723,21523.4655762202,Grande São Paulo
