DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-07-17,244465.428571429,244465.428571429,244465.428571429,Grande São Paulo
I,2020-07-18,247761.685386302,247765.932857603,248001.683163758,Grande São Paulo
I,2020-07-19,250918.975481201,250965.883001489,251430.167509779,Grande São Paulo
I,2020-07-20,253976.432484524,254096.484873006,254784.368913725,Grande São Paulo
I,2020-07-21,256955.929208658,257171.786895824,258079.842341968,Grande São Paulo
I,2020-07-22,259869.538259536,260196.63794528,261322.473359633,Grande São Paulo
I,2020-07-23,226344.217585623,263172.211146618,275484.10175932,Grande São Paulo
I,2020-07-24,228758.829234036,266097.1021442,278751.179329075,Grande São Paulo
I,2020-07-25,231130.432080935,268968.702634778,281959.057038151,Grande São Paulo
I,2020-07-26,233460.595147462,271783.676307932,285103.87824384,Grande São Paulo
I,2020-07-27,235750.369518848,274538.560294774,288181.659488073,Grande São Paulo
I,2020-07-28,237999.995295391,277243.636211246,291211.550279748,Grande São Paulo
I,2020-07-29,240209.296248291,279921.07188024,294216.422520032,Grande São Paulo
I,2020-07-30,242378.996976926,282554.80189357,297165.102563977,Grande São Paulo
I,2020-07-31,244509.717594359,285136.189787679,300056.069767578,Grande São Paulo
I,2020-08-01,246602.090197194,287664.400323986,302887.942531323,Grande São Paulo
I,2020-08-02,248656.546158639,290138.465522305,305659.460883292,Grande São Paulo
I,2020-08-03,250673.502772391,292557.541038207,308369.521762625,Grande São Paulo
I,2020-08-04,252652.931681923,294920.329323928,311017.120733997,Grande São Paulo
I,2020-08-05,254594.590639144,297225.773639273,313601.386858254,Grande São Paulo
I,2020-08-06,256499.084073124,299522.335776454,316121.732985503,Grande São Paulo
I,2020-08-07,258366.975098136,301756.100200602,318577.724946331,Grande São Paulo
I,2020-08-08,260142.608864395,303959.496060916,320979.601443309,Grande São Paulo
I,2020-08-09,261679.359192556,306118.900494019,323387.827122885,Grande São Paulo
I,2020-08-10,263150.83995114,308229.861604827,325741.922430309,Grande São Paulo
I,2020-08-11,264557.988066588,310292.280577649,328041.777781112,Grande São Paulo
I,2020-08-12,265901.810091254,312306.030197105,330287.251438898,Grande São Paulo
I,2020-08-13,267183.885715863,314271.399625254,332478.66941854,Grande São Paulo
I,2020-08-14,268405.897740244,316188.715104768,334616.399128209,Grande São Paulo
I,2020-08-15,269569.644063183,317854.689597706,336700.883628993,Grande São Paulo
I,2020-08-16,270676.930155352,319271.455303224,338732.549543402,Grande São Paulo
I,2020-08-17,271729.620817202,320584.367197969,340711.87560503,Grande São Paulo
I,2020-08-18,272729.47364117,322162.17031622,342639.221054379,Grande São Paulo
I,2020-08-19,273678.210921624,323891.486210406,344514.912529372,Grande São Paulo
I,2020-08-20,274577.857923926,325583.139961228,346339.64558375,Grande São Paulo
I,2020-08-21,275430.43057873,327237.63993749,348114.140407275,Grande São Paulo
I,2020-08-22,276237.946004433,328855.511761498,349839.168205714,Grande São Paulo
I,2020-08-23,277002.352954565,330437.255335647,351515.476126711,Grande São Paulo
I,2020-08-24,277725.570092908,331983.377736699,353143.841469767,Grande São Paulo
I,2020-08-25,278409.379845317,333494.3111748,354724.934184736,Grande São Paulo
I,2020-08-26,279055.481113475,334970.454919217,356259.3860533,Grande São Paulo
I,2020-08-27,279665.714735752,336412.368544333,357748.10850129,Grande São Paulo
I,2020-08-28,280241.863226124,337809.832062386,359192.019484225,Grande São Paulo
I,2020-08-29,280785.661908313,339118.41648049,360592.06411229,Grande São Paulo
I,2020-08-30,281298.756321789,340454.539538992,361949.15471747,Grande São Paulo
I,2020-08-31,281782.731313557,341725.274577426,363264.213663244,Grande São Paulo
I,2020-09-01,282239.045438065,342927.696434836,364538.065191758,Grande São Paulo
I,2020-09-02,282669.069681885,344163.484458066,365906.555071768,Grande São Paulo
I,2020-09-03,283074.236178877,345330.60559374,367258.613738488,Grande São Paulo
I,2020-09-04,283455.911754434,346401.643400203,368577.249964133,Grande São Paulo
I,2020-09-05,283815.408178781,347515.188852286,369863.138515898,Grande São Paulo
I,2020-09-06,284153.956306887,348632.304000532,371116.910983574,Grande São Paulo
