DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-07-03,11781,11781,11781,Grande São Paulo
I,2020-07-04,11097.3069127958,12002.1981708813,12541.9307392902,Grande São Paulo
I,2020-07-05,11283.1780501235,12211.7253462642,12779.4945232222,Grande São Paulo
I,2020-07-06,11463.6671599781,12411.2470228435,12994.1107144708,Grande São Paulo
I,2020-07-07,11639.3773309563,12602.3344224743,13190.1448533361,Grande São Paulo
I,2020-07-08,11810.8241618458,12798.3501947015,13375.1404138238,Grande São Paulo
I,2020-07-09,11978.4500545385,12981.3421854362,13578.9232602064,Grande São Paulo
I,2020-07-10,12132.1840542225,13160.4334377559,13781.7037992534,Grande São Paulo
I,2020-07-11,12277.8149225061,13336.4053419087,13981.5076410779,Grande São Paulo
I,2020-07-12,12418.3663992636,13498.2770024363,14178.5880060312,Grande São Paulo
I,2020-07-13,12552.9974674926,13655.3558892341,14380.0888306548,Grande São Paulo
I,2020-07-14,12671.582641395,13808.6492945395,14584.4073880913,Grande São Paulo
I,2020-07-15,12786.726333523,13963.9143649339,14787.7771774492,Grande São Paulo
I,2020-07-16,12898.9701397383,14116.4529148198,14990.2510193127,Grande São Paulo
I,2020-07-17,13008.7491827192,14266.5626761886,15191.8882652651,Grande São Paulo
I,2020-07-18,13116.4135061309,14414.513322441,15392.7550221275,Grande São Paulo
I,2020-07-19,13222.243908419,14560.5502625148,15592.9236986729,Grande São Paulo
I,2020-07-20,13326.464316661,14706.6683306517,15792.4723459461,Grande São Paulo
I,2020-07-21,13429.2521344676,14854.6468353327,15991.484128954,Grande São Paulo
I,2020-07-22,13530.7456726424,15001.5780302167,16190.046408708,Grande São Paulo
I,2020-07-23,13631.0503824153,15147.5980323946,16388.2499369669,Grande São Paulo
I,2020-07-24,13730.2454089292,15292.8294283842,16586.1887065542,Grande São Paulo
I,2020-07-25,13828.389033859,15437.3837863651,16783.9598474048,Grande São Paulo
I,2020-07-26,13925.5219260791,15581.3622308585,16981.663002161,Grande São Paulo
I,2020-07-27,14021.6695331141,15724.8554815505,17179.3995980104,Grande São Paulo
I,2020-07-28,14116.8444522986,15867.9443780294,17377.2723171492,Grande São Paulo
I,2020-07-29,14211.0476430147,16010.699148541,17575.384215005,Grande São Paulo
I,2020-07-30,14304.269717809,16153.1790310211,17773.837974808,Grande São Paulo
I,2020-07-31,14390.0670380031,16295.4339047136,17972.7358161244,Grande São Paulo
I,2020-08-01,14463.5310134325,16437.5060546236,18172.179468867,Grande São Paulo
I,2020-08-02,14534.067678617,16579.4301698253,18372.2696080418,Grande São Paulo
I,2020-08-03,14601.7018439536,16721.2329405777,18573.105173169,Grande São Paulo
I,2020-08-04,14666.4664241163,16862.9332490577,18774.7828834773,Grande São Paulo
I,2020-08-05,14728.4019262956,17004.5412348255,18977.3963869792,Grande São Paulo
I,2020-08-06,14787.5559142294,17146.057802685,19181.0355469661,Grande São Paulo
I,2020-08-07,14843.9827419766,17287.4761250954,19385.786376753,Grande São Paulo
I,2020-08-08,14897.7432023571,17428.7833840994,19591.7310577788,Grande São Paulo
I,2020-08-09,14948.9037785696,17569.9608179067,19798.9473985089,Grande São Paulo
I,2020-08-10,14997.5358123345,17710.9834119695,20007.5081762517,Grande São Paulo
I,2020-08-11,15043.7147603873,17851.8202036173,20217.4806873131,Grande São Paulo
I,2020-08-12,15087.5193230831,17992.4335277286,20428.9259317998,Grande São Paulo
I,2020-08-13,15129.0306649284,18132.7787203702,20641.8979562526,Grande São Paulo
I,2020-08-14,15168.331894875,18267.6590594323,20856.4438616238,Grande São Paulo
I,2020-08-15,15205.5075940075,18379.7122740889,21072.6039293506,Grande São Paulo
I,2020-08-16,15240.6431744176,18489.5173303428,21290.4111869042,Grande São Paulo
I,2020-08-17,15273.8242550866,18597.0480109232,21509.8908737399,Grande São Paulo
I,2020-08-18,15305.1361521168,18702.2817398673,21731.0601449045,Grande São Paulo
I,2020-08-19,15334.6633422528,18805.1995040067,21953.9274281921,Grande São Paulo
I,2020-08-20,15362.4890241378,18905.7858232456,22178.4919724909,Grande São Paulo
I,2020-08-21,15388.6948690638,19004.0289887569,22404.7440876585,Grande São Paulo
I,2020-08-22,15413.3608338937,19099.9213048983,22632.6655420064,Grande São Paulo
I,2020-08-23,15436.5648882113,19193.4590337853,22862.2294081786,Grande São Paulo
I,2020-08-24,15458.3827654073,19284.6422635148,23093.3998301873,Grande São Paulo
I,2020-08-25,15478.8877932611,19373.4748387991,23326.1320523044,Grande São Paulo
I,2020-08-26,15498.1507139253,19459.9641345074,23560.3721202282,Grande São Paulo
I,2020-08-27,15516.2395651623,19544.1208734372,23796.0567933226,Grande São Paulo
I,2020-08-28,15533.2196744995,19625.959160206,24033.1141523591,Grande São Paulo
