DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-08-01,2020-08-01,2020-10-02,193.636946571634,216.761333099057,308.985178631316,Grande São Paulo
II,2020-08-01,2020-08-01,2020-09-22,7.13381498829261,8.56057798595114,11.5244587798085,Araçatuba
III,2020-08-01,2020-09-07,2020-09-17,3.09369455431762,4.17851245922823,9.18477380459956,Araraquara
IV,2020-08-01,2020-08-01,2020-10-01,17.9778860724302,21.5734632869164,26.9668291086455,Baixada Santista
IX,2020-08-01,2020-09-10,2020-10-06,3.89387108779468,4.75917577397134,11.0299405714529,Marília
V,2020-08-01,2020-08-01,2020-10-04,3.4807691491207,4.17692297894479,5.57232652892134,Barretos
VI,2020-08-01,2020-08-01,2020-09-29,9.20751816773247,11.018656767403,23.3943236705582,Bauru
VII,2020-08-01,2020-08-01,2020-09-22,50.5257998544905,55.5783798399398,95.7769843239721,Campinas
VIII,2020-08-01,2020-10-08,2020-11-03,3.25930393685695,6.26283028746664,16.8121297756989,Franca
X,2020-08-01,2020-08-01,2020-09-21,17.6459770341687,19.6904946366457,28.4782741002643,Piracicaba
XI,2020-08-01,2020-08-01,2020-10-04,3.88740671907416,4.45642050878286,9.0462724228704,Presidente Prudente
XII,2020-08-01,2020-09-05,2020-09-25,1.50067741904729,1.86800352916622,4.07350444343561,Registro
XIII,2020-08-01,2020-08-01,2020-09-20,16.8349350222829,20.2019220267396,25.2524025334245,Ribeirão Preto
XIV,2020-08-01,2020-08-29,2020-09-05,5.61736172124233,11.9846329542188,23.120321117297,São João da Boa Vista
XV,2020-08-01,2020-08-01,2020-09-12,19.8179098480479,23.7814918176571,29.7268647720714,São José do Rio Preto
XVI,2020-08-01,2020-08-01,2020-10-02,15.9441941280614,17.5386135408676,27.4129718573056,Sorocaba
XVII,2020-08-01,2020-09-21,2020-10-11,18.5575208003754,28.2146416615468,70.7638882575893,Taubaté
