DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-10-09,2020-10-20,2020-10-28,95.8087989714986,193.314734527763,331.364484972295,Grande São Paulo
II,2020-10-10,2020-10-25,2020-11-05,4.44328876568079,9.42972494823519,17.2662116855714,Araçatuba
III,2020-10-10,2020-10-22,2020-10-31,4.0483673157861,8.49455174871312,14.8371360888508,Araraquara
IV,2020-10-09,2020-10-21,2020-10-29,10.5557261859017,21.7766051459146,37.3353118919945,Baixada Santista
IX,2020-10-09,2020-10-22,2020-11-05,3.37616988942528,7.10029480393186,12.6170548048906,Marília
V,2020-10-10,2020-10-21,2020-10-28,3.67525916017655,7.69355989428064,13.2074215018857,Barretos
VI,2020-10-10,2020-10-23,2020-11-02,7.64782215247328,16.2676953526549,28.8052147503877,Bauru
VII,2020-10-08,2020-10-19,2020-10-26,21.3471633690583,42.3095901653114,72.1248511928106,Campinas
VIII,2020-10-11,2020-10-26,2020-11-04,7.23648583560436,15.2976506101327,27.8991645833767,Franca
X,2020-10-09,2020-10-20,2020-10-28,8.26581781988466,16.8813074766355,28.9051387216239,Piracicaba
XI,2020-10-09,2020-10-22,2020-10-31,4.06873682831355,8.50882202528618,14.852076012795,Presidente Prudente
XII,2020-10-10,2020-10-26,2020-11-05,2.19785511463959,4.6556380185279,8.49770276040005,Registro
XIII,2020-10-10,2020-10-23,2020-10-31,14.8183322300999,31.3428326093001,54.9465656384418,Ribeirão Preto
XIV,2020-10-10,2020-10-25,2020-11-04,3.12254169997192,6.66724369780997,12.2250206832349,São João da Boa Vista
XV,2020-10-10,2020-10-21,2020-10-27,18.9270595547448,39.3250898212466,67.4551235297636,São José do Rio Preto
XVI,2020-10-09,2020-10-20,2020-10-27,8.11786596428487,16.3936242586273,28.1328716206165,Sorocaba
XVII,2020-11-08,2020-11-13,2020-11-20,34.2747690139468,85.4154701035079,159.693789065012,Taubaté
