Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,4,10,10,9,14,10,0.25,0.134960575481082,1.31755411978416,0.857142857142857,0.912627081830063,1.03904253516399,0.856421881003036,1.04682803135522
2,4,8,11,10,13,8.1,2.5,0.189802711919749,1.3984391227681,0.966666666666667,0.909421356932554,1.0384498747879,0.846814332279313,1.0346670826096
3,4,7,11,15,14,7.1,2.5,0.220825976586868,1.35832264184822,0.975,0.892192561583271,1.029749248856,0.84780068682087,1.03501886756598
4,5,6,10,5,15,6.2,2,0.224248246653192,1.29440530175878,0.95,0.879949263809843,1.02223926609463,0.865683133991175,1.04957530138197
5,4,7,10,19,16,7.075,2.5,0.221156123843328,1.35558765404346,0.975,0.877066128901651,1.0198394182737,0.870401096062319,1.0511825140601
6,6,5,10,7,14,5.55555555555556,2.5,0.220151986912517,1.21531787484329,0.888888888888889,0.883040761224668,1.02489598410882,0.855544909499878,1.04559427632224
7,4,8,11,21,16,8.2,0.25,0.176544762233096,1.37415178494157,0.933333333333333,0.880423920164318,1.02168332073781,0.842336987010256,1.03376023686763
8,6,7,10,22,13,7.1,1.5,0.215728007755631,1.34260868033053,0.966666666666667,0.906863659303471,1.03788462589322,0.869975167272107,1.05051486397339
9,5,6,11,11,13,6.16666666666667,3,0.235807426945984,1.31199287130151,0.966666666666667,0.896031633809605,1.03266599552752,0.846154230405306,1.03459741541771
10,4,9,11,22,16,9.13333333333333,1.5,0.158938187228707,1.41024934086198,0.933333333333333,0.884236056853255,1.02367236918756,0.842989551356261,1.03393564051557
11,4,6,10,15,13,6.57142857142857,1.5,0.183657462526757,1.19815878552181,0.857142857142857,0.904290037233179,1.03664813452654,0.851976057030387,1.04464794638583
12,4,10,11,11,17,10.05,3,0.15075583507091,1.4738514470447,0.95,0.878852662264716,1.02001717383516,0.845475196982728,1.03457880465015
13,5,8,11,20,16,8.3,0.25,0.16393653728702,1.31513185667282,0.9,0.881440190125157,1.02225197556945,0.8392119841033,1.03257982851628
14,4,10,10,17,16,10,0.5,0.16665430943121,1.49030596037371,0.966666666666667,0.889412727666089,1.02556901565653,0.870136937989094,1.05092421339099
15,4,9,11,5,14,9.2,1,0.150337375918178,1.3600319391628,0.9,0.90456947127578,1.03455450831071,0.839190243532349,1.03282815994973
16,5,7,10,15,15,7.15,1.5,0.199613953242771,1.33308268248575,0.95,0.886459285537823,1.02570299550774,0.866718129388658,1.0498487774358
17,6,5,10,13,14,5.25,0.25,0.267331278399217,1.2656510767828,0.95,0.880191080306248,1.02325742327666,0.864658196830452,1.04928134577104
18,4,8,11,11,16,8.1,1,0.194038399840149,1.40187795810222,0.966666666666667,0.879415878339896,1.02112812821953,0.846766688013967,1.03466813891995
19,4,8,11,26,16,8.3,1,0.162510808234005,1.32809505002157,0.9,0.881443960123837,1.02224672612061,0.838454128241831,1.03254077810084
20,6,6,10,13,15,6.5,3,0.184842316461389,1.21506076357748,0.875,0.882908215249928,1.02391551027353,0.855706236266542,1.04570285735427
