Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,4,26,12,27,17,24,2,0.0852460566085787,2.09406683246127,0.857142857142857,0.920615703599448,1.03106441324116,0.86435406948154,1.02548052017596
2,5,16,12,19,15,15.7333333333333,0.5,0.124381959487537,1.86604286367655,0.933333333333333,0.931199422740482,1.03759868717301,0.868275951545107,1.02586267618369
3,6,8,10,13,15,8.06666666666667,2,0.207508137689155,1.5030311907771,0.966666666666667,0.916150642844781,1.03129888229423,0.910840158222146,1.05263094024441
4,4,12,10,6,16,11.6666666666667,0.25,0.124885118587559,1.43199357111706,0.833333333333333,0.922569361690775,1.03366021760291,0.900337962464457,1.04962557323092
5,4,19,12,18,15,18,3,0.0955037581777485,1.78353424474281,0.857142857142857,0.935772570400865,1.03961076602577,0.863579461173031,1.02525289756408
6,5,5,10,25,15,6,0.5,0.200979353840605,1.19132438573412,0.8,0.903072449485013,1.02462053324935,0.890171922204585,1.04403317383849
7,4,23,13,16,20,22.75,2,0.109941931217068,2.2427384111166,0.975,0.894121542951305,1.01523326909273,0.854441953884199,1.01750913877196
8,4,16,12,23,18,15.7333333333333,0.5,0.120209934319109,1.82634394781291,0.933333333333333,0.904670035626604,1.0230476984106,0.868228398349667,1.0258563711659
9,6,13,13,14,16,13,2.5,0.116779946504762,1.55306389205944,0.833333333333333,0.91679456380369,1.03038771740904,0.844760190453577,1.01554749117131
10,4,23,12,5,16,20.8,1,0.0869123607389413,1.80821950099955,0.8,0.929041779714317,1.03524696124429,0.86045386773306,1.02460587366772
11,5,20,10,13,20,18.75,3,0.100055513396942,1.93966761248853,0.875,0.899822311350282,1.01844924788858,0.904815034820065,1.05078791365646
12,4,8,10,12,18,8.22222222222222,2,0.164673004419979,1.35478264708518,0.888888888888889,0.89423700109465,1.01737836046842,0.903147836456426,1.0498465570087
13,4,26,10,6,16,25.4666666666667,0.25,0.102230345920237,2.39929572826641,0.966666666666667,0.934526729353145,1.03773905215301,0.910226799091371,1.05325054721302
14,6,7,11,13,17,7.2,0.5,0.219030241786348,1.44203143798045,0.95,0.892431998254484,1.01793510898846,0.886957014482202,1.03613717343054
15,4,21,12,8,19,20.4,2.5,0.101102932610812,2.06058952610179,0.933333333333333,0.901715043620634,1.02036920507144,0.868652592830793,1.02597022844152
16,6,13,13,25,17,13,2,0.118119307440125,1.55330569572003,0.833333333333333,0.908277722149009,1.02571561899854,0.844761479064701,1.01554709968472
17,6,17,10,7,17,16,0.25,0.114240312380169,1.78880175520352,0.857142857142857,0.920065724782819,1.03100864168697,0.903672412765229,1.05033862848496
18,5,7,11,26,16,7.8,2.5,0.155390318083485,1.23752181870907,0.8,0.905184577319197,1.02466638366512,0.872280093340023,1.03155547108297
19,4,8,13,12,14,8.71428571428572,3,0.151221487371801,1.35222120135803,0.857142857142857,0.922099242614776,1.03737792928538,0.843961080990627,1.01471889761175
20,5,7,13,22,17,8,3,0.161844729740913,1.31981049535548,0.833333333333333,0.892217514501798,1.0179691811702,0.841272082787817,1.01382955440701
