"Municipio","DRS","Minimo","Mediana","Máximo"
"SALTO","Sorocaba",1.06489030520215,1.13861631313967,1.25280443241134
"PRESIDENTE ALVES","Bauru",1.0614041186898,1.13385901551295,1.24448813224843
"SALTINHO","Piracicaba",1.05533275437338,1.13208382434873,1.23362086555094
"BAURU","Bauru",1.063426857008,1.1275633042319,1.26118662687193
"PONGAÍ","Bauru",1.04531466588286,1.12693686200389,1.26996581474755
"PATROCÍNIO PAULISTA","Franca",1.05342764600296,1.12685242504588,1.23580573474138
"ARARAS","Piracicaba",1.06450171176083,1.12652108824607,1.25935220435185
"MIRANDÓPOLIS","Araçatuba",1.05356736657803,1.12527459208502,1.2361143188691
"VARGEM GRANDE DO SUL","São João da Boa Vista",1.05446690841612,1.12239479671584,1.24030776992805
"BOITUVA","Sorocaba",1.04343653466971,1.12129522048149,1.23434125949959
"SALESÓPOLIS","Grande São Paulo",1.04298094419153,1.1182822747743,1.23332174599393
"ITAÍ","Bauru",1.04058441258322,1.11302136308187,1.21960361567031
"SÃO ROQUE","Sorocaba",1.04115826140158,1.11220672201521,1.21960061590192
"INDIANA","Presidente Prudente",1.00879705694643,1.1082204406446,1.21254657250811
"DOURADO","Araraquara",1.0400733916027,1.1081520490696,1.21972687480413
"ITAPIRA","São João da Boa Vista",1.032522560784,1.10751313213985,1.2175697286323
"APARECIDA DOESTE","São José do Rio Preto",1.02391802312082,1.10615513686908,1.23857230390394
"ADAMANTINA","Marília",1.03586534706978,1.10579385634439,1.21615505798076
"PLANALTO","São José do Rio Preto",1.0196768067191,1.10495713527028,1.25493432891893
"PEDRA BELA","Campinas",1.00851486177745,1.10377989196125,1.21114990800333
"MOGI GUAÇU","São João da Boa Vista",1.03305132941718,1.10264376683202,1.21585500230638
"ARAMINA","Franca",1.0297487716177,1.10248770744572,1.20342184443045
"PRESIDENTE EPITÁCIO","Presidente Prudente",1.03318973458715,1.10194492334519,1.21932949961372
"IPIGUÁ","São José do Rio Preto",1.00430351322215,1.09561300904239,1.26458592718269
"CHARQUEADA","Piracicaba",1.01306450042297,1.09206141739916,1.20911923607589
"GUARAREMA","Grande São Paulo",0.988886679599447,1.08903793430438,1.20220004039305
"PIRATININGA","Bauru",1.0212486247879,1.08862933059588,1.19728316724556
"GUARIBA","Ribeirão Preto",1.00149478831737,1.08210858860211,1.18908930937369
"OSVALDO CRUZ","Marília",1.00883660169978,1.07957613231048,1.19168688243497
"ARUJÁ","Grande São Paulo",1.00860679537403,1.07872310414569,1.18606687284377
"CORUMBATAÍ","Piracicaba",0.999764493719344,1.07220500888088,1.1631089807244
"BOM JESUS DOS PERDÕES","Campinas",0.990198072334083,1.07057301290423,1.17987733791554
"SANTA ISABEL","Grande São Paulo",0.99042798759268,1.06891476780073,1.17762177104504
"AREALVA","Bauru",0.990491561835471,1.06880375818143,1.18239468228386
"SANTA RITA DO PASSA QUATRO","Ribeirão Preto",0.99123714534694,1.06798534606895,1.17540295550623
"LIMEIRA","Piracicaba",0.97634909419231,1.06562744021728,1.16029175561327
"MIRASSOLÂNDIA","São José do Rio Preto",0.999161041531253,1.06402937688688,1.17510401146516
"ITARARÉ","Sorocaba",0.996573737572684,1.06384089414139,1.1743911014141
"PENÁPOLIS","Araçatuba",0.989719437792805,1.06281578047812,1.16900510571273
"PIRASSUNUNGA","Piracicaba",0.997767515749823,1.06180175883443,1.1761076637503
"BOA ESPERANÇA DO SUL","Araraquara",0.991037590531808,1.05948175079654,1.16285091942739
"POPULINA","São José do Rio Preto",0.98580293292828,1.05650753983714,1.15758362500692
"RIBEIRÃO BRANCO","Sorocaba",0.989477631808104,1.05537004677375,1.16973143175375
"PARDINHO","Bauru",0.987696507982799,1.05344353060048,1.17172077387043
"CERQUEIRA CÉSAR","Bauru",0.974964930185694,1.04911971293534,1.15042163662702
"OSASCO","Grande São Paulo",0.979645041340013,1.04624903227979,1.15919219113152
"CABREÚVA","Campinas",0.977231430359667,1.041827547212,1.15331164773865
"QUELUZ","Taubaté",0.967941526146384,1.04066933336377,1.14491798411158
"ITÁPOLIS","Araraquara",0.969284712675023,1.03615363314169,1.14198252969675
"VALPARAÍSO","Araçatuba",0.956577374346164,1.03485510058145,1.13475221493614
"CAPELA DO ALTO","Sorocaba",0.963010738560641,1.03476597346605,1.12747372968114
"IRACEMÁPOLIS","Piracicaba",0.965086088893919,1.03438382107806,1.1440384167034
"RIO DAS PEDRAS","Piracicaba",0.963235133635964,1.03374496584378,1.13797359844771
"ITAPETININGA","Sorocaba",0.965465796150428,1.03326911198613,1.1355681734855
"OURINHOS","Marília",0.946700678559294,1.03269681868818,1.13073902233201
"MAIRINQUE","Sorocaba",0.962054072890636,1.0315746220612,1.1310446801311
"ÁLVARES MACHADO","Presidente Prudente",0.953756426835123,1.03131917539353,1.11950729420695
"JALES","São José do Rio Preto",0.966227064459132,1.03002094911233,1.1410179093374
"COROADOS","Araçatuba",0.949728748220022,1.0287926759386,1.1239114164835
"ATIBAIA","Campinas",0.963488196916023,1.02802970624526,1.13532319067518
"SANTA ROSA DE VITERBO","Ribeirão Preto",0.965733686560011,1.02786306443031,1.13439972884552
"ARTUR NOGUEIRA","Campinas",0.954096298035617,1.02784099216595,1.13847392974351
"PORTO FELIZ","Sorocaba",0.956757357793256,1.02716644361684,1.12876368311811
"COLÔMBIA","Barretos",0.967287561661486,1.02715760029972,1.13510532699948
"ONDA VERDE","São José do Rio Preto",0.93687743003743,1.02531204066815,1.18513603518015
"GUAPIARA","Sorocaba",0.959569634451749,1.02362670314035,1.12620313599166
"ARARAQUARA","Araraquara",0.953094299055844,1.02115435035337,1.13172781861859
"BRAÚNA","Araçatuba",0.930216885298209,1.01939488061237,1.10788806307674
"BEBEDOURO","Barretos",0.93929286630797,1.01705965587369,1.11754627927165
"NOVO HORIZONTE","São José do Rio Preto",0.94834749453519,1.01438474960883,1.12520118488157
"ITAPECERICA DA SERRA","Grande São Paulo",0.943979728745815,1.01386293330463,1.10172141657322
