"Municipio","DRS","Minimo","Mediana","Máximo"
"PRESIDENTE VENCESLAU","Presidente Prudente",2.56580397400435,3.18041341247576,3.84919152304431
"ADAMANTINA","Marília",2.27829388116067,2.9041180825764,3.5469775211737
"TAPIRAÍ","Sorocaba",2.18941297091713,2.596957893856,3.05266022024268
"SOROCABA","Sorocaba",2.04776488158698,2.45578275652713,2.8256684277566
"GUAREÍ","Sorocaba",1.8892632251596,2.2833622384115,2.65436682134994
"MIRANDÓPOLIS","Araçatuba",1.86640569986313,2.27910492435499,2.70573454621858
"ESPÍRITO SANTO DO PINHAL","São João da Boa Vista",1.85521352269011,2.25124128418715,2.63831984453604
"IPUÃ","Franca",1.80923648880565,2.21612620265308,2.55594354852972
"PILAR DO SUL","Sorocaba",1.79156619289477,2.14336093554169,2.54952760224856
"SALTO DE PIRAPORA","Sorocaba",1.76618375694016,2.09881109416367,2.40890031081228
"SANTA FÉ DO SUL","São José do Rio Preto",1.69093895306332,2.09505396944045,2.5112458971972
"MOCOCA","São João da Boa Vista",1.77034825723378,2.09360409675743,2.43847866064285
"IGARAPAVA","Franca",1.70206303689342,2.05805997631138,2.35897770198629
"ORLÂNDIA","Franca",1.68076909586048,2.01369905617119,2.28450940991574
"FRANCA","Franca",1.67984632974271,2.00330446686905,2.27855117635375
"SANTA CRUZ DAS PALMEIRAS","São João da Boa Vista",1.66550010533609,1.98190057567217,2.29663990445157
"PRESIDENTE PRUDENTE","Presidente Prudente",1.66991984021812,1.9615652372072,2.27464356222545
"ITU","Sorocaba",1.66088358464186,1.95831735148525,2.22998037058455
"ITAPEVA","Sorocaba",1.62949256330126,1.94014466579901,2.28592211963704
"AGUAÍ","São João da Boa Vista",1.62417552093671,1.93183337483147,2.19506284828545
"TAUBATÉ","Taubaté",1.65714441362593,1.93142432551101,2.273444329831
"COTIA","Grande São Paulo",1.634429022637,1.91535683781587,2.17462032061508
"PINDAMONHANGABA","Taubaté",1.62840057141771,1.90428766646438,2.23701879063721
"SALTO","Sorocaba",1.58990639225947,1.87607282784484,2.13002598557194
"PIEDADE","Sorocaba",1.58621360216368,1.85908410864769,2.09588523959649
"VOTORANTIM","Sorocaba",1.58637129133936,1.85640248613494,2.09067250657552
"MONTE ALTO","Ribeirão Preto",1.56135650896579,1.83745146145139,2.11401486996662
"MAIRINQUE","Sorocaba",1.57362763084986,1.82319656965449,2.04230749311833
"MORRO AGUDO","Franca",1.54384007151,1.82076091251065,2.05181363568416
"JUQUIÁ","Registro",1.52907058594832,1.81694502299138,2.11806141156933
"SÃO ROQUE","Sorocaba",1.53681500896191,1.80195780523382,2.02765254774262
"INDAIATUBA","Campinas",1.55110576733798,1.79935448598713,2.09373727769798
"ANGATUBA","Sorocaba",1.52160419236382,1.78944191969423,2.01310905608193
"ITAQUAQUECETUBA","Grande São Paulo",1.53230560540875,1.78617124201525,2.01291382412321
"ENGENHEIRO COELHO","Piracicaba",1.54683321285943,1.78230461448298,2.067187423749
"ITAPETININGA","Sorocaba",1.51177816084147,1.76557198569724,1.98283884152488
"SÃO VICENTE","Baixada Santista",1.47683252620613,1.75091077979913,2.0074501699506
"ARAÇATUBA","Araçatuba",1.51166775513674,1.74172887542636,2.00845959017025
"SÃO JOSÉ DO RIO PARDO","São João da Boa Vista",1.50679966473561,1.74030333523141,1.97772417600562
"SANTA GERTRUDES","Piracicaba",1.48291327823705,1.73081002655493,2.02407669453828
"BEBEDOURO","Barretos",1.5210930297959,1.72978731346407,1.97634713266493
"HORTOLÂNDIA","Campinas",1.47636730739683,1.728980643681,1.95453380280059
"SÃO MIGUEL ARCANJO","Sorocaba",1.484200513852,1.72326527264875,1.93560889498982
"LINS","Bauru",1.44126821620417,1.71658706312858,1.96356340593624
"SERTÃOZINHO","Ribeirão Preto",1.47456326829725,1.70697992919662,1.9910341494457
"CAPÃO BONITO","Sorocaba",1.48751861766648,1.69657040219337,1.88146597659009
"MAIRIPORÃ","Grande São Paulo",1.45830919465114,1.68843389161623,1.95401268398789
"MIRASSOL","São José do Rio Preto",1.42598077592233,1.68577041717389,1.97703432043416
"MOGI GUAÇU","São João da Boa Vista",1.44433190778568,1.68044593378509,1.87826522121751
"JAGUARIÚNA","Campinas",1.42974350342746,1.67901409897074,1.94471930010655
"ANDRADINA","Araçatuba",1.39142362521032,1.63950925284956,1.87177712517368
"BAURU","Bauru",1.41053619013965,1.63635394414755,1.86619132290996
"POTIRENDABA","São José do Rio Preto",1.42324932714676,1.6283156637551,1.87834252367766
"ATIBAIA","Campinas",1.3973609101754,1.6232257875752,1.86774949407028
"BOITUVA","Sorocaba",1.40627221674118,1.61483659404161,1.79818310108363
"BADY BASSITT","São José do Rio Preto",1.41176978909582,1.61432600416571,1.87366948584922
"SÃO JOAQUIM DA BARRA","Franca",1.3752612201524,1.61024261624939,1.80122962130375
"VALENTIM GENTIL","São José do Rio Preto",1.42688554439521,1.60812913386173,1.83236419817669
"JABOTICABAL","Ribeirão Preto",1.37654085165504,1.6032195601387,1.8336158592633
"MONGAGUÁ","Baixada Santista",1.35911293680543,1.59665164378414,1.80917777374162
"COLINA","Barretos",1.38037753900956,1.58835024741568,1.8265310368084
"PARAGUAÇU PAULISTA","Marília",1.38233316435827,1.58335963626525,1.79443092428355
"REGISTRO","Registro",1.38719585434423,1.58290089508205,1.82622125001889
"SERRANA","Ribeirão Preto",1.38693725433025,1.57575839310209,1.80440128717072
"DRACENA","Presidente Prudente",1.33951830199323,1.56808278297439,1.76722683512758
"CAÇAPAVA","Taubaté",1.27093978578219,1.56297616691725,1.80061928955974
"CORDEIRÓPOLIS","Piracicaba",1.39891679153834,1.56284070255766,1.76478300089901
"CAPIVARI","Piracicaba",1.36615182829299,1.55910265207536,1.72745105259101
"LEME","Piracicaba",1.38497510333166,1.55849344905651,1.75901932460756
"CRUZEIRO","Taubaté",1.3503828465039,1.54500466449408,1.74979819375225
"OLÍMPIA","Barretos",1.33755460510429,1.54243026188397,1.7725678326327
"AVARÉ","Bauru",1.30156369534995,1.54068078371375,1.7417513909527
