DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-16,2020-07-16,2020-07-16,169.416127853498,192.004944900626,221.544167193037,Grande São Paulo
II,2020-07-16,2020-07-16,2020-10-27,3.65949456919932,4.18227950765639,7.08683249570436,Araçatuba
III,2020-07-16,2020-07-16,2020-11-07,1.58849340103274,1.71294422768313,3.90846296976679,Araraquara
IV,2020-07-16,2020-07-16,2020-07-16,15.8043997777759,17.9116530814795,20.6672920170915,Baixada Santista
IX,2020-07-16,2020-07-16,2020-10-14,2.25165819572423,2.41249092399026,5.13933063183339,Marília
V,2020-07-16,2020-07-16,2020-09-30,2.28404828056317,2.58858805130495,2.9868323668903,Barretos
VI,2020-07-16,2020-07-16,2020-09-26,4.32594222551037,4.90273452224491,5.65700137182108,Bauru
VII,2020-07-16,2020-07-16,2020-10-10,27.8266268142875,31.5368437228588,36.3886658340682,Campinas
VIII,2020-07-16,2020-07-16,2020-10-09,1.63556331802864,1.75238926931641,3.93384598813498,Franca
X,2020-07-16,2020-07-16,2020-09-21,10.9910274414193,12.5611742187651,25.2527996315694,Piracicaba
XI,2020-07-16,2020-07-16,2020-10-27,1.99037441161815,2.27471361327784,3.94244693346798,Presidente Prudente
XII,2020-07-16,2020-07-16,2020-10-16,0.999616744247156,1.14241913628247,2.733997122126,Registro
XIII,2020-07-16,2020-07-16,2020-10-02,11.5025328276429,13.1457518030205,28.5126974690088,Ribeirão Preto
XIV,2020-07-16,2020-07-16,2020-10-12,2.75351462707818,3.34355347573778,4.16016461893781,São João da Boa Vista
XV,2020-07-16,2020-07-16,2020-10-02,10.7373635241763,13.0382271364999,16.6873477682327,São José do Rio Preto
XVI,2020-07-16,2020-07-16,2020-07-16,10.1436554928688,11.4961428919179,13.2647802599054,Sorocaba
XVII,2020-07-16,2020-07-16,2020-10-04,6.88429320703153,7.80219896796928,9.00253727073374,Taubaté
