Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,5,10,11,14,14,10.1666666666667,1.5,0.0781313740009166,0.771878558122305,0.833333333333333,0.915572506151777,1.0439410441382,0.838862124846491,1.03716363572732
2,6,8,10,14,13,8.04,1.5,0.157694604258677,0.812585065778667,0.98,0.916804034473363,1.04790710035666,0.85250914578371,1.0519584662693
3,4,10,11,17,14,10.1111111111111,0.25,0.095996735844645,0.917649153728098,0.888888888888889,0.914446094416117,1.04298520533074,0.843182269138806,1.03785688504537
4,5,6,10,25,12,6.08,2.5,0.227901353124914,0.899839673246805,0.98,0.916008722966946,1.04803782599949,0.844355196685679,1.05111343250371
5,6,7,10,10,13,7.1,1.5,0.157289712743738,0.86466175963272,0.966666666666667,0.913164822281871,1.0450888901874,0.874665421692204,1.05008042910615
6,6,5,11,14,12,5.66666666666667,0.5,0.169524120211329,0.891889631340064,0.888888888888889,0.910018261435719,1.04344749200381,0.838188069766417,1.03627095424833
7,5,8,10,5,13,8.1,1.5,0.128195155189736,0.918855235370038,0.95,0.917567208827689,1.04854853688198,0.870266218030973,1.04989896445201
8,6,10,11,11,14,10.1666666666667,0.25,0.0721110828740712,0.700816142499986,0.833333333333333,0.915553638509629,1.04394121252105,0.838242351038097,1.03702312001212
9,6,7,11,20,13,7.2,0.5,0.142103100224063,0.866468202152205,0.95,0.911498255068546,1.04391390471546,0.848045308424983,1.03775467436826
10,5,7,11,28,13,7.4,0.25,0.130341239262982,0.894231072898142,0.9,0.912930274741537,1.0451398985536,0.841711763662632,1.03755080226838
11,5,6,11,19,12,6.625,2.5,0.13927708468136,0.891206915850619,0.875,0.917215155859054,1.04990357154288,0.838696600397027,1.03651795044756
12,4,5,11,27,12,5.75,2.5,0.171844837824453,0.972898297492252,0.875,0.910604308005523,1.04399674668325,0.838518108734856,1.03595538958113
13,5,10,11,21,14,10.1,2,0.0872411136417588,0.835944570742119,0.9,0.914185337682654,1.04279520380383,0.842887269063567,1.03786828440104
14,5,10,10,24,14,10,2.5,0.125438282927593,0.868034358503047,0.98,0.914668902591358,1.04295300610126,0.873287365484216,1.05081061619388
15,4,8,11,22,13,8.15,1,0.138411828411238,0.990636050796497,0.95,0.915431009647404,1.04694838175511,0.849805139305443,1.03782360533485
16,4,6,11,26,12,6.16666666666667,2.5,0.201825630129814,0.996721020930302,0.966666666666667,0.914193281409052,1.04712004548137,0.852779995255401,1.03775725843341
17,6,10,10,5,14,10,1.5,0.0916577382428167,0.79297877141234,0.95,0.915226002445853,1.04345506229117,0.868499824369148,1.0500733285525
18,6,7,11,17,13,7.5,0.5,0.11474159654111,0.806420353424182,0.875,0.913626004848873,1.04575909430384,0.838871251450166,1.03694451984919
19,4,10,10,25,14,10,2.5,0.137865761824044,0.954188038894797,0.98,0.914712147496762,1.04295693749173,0.875968235197849,1.05086739124124
20,4,8,11,18,13,8.375,1.5,0.113471875972298,0.921414510764705,0.875,0.917368881522873,1.04860587388185,0.841289230938055,1.03745505047868
21,4,5,11,28,12,5.75,3,0.171158580950332,0.972448568990965,0.875,0.91060361198405,1.04399634841897,0.838516854270851,1.03594723994762
22,6,10,11,17,14,10.125,1.5,0.0761042125159275,0.737197558683648,0.875,0.914681560880596,1.04322367627752,0.840560029179527,1.03782070657679
23,6,7,10,13,13,7.1,3,0.154055416458926,0.865151404546701,0.966666666666667,0.9131636643573,1.04508882914792,0.874657789751996,1.0500655360692
24,5,7,10,25,13,7.1,0.5,0.16894373857129,0.929074541507045,0.966666666666667,0.913196019368838,1.04508897848487,0.875493783787504,1.05016513382726
25,6,10,10,22,14,10,1,0.112987688578194,0.785998869724148,0.975,0.91473197590475,1.04303127028463,0.877656624983171,1.05054718141226
26,4,7,11,16,13,7.66666666666667,2.5,0.116745334610457,0.88579915549208,0.833333333333333,0.914895517180889,1.04679897710265,0.837423160618724,1.03602122233795
27,5,7,11,14,13,7.26666666666667,0.5,0.140716987911692,0.921877562977763,0.933333333333333,0.911987662401819,1.04432067574878,0.845517728324401,1.03768736789802
28,5,6,11,7,12,6.33333333333333,3,0.158843412959844,0.941063278651473,0.933333333333333,0.9152371420583,1.04796895998612,0.845459178663413,1.03756797109408
29,4,7,11,22,13,7.26666666666667,3,0.143319065496563,0.986430347839341,0.933333333333333,0.912021134593627,1.04432034182672,0.846804824851317,1.03768546020698
