Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
GUAIÇARA,2020-07-12,2020-07-12,2020-07-12,0.104603859035097,0.11114160022479,0.127018971685474
AURIFLAMA,2020-07-12,2020-07-12,2020-09-27,0.0827531879940211,0.0882700671936227,0.139418092525528
IPAUSSU,2020-07-12,2020-08-17,2020-09-12,0.0920116472376057,0.113999552070893,0.274893571368095
HORTOLÂNDIA,2020-07-12,2020-07-12,2020-10-03,1.10597165125043,1.15132414076308,1.65518321720435
BARRA DO TURVO,2020-08-17,2020-09-20,2020-11-01,0.010859851819226,0.0334979236715507,0.104084934944821
APARECIDA,2020-07-12,2020-10-09,2020-12-11,0.0520829193986357,0.0808588986108045,0.243117324086207
OSASCO,2020-07-12,2020-07-12,2020-07-12,7.25124513833271,7.70444795947856,8.80508338226116
BARUERI,2020-07-12,2020-07-12,2020-09-25,3.13890823393339,3.33508999855425,3.84513037099208
ÁLVARO DE CARVALHO,2020-07-12,2020-07-12,2020-07-14,0.00235500336210315,0.00247165957837403,0.00282475380385616
SABINO,2020-08-14,2020-08-30,2020-09-17,0.0162794218542259,0.0689842032288119,0.192830665698245
TARABAI,2020-07-12,2020-09-11,2020-10-22,0.0223325357664088,0.0586523515408106,0.162276025705626
BARÃO DE ANTONINA,2020-07-12,2020-07-12,2020-07-12,0.00325615125401079,0.00345966070738647,0.00395389795129882
ESTRELA DO NORTE,2020-07-21,2020-07-25,2020-07-30,0.000414500582965179,0.000637077930953021,0.00101714705115022
PARANAPUÃ,2020-07-12,2020-07-12,2020-09-28,0.00983843694681498,0.0102383196979477,0.0131927567668916
RUBIÁCEA,2020-07-12,2020-07-12,2020-07-12,0.0260572322057299,0.027685809218588,0.0316409248212434
MORRO AGUDO,2020-07-12,2020-07-12,2020-07-12,0.19191460367931,0.203909266409267,0.23303916161059
RIO GRANDE DA SERRA,2020-07-12,2020-07-12,2020-07-12,0.209189173440549,0.222263496780585,0.254015424892097
LAGOINHA,2020-08-20,2020-09-21,2020-10-15,2.20882589744684e-07,2.92909156577497e-06,1.87514856992835e-05
PRESIDENTE BERNARDES,2020-07-12,2020-08-27,2020-09-30,0.0789730250290401,0.0855217243728535,0.199271083622923
SALTO,2020-07-12,2020-09-08,2020-10-17,0.349051339285714,0.535015473141389,1.78668187442662
MAUÁ,2020-07-12,2020-07-12,2020-07-12,2.31979621728109,2.46478348086114,2.81689540669845
LINDÓIA,2020-07-12,2020-07-12,2020-07-31,0.00513580278517304,0.00547818963751791,0.00670200946461383
VÁRZEA PAULISTA,2020-07-12,2020-07-12,2020-10-07,0.904496432719426,0.961027459764395,1.22647624771457
CABRÁLIA PAULISTA,2020-07-12,2020-07-12,2020-07-12,0.0215720020578215,0.0229202521864353,0.0261945739273547
MIGUELÓPOLIS,2020-07-12,2020-07-12,2020-07-12,0.0423987096175129,0.0450486289686076,0.0514841473926944
TUPI PAULISTA,2020-09-06,2020-10-01,2020-11-06,0.0353707111513932,0.156298702984237,0.506624922461556
IACRI,2020-07-12,2020-07-12,2020-07-12,0.00232626783846972,0.00247165957837408,0.00282475380385609
ARTUR NOGUEIRA,2020-07-12,2020-09-18,2020-10-29,0.147531545355081,0.400546758484559,1.0999373388407
ARUJÁ,2020-07-12,2020-07-12,2020-07-12,0.726787249346501,0.772211452430661,0.882527374206468
GUARAREMA,2020-07-12,2020-07-12,2020-07-12,0.241053164268251,0.256118987035018,0.292707413754306
TUIUTI,2020-08-19,2020-09-17,2020-10-23,0.0168065363403653,0.0676731727039741,0.203819406024011
BROTAS,2020-07-12,2020-10-09,2020-12-29,0.00670309262056126,0.00824727175740747,0.033674474427388
ARARAS,2020-07-12,2020-07-12,2020-07-12,0.58920003046536,0.626025032369444,0.715457179850791
SÃO JOÃO DAS DUAS PONTES,2020-07-12,2020-07-12,2020-07-12,0.0259786178203481,0.0276022814341197,0.0315454644961368
ALVINLÂNDIA,2020-08-12,2020-08-30,2020-09-28,0.0139868929133651,0.0512063196782472,0.138192540917644
INÚBIA PAULISTA,2020-07-21,2020-07-25,2020-07-30,0.000338376803327841,0.000521946282240166,0.000831907365994748
PIRANGI,2020-07-12,2020-07-12,2020-07-12,0.130407517177391,0.138557987000977,0.158351985143975
GABRIEL MONTEIRO,2020-07-12,2020-07-12,2020-07-13,0.00402706012960352,0.00425935526439813,0.00486783458788365
TEJUPÁ,2020-07-12,2020-07-12,2020-07-12,0.00407018906751349,0.00432457588423308,0.00494237243912352
ÁGUAS DE SÃO PEDRO,2020-07-12,2020-07-12,2020-07-12,0.00559193957677148,0.0059414358003197,0.00679021234322252
SERRANA,2020-07-12,2020-07-12,2020-09-26,0.445353057104404,0.467419138564264,0.645036005360169
VALINHOS,2020-07-12,2020-07-12,2020-09-15,0.586476910411932,0.617862209611634,0.706128239556151
ROSANA,2020-07-12,2020-07-12,2020-07-12,0.0119944565497337,0.012744110084092,0.0145646972389623
GUATAPARÁ,2020-07-12,2020-07-12,2020-07-12,0.0106603860227061,0.0113266601491252,0.0129447544561431
PORANGABA,2020-07-12,2020-07-12,2020-07-12,0.00488422688101618,0.0051894910610797,0.00593084692694822
SÃO FRANCISCO,2020-08-10,2020-09-03,2020-10-04,0.00888548631121283,0.0292140393158578,0.0862284124067325
SANDOVALINA,2020-07-12,2020-07-12,2020-07-12,0.00199907609162228,0.00212401834734867,0.00242744953982705
RANCHARIA,2020-08-14,2020-09-06,2020-10-03,0.0833391725549513,0.363561737686672,1.08674671832939
CESÁRIO LANGE,2020-07-12,2020-07-12,2020-12-17,0.0217196938925777,0.0233593917073127,0.0665315535274633
LARANJAL PAULISTA,2020-07-12,2020-07-12,2020-09-30,0.100330160514207,0.107018837881821,0.19313864021535
RIBEIRÃO DO SUL,2020-08-05,2020-08-13,2020-09-01,2.59908277841252e-07,2.47375787226867e-06,1.00569660281864e-05
MIRA ESTRELA,2020-07-12,2020-08-22,2020-09-20,0.0160330083577727,0.0239722499159476,0.0593983718890261
MORUNGABA,2020-07-12,2020-07-12,2020-12-29,0.0140378609461396,0.0160432696527311,0.0451178522070981
CORUMBATAÍ,2020-07-12,2020-07-12,2020-09-27,0.0216052210920716,0.0230455691648764,0.03939292685464
SANTA ERNESTINA,2020-07-12,2020-07-12,2020-07-12,0.0298940492917632,0.0317624273724984,0.036299916997141
