Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
GUAIÇARA,2020-07-18,2020-07-18,2020-07-18,0.0883550879500246,0.0946661656607408,0.120484210840943
AURIFLAMA,2020-07-18,2020-07-18,2020-07-18,0.107364559519379,0.115033456627906,0.146406217526426
IPAUSSU,2020-07-18,2020-07-18,2020-07-18,0.119611815644488,0.128155516761951,0.163107021333392
HORTOLÂNDIA,2020-07-18,2020-07-18,2020-07-18,1.22672128625279,1.31434423527084,1.67280175398108
BARRA DO TURVO,2020-07-18,2020-09-07,2020-09-10,0.0146950184686034,0.0241577781218839,0.0342829506310611
APARECIDA,2020-07-18,2020-07-18,2020-07-18,0.0550382419726702,0.0589695449707181,0.0750521481445503
OSASCO,2020-07-18,2020-07-18,2020-07-18,8.34383533102925,8.93982356895992,11.3779572695853
BARUERI,2020-07-18,2020-07-18,2020-07-18,3.28009870474992,3.51439146937491,4.47286187011355
ÁLVARO DE CARVALHO,2020-07-18,2020-07-18,2020-07-18,0.00172635610208527,0.00184966725223434,0.00235412195738904
SABINO,2020-07-18,2020-09-06,2020-09-09,0.010435640309058,0.0185264518157872,0.0258317298040158
TARABAI,2020-07-18,2020-07-18,2020-07-18,0.0237036048583716,0.0253967194911124,0.0323230975341431
BARÃO DE ANTONINA,2020-07-18,2020-07-18,2020-07-18,0.000463806235958136,0.000496935252812289,0.000632463049033822
ESTRELA DO NORTE,2020-08-15,2020-08-27,2020-08-30,0.0123716862726281,0.0328193434065093,0.0485874589450602
PARANAPUÃ,2020-07-18,2020-07-18,2020-07-18,0.0126431762453394,0.0135462602628637,0.0172406948800083
RUBIÁCEA,2020-07-18,2020-07-18,2020-07-18,0.0128470413100112,0.0137646871178691,0.0175186926954698
MORRO AGUDO,2020-07-18,2020-07-18,2020-07-18,0.221750212404418,0.237589513290448,0.302386653278752
RIO GRANDE DA SERRA,2020-07-18,2020-07-18,2020-07-18,0.210395953253096,0.225424235628317,0.286903572617858
LAGOINHA,2020-08-15,2020-09-11,2020-09-16,1.68590092867517e-07,1.10661109130998e-06,2.43243675791357e-06
PRESIDENTE BERNARDES,2020-07-18,2020-07-18,2020-07-18,0.0711108145751149,0.0761901584733373,0.0969692926024294
SALTO,2020-07-18,2020-07-18,2020-07-18,0.476726498326741,0.510778391064367,0.650081588627375
MAUÁ,2020-07-18,2020-07-18,2020-07-18,2.24802338445772,2.40859648334757,3.06548643335145
LINDÓIA,2020-08-17,2020-09-03,2020-09-06,0.028288586000412,0.0634900178161744,0.093692888466864
VÁRZEA PAULISTA,2020-07-18,2020-07-18,2020-07-18,0.910836316303289,0.97589605318209,1.24204952223175
CABRÁLIA PAULISTA,2020-07-18,2020-07-18,2020-07-18,0.0236541180338649,0.0253436978934266,0.0322556155007248
MIGUELÓPOLIS,2020-07-18,2020-07-18,2020-07-18,0.0574175824175824,0.0615188383045526,0.0782967032967032
TUPI PAULISTA,2020-08-29,2020-10-02,2020-10-07,0.0207107668789754,0.0371703201343565,0.0500691847744603
IACRI,2020-07-18,2020-07-18,2020-07-18,0.000493244600595824,0.00052847635778124,0.00067260627353976
ARTUR NOGUEIRA,2020-07-18,2020-07-18,2020-07-18,0.194208110029006,0.20808011788822,0.264829240948644
ARUJÁ,2020-07-18,2020-07-18,2020-07-18,0.794141145139811,0.850865512649797,1.08291974337247
GUARAREMA,2020-07-18,2020-07-18,2020-07-18,0.238007190549563,0.255007704160246,0.324555259840313
TUIUTI,2020-07-18,2020-09-09,2020-09-12,0.020520102191744,0.0293682031249902,0.0404652879425755
BROTAS,2020-09-02,2020-10-05,2020-10-12,0.0219586704795447,0.0367949997033096,0.0589532116477862
ARARAS,2020-07-18,2020-07-18,2020-07-18,0.698161499639511,0.748030178185189,0.952038408599332
SÃO JOÃO DAS DUAS PONTES,2020-07-18,2020-07-18,2020-07-18,0.0270104219786798,0.0289397378342997,0.0368323936072905
ALVINLÂNDIA,2020-08-20,2020-09-10,2020-09-13,0.00649723685356538,0.013114153554519,0.0189049860025524
INÚBIA PAULISTA,2020-08-20,2020-09-04,2020-09-11,0.0114242368279796,0.0261991671181779,0.0419652810156959
PIRANGI,2020-07-18,2020-07-18,2020-07-18,0.141948387845401,0.152087558405787,0.193565983425548
GABRIEL MONTEIRO,2020-07-18,2020-07-18,2020-07-27,0.00152940967976312,0.00167640847731443,0.00212640943666464
TEJUPÁ,2020-07-18,2020-07-18,2020-07-18,0.00185522494383254,0.00198774101124915,0.00252985219613529
ÁGUAS DE SÃO PEDRO,2020-07-18,2020-09-06,2020-09-09,0.00790633677758576,0.015037971410634,0.0217693456245187
SERRANA,2020-07-18,2020-07-18,2020-07-18,0.495491219743711,0.530883449725405,0.675669845105062
VALINHOS,2020-07-18,2020-07-18,2020-07-18,0.668642868033018,0.716403072892522,0.911785729135936
ROSANA,2020-07-18,2020-07-18,2020-07-18,0.00811767289670259,0.00869750667503849,0.011069553950049
GUATAPARÁ,2020-07-18,2020-07-18,2020-07-18,0.00824812263516857,0.00883727425196632,0.011247439957048
PORANGABA,2020-07-18,2020-07-18,2020-07-18,0.00742089977533015,0.00795096404499659,0.0101194087845411
SÃO FRANCISCO,2020-07-18,2020-07-18,2020-07-18,0.00718362286667013,0.007696738785718,0.00979584936364109
SANDOVALINA,2020-07-18,2020-07-18,2020-07-18,0.000324706915868105,0.000347900267001541,0.000442782158001961
RANCHARIA,2020-07-18,2020-07-18,2020-07-18,0.0743578837337959,0.0796691611433529,0.101397114182449
CESÁRIO LANGE,2020-07-18,2020-07-18,2020-07-18,0.025192260200182,0.0269917073573378,0.0343530820911573
LARANJAL PAULISTA,2020-07-18,2020-07-18,2020-07-18,0.117111074579429,0.125476151335103,0.15969691988104
RIBEIRÃO DO SUL,2020-08-16,2020-08-27,2020-08-31,0.0177901529442422,0.0458877927336986,0.0687968982092457
MIRA ESTRELA,2020-07-18,2020-07-18,2020-07-18,0.0215508686000103,0.023090216357154,0.0293875480909231
MORUNGABA,2020-07-18,2020-07-18,2020-07-18,0.0131914942661213,0.0141337438565583,0.0179884012719835
CORUMBATAÍ,2020-07-18,2020-07-18,2020-07-18,0.0305683037805023,0.0327517540505382,0.0416840506097758
SANTA ERNESTINA,2020-07-18,2020-07-18,2020-07-18,0.038141651825067,0.0408660555268575,0.0520113433978187
BARBOSA,2020-07-18,2020-09-06,2020-09-09,0.0171293884133482,0.0257319200352223,0.0346717167710862
COLINA,2020-07-18,2020-07-18,2020-07-18,0.18165548098434,0.194630872483222,0.2477120195241
GUZOLÂNDIA,2020-07-18,2020-07-18,2020-07-18,0.025082318748117,0.0268739129444111,0.0342031619292505
PARAÍSO,2020-07-18,2020-07-18,2020-07-18,0.0224129033440108,0.0240138250114401,0.0305630500145602
TARUMÃ,2020-07-18,2020-07-18,2020-09-26,0.0219493847265142,0.0248797507588725,0.0299309791725194
ITAPECERICA DA SERRA,2020-07-18,2020-07-18,2020-07-18,1.35596216354406,1.45281660379722,1.84903931392373
QUATÁ,2020-07-18,2020-07-18,2020-07-18,0.0334448123344147,0.0358337275011587,0.0456065622742021
FRANCO DA ROCHA,2020-07-18,2020-07-18,2020-07-18,0.884921196916665,0.948129853839276,1.20671072306817
URU,2020-08-15,2020-09-03,2020-09-10,1.16247724335494e-07,8.18606784358522e-07,1.91624361267628e-06
ÁGUAS DE LINDÓIA,2020-07-18,2020-07-18,2020-07-18,0.0395744827983631,0.0424012315696753,0.0539652038159497
PIRAJUÍ,2020-07-18,2020-07-18,2020-07-18,0.0269007616855719,0.0288222446631128,0.0366828568439614
SEVERÍNIA,2020-07-18,2020-09-05,2020-09-08,0.0607423476561484,0.0789111071800126,0.105914275440967
ITAJOBI,2020-07-18,2020-07-18,2020-07-18,0.0787325066187048,0.0843562570914695,0.107362509025506
PEDRANÓPOLIS,2020-07-18,2020-07-18,2020-07-18,0.00574689829333619,0.00615739102857438,0.00783667949091282
BILAC,2020-07-18,2020-07-18,2020-07-18,0.0165176245414429,0.0176974548658317,0.022524033465604
SANTO ANTÔNIO DO JARDIM,2020-07-18,2020-09-21,2020-09-25,0.0104484424499609,0.0152186446748792,0.0205719753273801
SEBASTIANÓPOLIS DO SUL,2020-07-18,2020-07-18,2020-07-18,0.031033250784015,0.0332499115543017,0.0423180692509295
MARINÓPOLIS,2020-07-18,2020-07-18,2020-07-18,0.00775831269600374,0.00831247788857544,0.0105795173127324
PIRACICABA,2020-07-18,2020-07-18,2020-07-18,4.87885796615652,5.22734782088199,6.65298813566798
CAJAMAR,2020-07-18,2020-07-18,2020-07-18,0.576156941649899,0.617311008910605,0.785668556795315
LINS,2020-07-18,2020-07-18,2020-07-18,0.392156862745098,0.420168067226891,0.53475935828877
NEVES PAULISTA,2020-07-18,2020-07-18,2020-09-02,0.0295965262106809,0.0346605535217969,0.0437073831150825
TAMBAÚ,2020-08-20,2020-09-12,2020-09-16,0.0486702384805469,0.0981323480177854,0.142652862429135
GUAREÍ,2020-07-18,2020-07-18,2020-07-18,0.136714094988793,0.146479387487993,0.186428311348354
IPIGUÁ,2020-07-18,2020-07-18,2020-07-18,0.0491359804080238,0.0526456932943109,0.0670036096473048
ARAPEÍ,2020-08-22,2020-09-09,2020-09-13,1.61915102214749e-07,1.51983273632972e-06,4.27478313236307e-06
POTIRENDABA,2020-07-18,2020-07-18,2020-07-18,0.188498264021424,0.20196242573724,0.257043087301942
CÂNDIDO MOTA,2020-07-18,2020-09-12,2020-09-15,0.0574629959694137,0.0950818301856704,0.134513786113227
ITAJU,2020-07-18,2020-07-18,2020-07-18,0.0187841525563045,0.0201258777388976,0.0256147534858697
ARARAQUARA,2020-07-18,2020-07-18,2020-07-18,0.250791974656812,0.268705687132298,0.341989056350197
PORTO FERREIRA,2020-07-18,2020-07-18,2020-07-18,0.226833976833976,0.24303640375069,0.309319059319059
BERTIOGA,2020-07-18,2020-07-18,2020-07-18,0.441292590128132,0.472813489423,0.601762622902001
SÃO PEDRO DO TURVO,2020-08-09,2020-08-21,2020-08-23,0.0262811594359006,0.0627493605120653,0.0939630378777088
ITATINGA,2020-07-18,2020-07-18,2020-08-28,0.0753685133431969,0.0815308536944687,0.102775245467996
PACAEMBU,2020-07-18,2020-07-18,2020-07-18,0.0108513812131084,0.0116264798711874,0.0147973380178748
RIBEIRA,2020-07-18,2020-07-18,2020-07-18,0.0153611342684037,0.0164583581447183,0.020947001275096
