DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-25,2020-07-25,2020-07-30,192.282479171497,207.073439107766,224.329559033413,Grande São Paulo
II,2020-07-25,2020-07-25,2020-10-06,5.65232310360204,6.49573707028554,10.362475038424,Araçatuba
III,2020-07-25,2020-07-25,2020-10-05,2.02291858154621,2.1457760534568,2.84430769522956,Araraquara
IV,2020-07-25,2020-07-25,2020-07-28,15.369584594149,16.5518603321607,17.9311820265073,Baixada Santista
IX,2020-07-25,2020-07-25,2020-10-27,3.28042419695545,3.553792880035,6.93568347390664,Marília
V,2020-07-25,2020-07-25,2020-08-02,3.0459705991229,3.28027602982468,3.55363236564341,Barretos
VI,2020-07-25,2020-08-18,2020-10-07,7.10355274042047,7.6955154687887,20.7115891905034,Bauru
VII,2020-07-25,2020-07-25,2020-08-01,35.8652864950579,38.6241546869856,41.8428342442346,Campinas
VIII,2020-07-25,2020-07-25,2020-08-01,2.0868165796481,2.2473409319287,2.43461934292277,Franca
X,2020-07-25,2020-07-25,2020-08-01,13.1575077078591,14.1696236853867,15.3504256591689,Piracicaba
XI,2020-07-25,2020-07-25,2020-10-03,3.15659090026708,3.41964014195599,5.51755039451018,Presidente Prudente
XII,2020-07-25,2020-07-25,2020-08-05,1.43307173602949,1.54227005365731,1.67079255812875,Registro
XIII,2020-07-25,2020-07-25,2020-08-01,14.0511412934545,15.131998316028,16.3929981756971,Ribeirão Preto
XIV,2020-07-25,2020-07-25,2020-08-24,3.32016903320195,3.57556665114055,3.87353053873558,São João da Boa Vista
XV,2020-07-25,2020-07-25,2020-09-07,15.3193938113116,16.4814692761902,17.8568691976593,São José do Rio Preto
XVI,2020-07-25,2020-07-25,2020-10-13,13.1995827633286,13.9767602786045,16.3016004907834,Sorocaba
XVII,2020-07-25,2020-07-25,2020-08-04,11.060911615093,11.8742241659301,12.8637428464243,Taubaté
