Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,5,5,13,13,14,5.53333333333333,2,0.215657087884388,1.12612149209435,0.933333333333333,0.890177140565476,1.03678472247185,0.852028391005921,1.03045813765246
2,5,7,13,26,15,7.2,0.5,0.188766128694519,1.14849397903918,0.966666666666667,0.895098464420545,1.03762744303938,0.85707874202415,1.03149061900045
3,4,7,12,9,16,7.55555555555555,3,0.141986885885867,1.06270773929067,0.888888888888889,0.89156491355755,1.03522732545045,0.868107011336155,1.03889569216388
4,6,8,12,15,16,8.44444444444445,3,0.128511012816005,1.08006398524707,0.888888888888889,0.896075974764574,1.03820383282885,0.868324699584443,1.03911968783307
5,5,7,12,24,16,7.83333333333333,2.5,0.129028653721007,1.02356007373568,0.833333333333333,0.89354446881318,1.03670078725411,0.862793311149713,1.0378813842586
6,4,7,12,18,16,7.55555555555555,1.5,0.14538552097725,1.0645890023949,0.888888888888889,0.891564677273172,1.03522775088039,0.8680685744498,1.03889620595062
7,4,6,12,12,15,6.6,3,0.165190600846954,1.07398421675509,0.9,0.893332159450506,1.03709846896121,0.868224705618839,1.03868077682608
8,4,7,12,21,16,8,2,0.121113766096587,0.973722197485995,0.8,0.894788576396249,1.03750187249867,0.860194191711334,1.0367397401421
9,4,8,13,22,16,8.5,2.5,0.129698136783776,1.086548460108,0.9,0.893860386234062,1.03690741653189,0.851362606632142,1.03063838118246
10,6,8,13,18,16,8.71428571428572,1.5,0.122671228555684,1.05355871430192,0.857142857142857,0.89522563161243,1.03775459819419,0.847478952679705,1.02944569484016
11,5,6,13,13,15,6.23333333333333,1,0.216560867231912,1.13411733342392,0.966666666666667,0.88873219842301,1.03387796755705,0.856454563918934,1.03143215534676
12,4,6,12,27,15,6.6,0.25,0.17206186992443,1.07495326080067,0.9,0.893331624973321,1.03709846896121,0.868146402124711,1.03868189054744
13,4,8,13,5,16,8.55555555555556,1,0.129980675518875,1.07513529187953,0.888888888888889,0.894218448628557,1.03713756353424,0.850425264829899,1.03033385227928
14,6,7,13,7,15,7.2,2.5,0.182704577236189,1.14082732189061,0.966666666666667,0.895082737622928,1.03761139890387,0.857051901931835,1.03135665023264
15,4,10,12,7,17,10.25,1,0.10602068995579,1.05841837269778,0.875,0.895108315662083,1.03682342759974,0.868956707674842,1.03935598067818
16,6,7,12,6,16,7.83333333333333,0.5,0.13429582901131,1.02126340719047,0.833333333333333,0.893532569847249,1.0366889738584,0.862568268236399,1.03789175671893
17,6,8,13,24,16,8.5,2.5,0.13169090321064,1.099444868314,0.9,0.89382893868065,1.03687531666708,0.850799441627703,1.03034675822065
18,4,6,13,16,15,6.23333333333333,0.25,0.217172812198853,1.11536989535464,0.966666666666667,0.888755300125951,1.0338678916291,0.856504376295009,1.03159802599938
19,4,10,12,13,17,10.2,3,0.107433792106652,1.100905352397,0.9,0.894462346571446,1.03647249208617,0.870958755302655,1.03981992004892
20,6,6,13,8,15,6.35,0.5,0.199313237097633,1.12996575659979,0.95,0.889362421866562,1.03460025075675,0.854459055748342,1.03096262932264
21,5,9,13,21,16,9.13333333333333,1,0.149552357150122,1.17593980671086,0.966666666666667,0.895579343909636,1.03789536922029,0.857741266656678,1.03155640184215
22,4,8,12,14,16,8.26666666666667,2,0.143223888927144,1.11628488096289,0.933333333333333,0.894693213283986,1.03744311577976,0.873026048780755,1.03979472238545
23,4,8,13,27,16,8.5,1.5,0.132398364978179,1.08586302632785,0.9,0.893860251651767,1.03690805391094,0.851340124304069,1.03065044458404
24,6,5,12,10,14,5.35,0.25,0.238530054607835,1.11786387596479,0.95,0.89134669725795,1.03740238066001,0.872675040555326,1.03961559081942
25,6,7,13,9,15,7.2,2,0.183519595034379,1.13929378390175,0.966666666666667,0.895082675101441,1.03761164942404,0.857049533970067,1.03136188388482
26,6,8,13,16,16,8.33333333333333,0.5,0.146728204302282,1.13299433607535,0.933333333333333,0.892765893767463,1.03619388598223,0.853575520971813,1.03093608285926
27,4,8,13,6,16,8.33333333333333,1.5,0.143951957632453,1.11726986093015,0.933333333333333,0.892801086350433,1.03622721757368,0.85423313578784,1.03093608285926
28,4,5,13,21,14,5.53333333333333,0.25,0.21945524472468,1.11011861692399,0.933333333333333,0.890198604740101,1.03678933963952,0.852389177323252,1.03062782057302
29,6,8,13,26,16,8.33333333333333,1.5,0.143403657117927,1.13515304517906,0.933333333333333,0.892765989093774,1.03619351421362,0.853592278941657,1.03093608285926
30,5,6,12,22,15,6.4,2,0.183497567224177,1.11834008274272,0.933333333333333,0.891956611633162,1.03681422008116,0.871476584949195,1.0394280383431
31,6,8,13,12,16,8.5,2.5,0.13169090321064,1.099444868314,0.9,0.89382893868065,1.03687531666708,0.850799441627703,1.03034675822065
32,6,6,12,12,15,6.75,2,0.161303570552492,1.06617573424725,0.875,0.89433653407569,1.03731261813566,0.865067815995944,1.03804432564813
33,6,5,13,14,14,5.4,2,0.230619099889211,1.12371229279785,0.95,0.889380268048688,1.03620443688931,0.853954001898704,1.03089287771055
34,5,5,13,21,14,5.88888888888889,0.5,0.195967544488538,1.11190332864389,0.888888888888889,0.892318794144278,1.03807795967894,0.847085667939582,1.02883004238087
35,5,7,12,19,16,7.625,0.25,0.145511424204064,1.06728599355691,0.875,0.892039019442388,1.0357409928794,0.866422788890331,1.03867721246681
36,5,5,13,7,14,5.26666666666667,0.5,0.259986209713873,1.12341910350228,0.966666666666667,0.888641339927039,1.03534294751925,0.855562012641924,1.03137487771284
37,4,5,13,5,14,5.4,2,0.227647656013547,1.11304160095934,0.95,0.889419310840797,1.03618324121656,0.85442227211162,1.03089287771055
38,5,7,12,26,16,7.625,1,0.143487324224498,1.06789174867358,0.875,0.89203911191341,1.03574053289591,0.866438423073108,1.03864408060172
39,6,9,13,25,16,9.2,0.25,0.139863457574033,1.15702105144225,0.95,0.896035447410106,1.03815083381873,0.855456169970754,1.03121840433239
40,5,8,13,21,16,8.55555555555556,0.5,0.132558346409642,1.09218371467071,0.888888888888889,0.894200389625403,1.03711881175562,0.850105106075215,1.03021954762405
41,4,5,13,26,14,5.4,2.5,0.226560128117866,1.11323840834538,0.95,0.889419437570128,1.03618303222641,0.854426667525461,1.03089287771055
42,5,8,13,28,16,8.33333333333333,3,0.140737820069902,1.13767479852039,0.933333333333333,0.892780497827008,1.03620658991713,0.853883896651137,1.030974950204
43,6,6,12,13,15,6.4,1,0.187400006060192,1.11190956621606,0.933333333333333,0.891940074127654,1.03681422008116,0.871154257565214,1.03940642845405
