DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-04,2020-07-04,2020-09-26,207.3732852012,221.198170881276,255.228658709169,Grande São Paulo
II,2020-07-04,2020-08-24,2020-09-13,2.53622729916253,3.99356468601933,9.29885594802954,Araçatuba
III,2020-07-04,2020-09-12,2020-10-03,1.33815569510102,2.02371118137106,4.53905034527008,Araraquara
IV,2020-07-04,2020-07-04,2020-07-04,20.2725437470471,21.624046663517,24.9508230732888,Baixada Santista
IX,2020-08-07,2020-09-04,2020-09-23,2.31477712993927,7.2833685337713,19.1277794789904,Marília
V,2020-07-04,2020-08-25,2020-09-14,2.88595931222324,6.97722074135464,19.6749692402702,Barretos
VI,2020-07-04,2020-08-27,2020-09-19,5.32465390545161,9.70504448361106,24.8590816433245,Bauru
VII,2020-07-04,2020-08-31,2020-10-05,29.8489258112637,38.505518712944,99.5641445546626,Campinas
VIII,2020-07-04,2020-09-26,2020-10-27,1.34235716868004,2.83866046041587,6.9600427597627,Franca
X,2020-07-04,2020-07-04,2020-09-27,8.1396815528492,9.12133925219619,14.2734375390207,Piracicaba
XI,2020-08-03,2020-08-29,2020-09-19,2.72453510589806,11.2007885218079,30.5722575778575,Presidente Prudente
XII,2020-07-04,2020-08-24,2020-09-16,1.0392271987347,1.95953182908076,5.19805462035072,Registro
XIII,2020-07-04,2020-07-04,2020-09-29,9.48137814309086,10.1586194390259,20.4589125110101,Ribeirão Preto
XIV,2020-07-04,2020-07-04,2020-10-01,2.07012329772296,2.36585519739765,2.98338063896708,São João da Boa Vista
XV,2020-07-04,2020-08-23,2020-09-18,8.64096203249142,11.5178392757742,28.4079104985992,São José do Rio Preto
XVI,2020-07-04,2020-08-26,2020-09-19,13.6740208621075,30.4849210795861,81.6126467113745,Sorocaba
XVII,2020-07-04,2020-09-12,2020-10-16,7.56387754972565,14.6556024452011,39.6684288374863,Taubaté
