"Municipio","DRS","Minimo","Mediana","Máximo"
"MOGI MIRIM","São João da Boa Vista",2.93236217439973,3.48160438717719,4.72557966197436
"HORTOLÂNDIA","Campinas",2.2403930980793,2.70503986062924,3.19846123436866
"IPEÚNA","Piracicaba",2.18305183993274,2.50046649841773,3.36044267385779
"SÃO LOURENÇO DA SERRA","Grande São Paulo",2.19155716918389,2.46568217095118,3.26156585482379
"SÃO SEBASTIÃO","Taubaté",1.88986734391328,2.33400809286001,2.77446498020443
"LINS","Bauru",1.93045331826775,2.28149929139943,2.65704573644391
"INDAIATUBA","Campinas",1.86676877993941,2.25622124984961,2.63968020772616
"PORTO FERREIRA","Araraquara",1.88686382786643,2.18971947063545,2.80606501178247
"AVANHANDAVA","Araçatuba",1.80626137352935,2.08782730803985,2.68035804724819
"GARÇA","Marília",1.77109587399058,2.06129259726463,2.64074196821739
"SETE BARRAS","Registro",1.69803113891515,2.0152888386625,2.35402455096466
"SERRA AZUL","Ribeirão Preto",1.73748229454699,1.99396750430921,2.60779256201431
"PINDAMONHANGABA","Taubaté",1.65924534041049,1.98442465568689,2.28873131112005
"FERRAZ DE VASCONCELOS","Grande São Paulo",1.6140810185036,1.96512163996399,2.28143053794931
"MORUNGABA","Campinas",1.66670170690797,1.91661176135454,2.39628107157726
"OURINHOS","Marília",1.60038130824497,1.909043449966,2.17868758896465
"BIRITIBA-MIRIM","Grande São Paulo",1.69714770658865,1.90647310128364,2.3799102690684
"SANTA RITA DO PASSA QUATRO","Ribeirão Preto",1.67799115020498,1.89626226418531,2.44960399543756
"TAMBAÚ","São João da Boa Vista",1.60840371060285,1.88473155276932,2.16574561592752
"ITOBI","São João da Boa Vista",1.60234836143033,1.88392521761903,2.17441417146583
"CASA BRANCA","São João da Boa Vista",1.5722900005846,1.86401541975767,2.16413497253294
"ESPÍRITO SANTO DO PINHAL","São João da Boa Vista",1.56955330245315,1.86328825254082,2.16710980058934
"CAJATI","Registro",0.903000456340941,1.85697713464819,2.32722704907119
"TABAPUÃ","São José do Rio Preto",1.65546190117371,1.8521373323553,2.28479897608532
"MINEIROS DO TIETÊ","Bauru",1.64294330737686,1.84703304171244,2.28522435368169
"ELDORADO","Registro",1.57626280687199,1.84204972857744,2.0989579223163
"MIRACATU","Registro",1.54571214952562,1.84137733806568,2.10005613249192
"ÁGUAS DE LINDÓIA","Campinas",1.58783750736103,1.83311193513184,2.24864166042892
"TAUBATÉ","Taubaté",1.57349023713758,1.81919480886381,2.06571756227824
"BERTIOGA","Baixada Santista",1.50215755283328,1.8106558639611,2.07530922398038
"RANCHARIA","Presidente Prudente",1.61076332876183,1.79793159924822,2.21825270450161
"RIBEIRÃO BONITO","Araraquara",1.55984854061076,1.79063152697865,2.13709379669297
"GETULINA","Bauru",1.52521501871317,1.78638608845552,2.16018334361036
"SÃO PEDRO DO TURVO","Marília",1.58086257555098,1.77965757781966,2.23316849482464
"IGARAÇU DO TIETÊ","Bauru",1.55959513090409,1.77472602654269,2.15267485870574
"CONCHAL","Piracicaba",1.58396371744838,1.77390253642904,2.19811977220331
"PIRAJUÍ","Bauru",1.5418774395413,1.76661740621417,2.1008795757178
"ITAPEVI","Grande São Paulo",1.50348683386706,1.76310853365544,1.99158560042717
"RIO CLARO","Piracicaba",1.46931539978954,1.74272970132419,1.99358205235664
"TRÊS FRONTEIRAS","São José do Rio Preto",1.46673261127832,1.74003017265517,2.2026847462063
"GUAPIAÇU","São José do Rio Preto",1.51428641229141,1.73551951930207,2.16515142904341
"IACANGA","Bauru",1.5439025881818,1.71993309785152,2.07389291275375
"CRUZEIRO","Taubaté",1.47201450664489,1.71932607066503,1.99836396394147
"SANTO ANTÔNIO DE POSSE","Campinas",1.45501727539541,1.69217595547275,2.00224096885119
"FRANCA","Franca",1.47132424638352,1.68297091301619,1.88953233778621
"PARAIBUNA","Taubaté",1.4366410662748,1.68292040817652,1.95571188616628
"ITARIRI","Registro",1.40005615084762,1.6716080541253,1.8934788439834
"JACUPIRANGA","Registro",1.40481148205458,1.66829189114813,1.87159446274238
"CACHOEIRA PAULISTA","Taubaté",1.42416966952554,1.66711967478521,1.90281356400219
"APARECIDA","Taubaté",1.40859528640563,1.65126715743781,1.90434999984488
"ITUPEVA","Campinas",1.37664827773447,1.64250797912015,1.87863482036783
"SANTA BRANCA","Taubaté",1.40532088590083,1.6357454316429,1.87331712019427
"PIRATININGA","Bauru",1.40058653959496,1.63121176415058,1.87267392453701
"BANANAL","Taubaté",1.39536998400874,1.63091634564627,1.85690987657607
"GUARATINGUETÁ","Taubaté",1.40753139807774,1.63003980999955,1.87203324696212
"ITAPUÍ","Bauru",1.42570548617835,1.62775502847144,1.8982235699012
"QUELUZ","Taubaté",1.41699555182562,1.62479634407302,1.85969518218519
"TAQUARITUBA","Bauru",1.3975805772176,1.62015336623633,1.87450696732318
"SÃO SEBASTIÃO DA GRAMA","São João da Boa Vista",1.38351730928858,1.61767695559131,1.79743629633881
"LARANJAL PAULISTA","Bauru",1.37359253725199,1.60367903129563,1.8680809359818
"CESÁRIO LANGE","Sorocaba",1.39404186623064,1.59717006925764,1.93471640237487
"TIETÊ","Sorocaba",1.40929569772608,1.593333983926,1.90833933162167
"SUD MENNUCCI","Araçatuba",1.40526439477692,1.58227572855522,1.91373630341436
"ITAPIRA","São João da Boa Vista",1.35054487673271,1.58027400367345,1.76309700454422
"BOA ESPERANÇA DO SUL","Araraquara",1.36254819376978,1.56980758056688,1.80506120912896
"PENÁPOLIS","Araçatuba",1.35312576546358,1.56187606148207,1.86306742181718
"IGUAPE","Registro",1.32456661756488,1.55572126000249,1.71741704714872
"AGUAÍ","São João da Boa Vista",1.3330663171717,1.554105671934,1.71912589313861
"PINDORAMA","São José do Rio Preto",1.40625125467765,1.55151267285826,1.79652822284906
"PALMITAL","Marília",1.33097745976622,1.54601587847333,1.78694868852609
"CANANÉIA","Registro",1.31715715422318,1.54565921571253,1.74711431774114
"JANDIRA","Grande São Paulo",1.3378438242137,1.5456411763173,1.71464062259565
"TATUÍ","Sorocaba",1.33898477235148,1.5453493627538,1.71007193405545
"LORENA","Taubaté",1.33655840915761,1.54494567436677,1.74317631379235
"NOVO HORIZONTE","São José do Rio Preto",1.36360002572187,1.54160999414198,1.84462656803052
"ANGATUBA","Sorocaba",1.37560181173644,1.53746883073358,1.8077182787949
"GUARUJÁ","Baixada Santista",1.35855163397771,1.53706648815826,1.65575451590823
"NOVA EUROPA","Araraquara",1.32099453485056,1.52938859502079,1.76023173249757
"SANTA CRUZ DAS PALMEIRAS","São João da Boa Vista",1.29892621438708,1.52928555281287,1.74406020246412
"AVARÉ","Bauru",1.32739710907009,1.52672449194789,1.75416895351099
"GUARÁ","Franca",1.31919785875134,1.52498171407187,1.74570655194644
"TUPI PAULISTA","Presidente Prudente",1.34061862297194,1.52278166113171,1.74938918639417
"BORBOREMA","Araraquara",1.3068296125844,1.5208962323929,1.70951872616044
"JAÚ","Bauru",1.29555810447648,1.51440161010545,1.70443253368075
"IBITINGA","Araraquara",1.32165867076205,1.50609832675745,1.68760119866014
"MAUÁ","Grande São Paulo",1.27467486454278,1.50110404008581,1.68513675477376
"POÁ","Grande São Paulo",1.30018145224075,1.50046429858019,1.67013805799093
"BAURU","Bauru",1.28379079925801,1.49224549129617,1.66309322101847
"CERQUEIRA CÉSAR","Bauru",1.31220371348456,1.49193793881369,1.68321180052711
"SÃO JOÃO DA BOA VISTA","São João da Boa Vista",1.26855463867825,1.48135338153458,1.65450591406859
"ARARAQUARA","Araraquara",1.28050173542768,1.48086590293517,1.64029217485239
"CAMPOS DO JORDÃO","Taubaté",1.27458400360322,1.48004022514409,1.66860486136095
"ITÁPOLIS","Araraquara",1.29094315438797,1.47658754294461,1.6496966144684
