Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,6,9,13,23,16,9.2,2,0.168460471807003,1.47637383003941,0.95,0.933177762934222,1.03470786093194,0.87141877671194,1.03464816070884
2,4,10,13,16,16,10.1,0.25,0.154393287075901,1.39450441162689,0.966666666666667,0.93625886771533,1.03702557094785,0.872218251736526,1.03439918842062
3,5,6,12,11,15,6.6,0.5,0.196276509500504,1.25306864121134,0.9,0.930028979373188,1.03416794779149,0.883506572742552,1.04401093947254
4,4,10,13,11,16,10.1,2,0.150795245437181,1.39495641191253,0.966666666666667,0.936257364113076,1.03702149082055,0.872219037809237,1.03438613232426
5,6,9,13,22,16,9.44444444444444,0.25,0.152224564092365,1.39434452947798,0.888888888888889,0.935193977054079,1.03622921552725,0.866114030987063,1.03273750562546
6,4,8,12,8,16,8.5,0.5,0.144978547942297,1.20931258400777,0.875,0.933687842395766,1.03513422503962,0.882736407841044,1.0436726903676
7,5,9,13,15,16,9.26666666666667,1,0.156376541670025,1.38494738033379,0.933333333333333,0.93369457634831,1.03511630800361,0.869588436626021,1.03359837906799
8,6,9,12,12,16,9.33333333333333,2,0.148098059330236,1.38381343436912,0.888888888888889,0.937528368297076,1.03792347194992,0.885988588492461,1.04520184919288
9,5,6,12,19,15,7,2,0.168339852915646,1.19247879751712,0.833333333333333,0.933209232473281,1.03531522674848,0.876147182311433,1.0410499542288
10,5,9,13,7,16,9.13333333333333,0.25,0.176695475949101,1.42015755910853,0.966666666666667,0.9326098264611,1.03430072715126,0.872412138074715,1.03470620121993
11,6,9,13,8,16,9.2,2,0.168460471807003,1.47637383003941,0.95,0.933177762934222,1.03470786093194,0.87141877671194,1.03464816070884
12,4,7,13,20,15,7.3,0.25,0.188876307196815,1.28343821255836,0.95,0.932716513664726,1.03505282328818,0.869364661933473,1.03346412599153
13,5,9,12,18,16,9.33333333333333,0.25,0.144826604059256,1.3123353266211,0.888888888888889,0.937499423170333,1.03792262600282,0.885554700763303,1.04505027923935
14,6,9,12,24,16,9.33333333333333,1.5,0.148727910503329,1.38379282088568,0.888888888888889,0.937528704876863,1.03792429261327,0.885988566122745,1.04521311632655
15,4,7,13,13,15,7.3,2,0.184819382418563,1.28136329064785,0.95,0.932714536996772,1.03505235396751,0.869366356471998,1.03344773562195
16,4,10,13,10,16,10.1,1,0.152437985542182,1.39506383765512,0.966666666666667,0.936258225452512,1.03702378025294,0.872218590077058,1.03439354413123
17,4,5,12,19,14,5.46666666666667,1,0.233359509333671,1.21006445824041,0.933333333333333,0.928689698440606,1.03505318923402,0.885474593754295,1.04469737900331
18,6,5,12,14,14,5.46666666666667,3,0.244528523080281,1.29719959301577,0.933333333333333,0.928768709416163,1.03505318923402,0.886166241267396,1.04519547574503
19,4,10,13,17,16,10.3333333333333,2.5,0.12252616727335,1.28443387691822,0.888888888888889,0.938601022788878,1.03879780720224,0.865782706035457,1.03265531433162
20,5,9,12,20,16,9.375,2.5,0.136531820387421,1.2888546424664,0.875,0.937961005358282,1.03826752294896,0.884238291379419,1.04428847251368
