"Municipio","DRS","Minimo","Mediana","Máximo"
"TORRINHA","Bauru",2.07478395081683,2.15303657439976,2.33522704294242
"JUQUITIBA","Grande São Paulo",1.72974520265834,1.85236874204112,1.91338762646546
"SÃO JOÃO DAS DUAS PONTES","São José do Rio Preto",1.63090001330635,1.67685755054333,1.77871930582865
"CAPIVARI","Piracicaba",1.57318900179033,1.66652273673595,1.78642448751894
"GUARACI","Barretos",1.59553375323097,1.65887956010529,1.71345293713951
"TERRA ROXA","Barretos",1.4910632856798,1.56611943839223,1.61234174643327
"IBITINGA","Araraquara",1.47499704704642,1.5603299036637,1.6521370681212
"MIGUELÓPOLIS","Franca",1.50095067747229,1.55798775975059,1.59740684404416
"AREIÓPOLIS","Bauru",1.51240332886085,1.55700172804797,1.63240511705237
"ADOLFO","São José do Rio Preto",1.44424056422032,1.52788834303051,1.59147925247015
"SEVERÍNIA","Barretos",1.45289962243874,1.52256856814987,1.56905986927248
"CABREÚVA","Campinas",1.40621151022045,1.5154999559671,1.58658726672209
"POTIM","Taubaté",1.45266088803313,1.49813095538084,1.56375047493827
"BORBOREMA","Araraquara",1.44080576860413,1.49644425546459,1.55775069170316
"GUAPIARA","Sorocaba",1.42314256464619,1.47176854943138,1.54256112912045
"PILAR DO SUL","Sorocaba",1.41880296378358,1.46766275800098,1.53395495784226
"PARDINHO","Bauru",1.37086127134685,1.42458137367974,1.48915605819267
"PROMISSÃO","Bauru",1.31307042313281,1.4231017486098,1.50746822831972
"BOM JESUS DOS PERDÕES","Campinas",1.34828631048208,1.42201063308269,1.46967917520382
"PIRAPOZINHO","Presidente Prudente",1.36427590095043,1.41645591822517,1.4646794370928
"GUARANTÃ","Marília",1.35152044795279,1.40891896448644,1.47625606766043
"ITAPIRA","São João da Boa Vista",1.30759111877701,1.40149312589563,1.46572856008929
"BRAGANÇA PAULISTA","Campinas",1.28360183909996,1.36936072143645,1.43852286302292
"CRAVINHOS","Ribeirão Preto",1.29739823588324,1.35716379389069,1.44416477010631
"TAIAÇU","Barretos",1.27537382886672,1.35587202571049,1.41283435357886
"ARAMINA","Franca",1.25764267284695,1.35119493088555,1.40654972057319
"JAGUARIÚNA","Campinas",1.28999491740725,1.34840388249477,1.4016840168399
"ITAPEVA","Sorocaba",1.27532823346939,1.34406796031918,1.39740021098571
"FRANCA","Franca",1.24173360841352,1.33797632636729,1.3964110478139
"PEDREIRA","Campinas",1.28057688175302,1.3355821627947,1.38810864604255
"ELISIÁRIO","São José do Rio Preto",1.23623735463972,1.33119144317745,1.3891773915646
"FARTURA","Bauru",1.26322789730324,1.32393181170215,1.37988677709465
