DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-05,2020-07-05,2020-07-05,208.084924561963,208.084924561963,237.811342356525,Grande São Paulo
II,2020-07-05,2020-08-21,2020-09-15,2.87299839163717,3.87403802813118,7.25378755666793,Araçatuba
III,2020-07-05,2020-09-05,2020-09-29,1.30632590497361,1.77886541713639,3.12796294505284,Araraquara
IV,2020-07-05,2020-07-05,2020-07-05,20.1006056696248,20.1006056696248,22.9721207652855,Baixada Santista
IX,2020-07-05,2020-09-04,2020-09-22,2.16544556453028,5.10298776493664,10.2200912510982,Marília
V,2020-07-05,2020-08-25,2020-09-16,2.65702270336254,4.5927827034825,9.60574638950902,Barretos
VI,2020-07-05,2020-08-22,2020-09-14,5.19404685830162,8.08500883035771,16.2857496104951,Bauru
VII,2020-07-05,2020-08-15,2020-09-17,28.2118244283628,33.9094362050339,61.6778975989582,Campinas
VIII,2020-07-05,2020-09-15,2020-10-25,1.26621239103188,1.83890255473717,3.38119394856642,Franca
X,2020-07-05,2020-07-05,2020-09-10,8.27157192442542,8.27157192442542,9.62449543482262,Piracicaba
XI,2020-08-15,2020-08-28,2020-09-17,2.90222343650547,7.16427057038555,15.8132235652632,Presidente Prudente
XII,2020-07-05,2020-08-21,2020-09-10,1.0372088440792,1.48048886178875,2.92757761335986,Registro
XIII,2020-07-05,2020-08-07,2020-09-06,9.14753231061104,10.2002539059098,16.7242797327356,Ribeirão Preto
XIV,2020-07-05,2020-07-05,2020-07-05,2.19823544175031,2.19823544175031,2.51226907628607,São João da Boa Vista
XV,2020-07-05,2020-08-14,2020-09-05,8.69962961521827,10.4154323988419,19.2924139659879,São José do Rio Preto
XVI,2020-07-05,2020-08-20,2020-09-10,12.9492060023949,20.0085101383564,39.7694379074869,Sorocaba
XVII,2020-07-05,2020-09-05,2020-10-03,7.67432251369351,12.4381157401221,24.4135433298752,Taubaté
