DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-08-10,2020-08-10,2020-08-10,115.707248074294,122.51355678455,148.766461809817,Grande São Paulo
II,2020-08-10,2020-08-10,2020-08-10,3.8974111600661,4.12667064007002,5.01095720579929,Araçatuba
III,2020-08-10,2020-08-10,2020-08-10,2.40061902677657,2.54183191070462,3.08651017728418,Araraquara
IV,2020-08-10,2020-08-10,2020-10-04,14.4774296169005,15.3290431237767,18.6138380788718,Baixada Santista
IX,2020-08-10,2020-08-10,2020-08-10,2.33228389879568,2.469477069313,2.99865072702295,Marília
V,2020-08-10,2020-08-10,2020-08-10,2.55097495256041,2.70103230271099,3.27982493900626,Barretos
VI,2020-08-10,2020-08-10,2020-08-10,5.9860506113294,6.33817123552507,7.69635078599475,Bauru
VII,2020-08-10,2020-08-10,2020-08-10,32.4644253249867,34.3740974029274,41.7399754178405,Campinas
VIII,2020-08-10,2020-09-24,2020-10-12,2.9069337238313,4.72580778920565,9.94211935594171,Franca
X,2020-08-10,2020-08-10,2020-08-10,12.0711352291695,12.7812020073567,15.5200310089326,Piracicaba
XI,2020-08-10,2020-08-10,2020-08-10,2.8273953587053,2.99371273274687,3.63522260404974,Presidente Prudente
XII,2020-08-10,2020-08-10,2020-08-10,1.62675184277735,1.72244312764657,2.09153808357085,Registro
XIII,2020-08-10,2020-08-10,2020-08-10,12.2691037349125,12.9908157193191,15.7745619448875,Ribeirão Preto
XIV,2020-08-10,2020-08-10,2020-08-10,3.51395840645154,3.72066184212514,4.5179465225805,São João da Boa Vista
XV,2020-08-10,2020-08-10,2020-08-10,14.009638820237,14.8337352214272,18.0123927688765,São José do Rio Preto
XVI,2020-08-10,2020-08-10,2020-08-10,9.14394107539397,9.68181996218209,11.756495668364,Sorocaba
XVII,2020-08-10,2020-08-10,2020-10-11,12.5900058237507,13.8594926002291,16.1871503448225,Taubaté
