DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-07-16,13694.8571428571,13694.8571428571,13694.8571428571,Grande São Paulo
I,2020-07-17,13861.9389527777,13884.2165274337,13913.3487404455,Grande São Paulo
I,2020-07-18,14025.4503047005,14069.2733826059,14107.4307516523,Grande São Paulo
I,2020-07-19,14185.2871399699,14231.1110382118,14280.8282480886,Grande São Paulo
I,2020-07-20,14341.426829918,14385.4608699533,14436.9056180559,Grande São Paulo
I,2020-07-21,14488.294944677,14543.5388606347,14599.6938115914,Grande São Paulo
I,2020-07-22,13533.3882900163,14684.7675171088,15413.0709393738,Grande São Paulo
I,2020-07-23,13627.3866035384,14809.4967175883,15584.7356968303,Grande São Paulo
I,2020-07-24,13713.9428734846,14931.5453165127,15752.3930103751,Grande São Paulo
I,2020-07-25,13794.3036537304,15037.2489192309,15916.1838552392,Grande São Paulo
I,2020-07-26,13869.4607520756,15133.0575733457,16076.2490643551,Grande São Paulo
I,2020-07-27,13940.1995393456,15223.3929977541,16232.7264251955,Grande São Paulo
I,2020-07-28,14007.1399829572,15309.0032453622,16385.749031384,Grande São Paulo
I,2020-07-29,14070.7671535091,15390.5016563154,16535.4441316851,Grande São Paulo
I,2020-07-30,14131.4576690884,15468.389294629,16681.9325938703,Grande São Paulo
I,2020-07-31,14189.5082146249,15543.0812049074,16825.3293063804,Grande São Paulo
I,2020-08-01,14245.1523856303,15614.9215986941,16965.7432571303,Grande São Paulo
I,2020-08-02,14298.574683731,15684.1968912727,17103.2777615872,Grande São Paulo
I,2020-08-03,14349.9205626936,15751.1450743732,17238.0306381722,Grande São Paulo
I,2020-08-04,14399.3054207735,15815.9644923633,17370.0945020666,Grande São Paulo
I,2020-08-05,14446.8195669637,15879.0567746054,17499.5568426078,Grande São Paulo
I,2020-08-06,14492.5333660207,15941.5971001077,17626.5002176669,Grande São Paulo
I,2020-08-07,14536.5064818087,16002.4578655995,17751.0029939297,Grande São Paulo
I,2020-08-08,14578.7907655653,16061.7201422752,17873.1396210087,Grande São Paulo
I,2020-08-09,14619.432799034,16119.4528520305,17992.9809225393,Grande São Paulo
I,2020-08-10,14658.4750029138,16175.7146182029,18110.5942661448,Grande São Paulo
I,2020-08-11,14695.9571292214,16230.5558352171,18226.0437940937,Grande São Paulo
I,2020-08-12,14731.9158350097,16284.0189177385,18339.3904320926,Grande São Paulo
I,2020-08-13,14766.3851297824,16336.1392535574,18450.6919917054,Grande São Paulo
I,2020-08-14,14799.4002640438,16386.9493297054,18560.3100399151,Grande São Paulo
I,2020-08-15,14830.9976940252,16436.4792430226,18670.4801472949,Grande São Paulo
I,2020-08-16,14861.2151921205,16484.7573489462,18778.6778101309,Grande São Paulo
I,2020-08-17,14890.0912828378,16531.8101850641,18884.9472984723,Grande São Paulo
I,2020-08-18,14917.665205214,16577.6628800795,18989.3318999085,Grande São Paulo
I,2020-08-19,14943.9757857635,16622.3382939744,19091.8737930962,Grande São Paulo
I,2020-08-20,14969.0610865897,16665.8569536944,19192.6139918287,Grande São Paulo
I,2020-08-21,14992.9605093685,16708.2397534255,19291.5925909363,Grande São Paulo
I,2020-08-22,15015.7143769544,16749.5078100387,19388.8487792146,Grande São Paulo
I,2020-08-23,15037.3637033961,16789.6825418108,19484.4208731494,Grande São Paulo
I,2020-08-24,15057.9495804526,16829.4540979491,19578.346290451,Grande São Paulo
I,2020-08-25,15077.5129806381,16868.2781634933,19670.6615667927,Grande São Paulo
I,2020-08-26,15096.0938868319,16906.1318276929,19761.4022507969,Grande São Paulo
I,2020-08-27,15113.7309846645,16943.0337277155,19850.6028663932,Grande São Paulo
I,2020-08-28,15130.4630045164,16979.0032036195,19938.2971348296,Grande São Paulo
I,2020-08-29,15146.3284269045,17014.0599916888,20024.517990967,Grande São Paulo
I,2020-08-30,15161.3653312901,17048.2242095138,20109.2976196606,Grande São Paulo
