DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-10,2020-07-10,2020-07-10,197.63291074197,210.808438124759,243.240505528576,Grande São Paulo
II,2020-07-10,2020-07-26,2020-09-23,3.165514291028,3.89601758895751,6.99177419727062,Araçatuba
III,2020-07-10,2020-07-10,2020-07-10,1.23395219930676,1.31621567926055,1.51871039914678,Araraquara
IV,2020-07-10,2020-07-10,2020-07-10,18.5918932158676,19.8313527635921,22.882330111837,Baixada Santista
IX,2020-07-10,2020-07-10,2020-07-10,1.99420817229807,2.12715538378463,2.45441005821304,Marília
V,2020-07-10,2020-07-10,2020-07-10,2.34449884888412,2.50079877214309,2.88553704478048,Barretos
VI,2020-07-10,2020-07-10,2020-07-10,4.65239045100176,4.96254981440197,5.72601901661756,Bauru
VII,2020-07-10,2020-07-10,2020-07-10,29.4347590330292,31.3970763018976,36.2273957329592,Campinas
VIII,2020-07-10,2020-07-10,2020-12-20,1.29049929898303,1.47485634169489,1.79118869216077,Franca
X,2020-07-10,2020-07-10,2020-09-20,9.67057691335822,11.0520879009808,14.369270803621,Piracicaba
XI,2020-07-10,2020-08-28,2020-09-10,2.13930186979968,2.87194755318345,6.0497879231504,Presidente Prudente
XII,2020-07-10,2020-07-10,2020-09-30,1.00825389051922,1.15128994932629,1.27373774133373,Registro
XIII,2020-07-10,2020-07-10,2020-07-10,10.1903734291021,10.8697316577089,12.5419980665872,Ribeirão Preto
XIV,2020-07-10,2020-08-15,2020-08-26,2.74069698831876,3.99648771517386,10.1497989605753,São João da Boa Vista
XV,2020-07-10,2020-07-10,2020-07-10,9.77444672492408,10.4260765065856,12.0300882768296,São José do Rio Preto
XVI,2020-07-10,2020-07-10,2020-07-10,12.0387652762084,12.8413496279556,14.8169418784103,Sorocaba
XVII,2020-07-10,2020-07-10,2020-09-19,6.96784036042084,7.43236305111566,8.57580352051809,Taubaté
