DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-18,2020-07-18,2020-07-18,185.959103336052,199.241896431487,253.580595458245,Grande São Paulo
II,2020-07-18,2020-07-18,2020-07-18,4.01836500123444,4.30539107275116,5.47958863804696,Araçatuba
III,2020-07-18,2020-07-18,2020-07-18,1.66644864935174,1.78548069573401,2.27242997638875,Araraquara
IV,2020-07-18,2020-07-18,2020-07-18,17.2736419359796,18.5074735028352,23.554966276336,Baixada Santista
IX,2020-07-18,2020-07-18,2020-07-18,2.32077933270008,2.48654928503586,3.16469909004562,Marília
V,2020-07-18,2020-07-18,2020-07-18,2.65644463595449,2.84619068137984,3.62242450357434,Barretos
VI,2020-07-18,2020-07-18,2020-07-18,4.91243539803219,5.26332364074884,6.69877554277133,Bauru
VII,2020-07-18,2020-07-18,2020-07-18,31.4209887418385,33.6653450805411,42.8468028297793,Campinas
VIII,2020-07-18,2020-07-18,2020-07-18,1.75020007548056,1.87521436658629,2.38663646656438,Franca
X,2020-07-18,2020-07-18,2020-07-18,11.9989664747111,12.856035508619,16.3622270109699,Piracicaba
XI,2020-07-18,2020-07-18,2020-07-18,2.16214267234172,2.31658143465185,2.94837637137503,Presidente Prudente
XII,2020-07-18,2020-07-18,2020-07-18,1.06111958635746,1.13691384252586,1.44698125412381,Registro
XIII,2020-07-18,2020-07-18,2020-07-18,12.562886994436,13.4602360654673,17.1312095378675,Ribeirão Preto
XIV,2020-07-18,2020-07-18,2020-07-18,3.29313600226503,3.52836000242684,4.49064000308866,São João da Boa Vista
XV,2020-07-18,2020-07-18,2020-07-18,12.585590754842,13.484561523045,17.1621692111485,São José do Rio Preto
XVI,2020-07-18,2020-07-18,2020-07-18,11.188682343558,11.9878739395263,15.2572941048517,Sorocaba
XVII,2020-07-18,2020-07-18,2020-07-18,7.92115727833391,8.48695422678651,10.8015781068191,Taubaté
