DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-17,2020-07-17,2020-07-17,167.081809920519,189.359384576586,218.491597588372,Grande São Paulo
II,2020-07-17,2020-07-17,2020-11-01,3.97786642389717,4.5898458737275,10.2847052778582,Araçatuba
III,2020-07-17,2020-07-17,2020-11-20,1.63821384386681,1.89024674292327,3.09796629453763,Araraquara
IV,2020-07-17,2020-07-17,2020-10-08,17.6265483525099,20.3383250221268,37.9557480117128,Baixada Santista
IX,2020-07-17,2020-07-17,2020-10-31,2.28815853543622,2.64018292550333,6.14921650208214,Marília
V,2020-07-17,2020-07-17,2020-07-17,2.3152487298039,2.6239485604444,3.02763295435894,Barretos
VI,2020-07-17,2020-07-17,2020-07-17,4.32763930135832,4.90465787487281,5.65922062485328,Bauru
VII,2020-07-17,2020-07-17,2020-10-08,27.7891841513001,31.4944087048064,36.3397023516995,Campinas
VIII,2020-07-17,2020-07-17,2020-10-09,1.70088968832954,1.96256502499563,4.09525477943373,Franca
X,2020-07-17,2020-07-17,2020-09-23,11.8765721785656,13.7037371291143,19.9650887987939,Piracicaba
XI,2020-07-17,2020-07-17,2020-11-02,1.8778600552122,2.28025863847198,2.5642098506749,Presidente Prudente
XII,2020-07-17,2020-07-17,2020-10-21,1.06076897319348,1.22396419983863,1.90969933399302,Registro
XIII,2020-07-17,2020-07-17,2020-10-07,12.4410871013182,14.3551005015212,30.754160933529,Ribeirão Preto
XIV,2020-07-17,2020-07-17,2020-10-16,2.98997969812791,3.4498874579791,3.80422674041114,São João da Boa Vista
XV,2020-07-17,2020-07-17,2020-10-07,12.4210894602866,14.3320263003306,19.2881163910533,São José do Rio Preto
XVI,2020-07-17,2020-07-17,2020-07-17,9.97339260449689,11.3031782850964,13.042128790496,Sorocaba
XVII,2020-07-17,2020-07-17,2020-10-11,7.0496114054356,7.98955959282705,9.21872260710796,Taubaté
