DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
0,2020-06-30,2020-06-30,2020-07-05,116.727468219703,132.291130648997,152.643612287305,Cidade de São Paulo
I,2020-06-30,2020-06-30,2020-09-18,84.3380913644332,103.80072783315,224.891228060129,Grande São Paulo
II,2020-07-30,2020-08-14,2020-09-09,2.46486920995262,4.89579127583919,17.8145318363681,Araçatuba
III,2020-06-30,2020-08-18,2020-11-04,1.16756225418688,1.44138478830407,4.21212148233525,Araraquara
IV,2020-06-30,2020-06-30,2020-08-30,19.7794928840784,22.4167586019555,33.4688529710825,Baixada Santista
IX,2020-06-30,2020-08-25,2020-10-05,2.2388591608192,4.2554354600244,14.8152740355337,Marília
V,2020-06-30,2020-08-09,2020-09-29,2.45189760936894,3.07400108867818,12.5982274356032,Barretos
VI,2020-06-30,2020-08-12,2020-09-12,4.56668151407655,6.32456901123567,22.675640914953,Bauru
VII,2020-06-30,2020-06-30,2020-09-19,26.3191921998082,32.3928519382254,91.3011590556362,Campinas
VIII,2020-08-14,2020-09-01,2020-10-01,2.12105403403153,4.9944656018565,22.1205610937452,Franca
X,2020-06-30,2020-06-30,2020-09-20,7.51668856752406,9.25130900618333,22.6995060385527,Piracicaba
XI,2020-07-31,2020-08-11,2020-08-26,4.09427024950995,8.49465899803163,36.1621481180799,Presidente Prudente
XII,2020-06-30,2020-08-07,2020-09-13,0.925646628397232,1.17613944753577,3.92614573926531,Registro
XIII,2020-06-30,2020-07-31,2020-09-24,7.85864871318501,9.75741702145359,30.44343745482,Ribeirão Preto
XIV,2020-08-04,2020-08-23,2020-09-20,2.99781839524604,6.03244207982104,22.3748251707398,São João da Boa Vista
XV,2020-06-30,2020-06-30,2020-09-09,7.51503762440635,9.24927707619236,24.9449723954404,São José do Rio Preto
XVI,2020-06-30,2020-08-09,2020-09-03,12.5319261344142,24.2274572089387,92.3171881059238,Sorocaba
XVII,2020-06-30,2020-08-21,2020-09-30,6.61453217844002,10.1381907020392,37.9874927092583,Taubaté
