DRS,Date,Infimo,Mediana,Sup,Regiao
I,2020-07-22,14509.4285714286,14509.4285714286,14509.4285714286,Grande São Paulo
I,2020-07-23,14686.3799455622,14699.0193294289,14730.6177890956,Grande São Paulo
I,2020-07-24,14860.1888510061,14886.6856456134,14940.9983872597,Grande São Paulo
I,2020-07-25,15031.2651655742,15072.5636851967,15142.2442816449,Grande São Paulo
I,2020-07-26,15199.7433506102,15256.5602874711,15335.4781770256,Grande São Paulo
I,2020-07-27,15350.4822610141,15438.4428405144,15521.4412330552,Grande São Paulo
I,2020-07-28,14162.965831335,15613.9781277918,16612.4745113296,Grande São Paulo
I,2020-07-29,14287.1864261446,15789.4575156481,16816.9115777835,Grande São Paulo
I,2020-07-30,14405.6608087405,15961.7519624191,17018.4009257264,Grande São Paulo
I,2020-07-31,14518.6815356365,16124.4687660694,17216.562783996,Grande São Paulo
I,2020-08-01,14626.4879312812,16288.3313934786,17411.0513513183,Grande São Paulo
I,2020-08-02,14729.2841671741,16445.6423454791,17601.5630418912,Grande São Paulo
I,2020-08-03,14827.2512565648,16596.0718704003,17787.8398973237,Grande São Paulo
I,2020-08-04,14920.5553695725,16742.948737759,17969.6700142147,Grande São Paulo
I,2020-08-05,15009.3529657535,16890.3853664413,18146.8857839494,Grande São Paulo
I,2020-08-06,15093.7943400313,17029.1477117085,18319.3610531173,Grande São Paulo
I,2020-08-07,15174.0269159923,17155.8791699494,18487.0081457754,Grande São Paulo
I,2020-08-08,15250.1965916637,17283.3562686546,18649.7741188936,Grande São Paulo
I,2020-08-09,15322.4485847937,17414.4938855648,18807.6370137921,Grande São Paulo
I,2020-08-10,15390.9276071332,17541.0031968482,18960.6020700968,Grande São Paulo
I,2020-08-11,15455.7778913431,17661.7444363105,19108.698188471,Grande São Paulo
I,2020-08-12,15517.1427579837,17778.0196011238,19251.9744698372,Grande São Paulo
I,2020-08-13,15575.1642422663,17889.2480022808,19390.4971066156,Grande São Paulo
I,2020-08-14,15629.9832738401,17994.058184919,19524.3469342775,Grande São Paulo
I,2020-08-15,15681.7392359394,18094.7142678413,19653.6169248352,Grande São Paulo
I,2020-08-16,15730.5696025348,18194.052666196,19778.4099939948,Grande São Paulo
I,2020-08-17,15776.6094528863,18290.5690116512,19898.8369665716,Grande São Paulo
I,2020-08-18,15819.9911011837,18383.3522271664,20015.0148235072,Grande São Paulo
I,2020-08-19,15860.8436087896,18472.5173770015,20127.0650431126,Grande São Paulo
I,2020-08-20,15899.2924431184,18558.1819937229,20235.1122012542,Grande São Paulo
I,2020-08-21,15935.4595381124,18640.4657315989,20339.2830333571,Grande São Paulo
I,2020-08-22,15969.463059895,18719.4893206555,20439.705409501,Grande São Paulo
I,2020-08-23,16001.417264214,18792.6414957148,20536.5074908503,Grande São Paulo
I,2020-08-24,16031.4323124225,18862.2443702903,20629.8169439985,Grande São Paulo
I,2020-08-25,16059.6141774547,18928.9586266848,20719.760306521,Grande São Paulo
I,2020-08-26,16086.0644962093,18993.8105217106,20806.4623627742,Grande São Paulo
I,2020-08-27,16110.88051733,19058.4439307457,20890.0456582871,Grande São Paulo
I,2020-08-28,16134.1552854796,19120.5670375547,20970.6303105675,Grande São Paulo
I,2020-08-29,16155.9776558309,19179.1448223893,21048.3337018339,Grande São Paulo
I,2020-08-30,16176.4323610277,19234.9437496629,21123.2702633703,Grande São Paulo
I,2020-08-31,16195.6000476478,19288.5936243831,21195.5512580459,Grande São Paulo
I,2020-09-01,16213.5573599562,19342.3114894282,21265.2846384476,Grande São Paulo
I,2020-09-02,16230.3769851048,19394.0026158529,21332.5748746544,Grande São Paulo
I,2020-09-03,16246.1277478378,19443.7608292489,21397.5228558718,Grande São Paulo
I,2020-09-04,16260.874835063,19491.6763337387,21460.2259926236,Grande São Paulo
I,2020-09-05,16274.6799131707,19534.524480233,21520.778198213,Grande São Paulo
I,2020-09-06,16287.6012689732,19573.9627844293,21579.2699175309,Grande São Paulo
I,2020-09-07,16299.693923425,19611.7453603022,21635.788129897,Grande São Paulo
I,2020-09-08,16311.0097659277,19647.823432784,21690.4163909797,Grande São Paulo
I,2020-09-09,16321.5976582471,19683.4959522456,21743.2348314611,Grande São Paulo
I,2020-09-10,16331.5035616249,19719.1576791628,21794.3201980638,Grande São Paulo
I,2020-09-11,16340.770733642,19753.50538147,21843.7460402367,Grande São Paulo
I,2020-09-12,16349.4398556308,19786.5997308356,21891.5827865013,Grande São Paulo
I,2020-09-13,16357.5491690327,19818.4986125195,21937.8978476759,Grande São Paulo
I,2020-09-14,16365.1345895037,19849.2571520562,21982.75568725,Grande São Paulo
I,2020-09-15,16372.2298287473,19878.0580853368,22026.2179138889,Grande São Paulo
I,2020-09-16,16378.866493651,19904.7659591757,22068.3433301047,Grande São Paulo
I,2020-09-17,16385.0741959008,19930.5245234003,22109.188008104,Grande São Paulo
I,2020-09-18,16390.8806992787,19955.3807166855,22148.8054782476,Grande São Paulo
I,2020-09-19,16396.3120222359,19979.3789245744,22187.2468212193,Grande São Paulo
I,2020-09-20,16401.3925432718,20002.5611296846,22224.5607778056,Grande São Paulo
