Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
CESÁRIO LANGE,2020-08-15,2020-08-15,2020-08-15,0.041494280846921,0.0474220352536241,0.0553257077958955
LARANJAL PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.0735782865583454,0.0840894703523949,0.0981043820777945
RIBEIRÃO DO SUL,2020-08-15,2020-08-15,2020-08-15,0.00702312995117207,0.00802643422991094,0.00936417326822943
MIRA ESTRELA,2020-08-15,2020-08-15,2020-08-15,0.0104969206617558,0.0119964807562925,0.0139958942156744
MORUNGABA,2020-08-15,2020-08-15,2020-08-15,0.0342361089855783,0.0391269816978035,0.0456481453141042
CORUMBATAÍ,2020-08-15,2020-08-15,2020-08-15,0.0516111464938756,0.0589841674215723,0.0688148619918345
SANTA ERNESTINA,2020-08-15,2020-08-15,2020-08-15,0.0121951219512195,0.0139372822299652,0.016260162601626
BARBOSA,2020-08-15,2020-08-15,2020-08-15,0.062755119675817,0.0717201367723623,0.0836734929010893
COLINA,2020-08-15,2020-08-15,2020-08-15,0.0109320557491284,0.0124937779990049,0.0145760743321723
GUZOLÂNDIA,2020-08-15,2020-08-15,2020-08-15,0.00911826525204162,0.0104208745737622,0.0121576870027225
PARAÍSO,2020-08-15,2020-08-15,2020-08-15,0.0504588817775631,0.0576672934600722,0.0672785090367507
TARUMÃ,2020-08-15,2020-08-15,2020-08-15,0.0268439633689244,0.0306788152787707,0.0357919511585658
ITAPECERICA DA SERRA,2020-08-15,2020-08-15,2020-08-15,1.60873603141044,1.8385554644691,2.14498137521394
QUATÁ,2020-08-15,2020-08-15,2020-08-15,0.0307659810117551,0.0351611211562912,0.0410213080156732
FRANCO DA ROCHA,2020-08-15,2020-08-15,2020-08-15,0.252746962891507,0.288853671876012,0.33699595052201
URU,2020-09-05,2020-09-15,2020-09-25,0.00499013323337993,0.010862426334216,0.0182543522011462
ÁGUAS DE LINDÓIA,2020-08-15,2020-08-15,2020-08-15,0.0504807692307692,0.0576923076923075,0.0673076923076925
PIRAJUÍ,2020-08-15,2020-08-15,2020-08-15,0.0886301003112227,0.101291543212826,0.11817346708163
SEVERÍNIA,2020-08-15,2020-08-15,2020-08-15,0.159255123891098,0.182005855875541,0.212340165188131
ITAJOBI,2020-08-15,2020-08-15,2020-08-15,0.069359756097561,0.0792682926829267,0.0924796747967482
PEDRANÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.0051563820794589,0.00589300809081039,0.00687517610594535
BILAC,2020-08-15,2020-08-15,2020-08-15,0.0343275868312163,0.0392315278071043,0.045770115774955
SANTO ANTÔNIO DO JARDIM,2020-08-15,2020-08-15,2020-08-15,0.0221471061589371,0.0253109784673566,0.0295294748785828
SEBASTIANÓPOLIS DO SUL,2020-08-15,2020-08-15,2020-08-15,0.0125226421929719,0.0143115910776822,0.0166968562572958
MARINÓPOLIS,2020-08-15,2020-08-15,2020-08-15,0.00994445115324236,0.011365087032277,0.0132592682043231
PIRACICABA,2020-08-15,2020-08-15,2020-08-15,3.06264773359288,3.50016883839186,4.08353031145717
CAJAMAR,2020-08-15,2020-08-15,2020-08-15,0.557364356280388,0.636987835749011,0.743152475040503
LINS,2020-08-15,2020-08-15,2020-08-15,0.557469583528309,0.637108095460928,0.743292778037748
NEVES PAULISTA,2020-08-15,2020-08-15,2020-08-15,0.0615082719478324,0.0702951679403798,0.0820110292637766
TAMBAÚ,2020-08-15,2020-08-15,2020-08-15,0.312711291413118,0.357384333043562,0.416948388550823
GUAREÍ,2020-08-15,2020-08-15,2020-08-15,0.0819911030196376,0.0937041177367288,0.10932147069285
IPIGUÁ,2020-08-15,2020-08-15,2020-08-15,0.113583138173302,0.129809300769488,0.151444184231069
ARAPEÍ,2020-08-15,2020-08-15,2020-08-15,0.00114418557530693,0.00130764065749345,0.00152558076707576
POTIRENDABA,2020-08-15,2020-08-15,2020-08-15,0.100412436548224,0.114757070340827,0.133883248730965
CÂNDIDO MOTA,2020-08-15,2020-08-15,2020-08-15,0.065861351986547,0.0752701165560539,0.0878151359820625
ITAJU,2020-08-15,2020-08-15,2020-08-15,0.0337771405910486,0.0386024463897698,0.0450361874547314
ARARAQUARA,2020-08-15,2020-08-15,2020-08-15,0.205453898074182,0.234804454941926,0.27393853076558
PORTO FERREIRA,2020-08-15,2020-08-15,2020-08-15,0.5013364422202,0.572955933965943,0.668448589626934
BERTIOGA,2020-08-15,2020-08-15,2020-08-15,0.309407461186197,0.353608527069937,0.412543281581591
SÃO PEDRO DO TURVO,2020-08-15,2020-08-15,2020-08-15,0.0451041012419718,0.0515475442765392,0.0601388016559623
ITATINGA,2020-08-15,2020-08-15,2020-08-15,0.0915852575488456,0.104668865770109,0.122113676731794
PACAEMBU,2020-08-15,2020-08-15,2020-08-15,0.09108040201005,0.104091888011486,0.121440536013401
RIBEIRA,2020-08-15,2020-08-15,2020-10-06,0.0153608635827545,0.0177871002868409,0.0204811514436727
CAIEIRAS,2020-08-15,2020-08-15,2020-08-15,0.714223669923996,0.816255622770285,0.952298226565333
CASTILHO,2020-08-15,2020-08-15,2020-08-15,0.0609672245283579,0.0696768280324089,0.081289632704477
