DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-27,2020-07-27,2020-08-24,211.667721768805,229.306698582872,250.152762090405,Grande São Paulo
II,2020-07-27,2020-07-27,2020-09-02,6.5737711160595,7.14378492275031,10.5080499426278,Araçatuba
III,2020-07-27,2020-08-27,2020-09-18,2.520695608943,2.84381081021157,5.42185262112912,Araraquara
IV,2020-07-27,2020-07-27,2020-08-04,16.9711659050176,18.3854297304358,20.0568324332028,Baixada Santista
IX,2020-07-27,2020-08-29,2020-09-18,3.76290102578844,4.38382847380099,8.85921565326248,Marília
V,2020-07-27,2020-07-27,2020-09-02,3.07165633720335,3.32762769863696,3.97517069359799,Barretos
VI,2020-07-27,2020-08-05,2020-09-09,8.05020225541654,9.01004410933859,17.1303815038552,Bauru
VII,2020-07-27,2020-07-27,2020-08-28,40.5526986157877,43.9369293835307,51.2779136440668,Campinas
VIII,2020-07-27,2020-07-27,2020-08-31,2.32659307639564,2.52047583276192,2.82104127090787,Franca
X,2020-07-27,2020-07-27,2020-08-13,14.2927995485518,15.4838661775976,16.8914903755612,Piracicaba
XI,2020-07-27,2020-08-25,2020-09-14,3.61571648419543,3.97143311591928,7.5715086325481,Presidente Prudente
XII,2020-07-27,2020-07-27,2020-08-30,1.79655081467523,2.12319641734346,3.37749089748118,Registro
XIII,2020-07-27,2020-07-27,2020-08-19,15.6365857196033,16.9396345295704,18.4796013049859,Ribeirão Preto
XIV,2020-07-27,2020-08-18,2020-09-09,4.51468014188249,6.28858254482547,10.2163704129867,São João da Boa Vista
XV,2020-07-27,2020-07-27,2020-08-23,17.3974406697671,18.8472273922474,22.3035224200214,São José do Rio Preto
XVI,2020-07-27,2020-07-27,2020-09-08,14.6279736335742,17.2749402195207,25.6844887878076,Sorocaba
XVII,2020-07-27,2020-08-26,2020-09-14,14.3186968257068,17.6873312416874,36.6861648596403,Taubaté
