"Municipio","DRS","Minimo","Mediana","Máximo"
"GARÇA","Marília",2.27495997774967,2.95548448857521,3.67707314389968
"ITAPORANGA","Bauru",2.31730755070375,2.80115674136677,3.34113879463053
"PIRATININGA","Bauru",2.04491446527409,2.61917470876863,3.32381488455494
"SETE BARRAS","Registro",2.08113128186927,2.60893699795584,3.14561937615317
"ITAPUÍ","Bauru",2.00363695109402,2.53719365825837,3.15346975974542
"IACANGA","Bauru",1.81654500231422,2.51323470681476,3.4683292017997
"ELDORADO","Registro",1.80703141526195,2.5069898617784,3.32957090317672
"SANTA MARIA DA SERRA","Piracicaba",1.74603557264218,2.47729041182327,3.33813664477108
"SÃO SEBASTIÃO DA GRAMA","São João da Boa Vista",1.91865266659802,2.41044223226651,2.88975811724083
"TABATINGA","Araraquara",1.9073073366585,2.39813517603303,2.92240386145518
"TAPIRAÍ","Sorocaba",1.8277641624366,2.35262262672544,2.96971948728875
"ITÁPOLIS","Araraquara",1.86923133432169,2.32923563070027,2.81723057940011
"ANDRADINA","Araçatuba",1.89097689404513,2.32183694202216,2.73954847688402
"CERQUEIRA CÉSAR","Bauru",1.79415174535485,2.1720462340702,2.64977555768595
"TATUÍ","Sorocaba",1.78379674629256,2.1555741446636,2.72208905920489
"SÃO PEDRO DO TURVO","Marília",1.36788490616817,2.10078227567513,2.75684574062562
"PINDAMONHANGABA","Taubaté",1.76777672202518,2.0895565688049,2.47349737692369
"SANTA BRANCA","Taubaté",1.75197167091177,2.08088585881333,2.59432366269332
"ITARIRI","Registro",1.7613187313278,2.06227490289053,2.44048394926774
"ITAPEVA","Sorocaba",1.68878054872558,2.06037441684762,2.5412575748758
"CAMPINA DO MONTE ALEGRE","Sorocaba",1.71892593518798,2.05437005963297,2.41282731592535
"TAMBAÚ","São João da Boa Vista",1.7084444793006,2.04034244203818,2.40242157342119
"TEODORO SAMPAIO","Presidente Prudente",1.7201162254603,2.02655450708056,2.30917535707264
"IPERÓ","Sorocaba",1.58951150620001,2.01937415418014,2.48607332998091
"IBIRAREMA","Marília",1.6122754734808,2.01082636276241,2.42640745263956
"MIRANDÓPOLIS","Araçatuba",1.66994567093077,1.99113882306055,2.31950055094319
"SANTA ADÉLIA","São José do Rio Preto",1.57600469099262,1.99021871707241,2.31037413824799
"CRUZEIRO","Taubaté",1.70474019956736,1.98211179948974,2.29330911552848
"TAUBATÉ","Taubaté",1.8265845253988,1.97963804644359,2.14644534608924
"AVARÉ","Bauru",1.67618309093207,1.97290715591471,2.2879754215528
"CAJURU","Ribeirão Preto",1.68029701197629,1.97289442838837,2.32774339624326
"SALTO","Sorocaba",1.59214956986482,1.96370505329695,2.41054318721421
