Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
1,5,9,12,8,16,9.375,1.5,0.147407889408333,1.39548770967448,0.875,0.930243818255638,1.03671106089737,0.868349720119128,1.04143648646906
2,6,6,12,27,14,6.3,0.25,0.254028667042329,1.42653184082159,0.95,0.930551443682579,1.03849929485114,0.874436713254958,1.04339905932842
3,5,6,12,16,14,6.15,0.5,0.278797651773585,1.38348230845977,0.975,0.929520125498084,1.03802656268319,0.879506932910727,1.04432469725148
4,6,8,12,28,15,8.4,2,0.174117725459894,1.46525524454444,0.9,0.934713403481762,1.0412029631513,0.87008372806908,1.04214340807515
5,5,8,12,28,16,8.4,1.5,0.167083074895853,1.3992993789632,0.9,0.925672453534181,1.03427495985811,0.870048523637966,1.04188427242457
6,4,10,12,24,16,10.25,0.25,0.134254037801074,1.34881603936679,0.875,0.933334896619588,1.03816911021162,0.868938827550109,1.04186625457852
7,5,9,12,19,16,9.6,1,0.130985231827316,1.25393384388887,0.8,0.932478908000606,1.03787470634652,0.861483052642938,1.03901930755455
8,6,8,12,9,15,8.4,3,0.171632421114855,1.46528024567987,0.9,0.934712859645295,1.04120128863676,0.870064109757422,1.04207130317156
9,5,6,12,9,14,6.4,0.5,0.226328326149071,1.35975977112191,0.933333333333333,0.931246061509642,1.03881714546482,0.872177179238661,1.04256879988254
10,5,10,12,25,16,10.1333333333333,2,0.153110368746952,1.52647098765801,0.933333333333333,0.931800200735592,1.03735840220948,0.87451735217738,1.04327456698807
11,4,9,12,11,15,9.075,0.25,0.190900182741612,1.45691143424693,0.975,0.936549339605772,1.0420149944738,0.880008877930961,1.04484760755114
12,5,7,12,24,15,7.33333333333333,0.25,0.202265843275693,1.39772825223745,0.933333333333333,0.928406726571236,1.03640989996441,0.873000643753713,1.04271121761615
13,4,6,12,20,15,7,2.5,0.169091579145539,1.20786465305833,0.833333333333333,0.925981569984554,1.03489098095894,0.860516625587384,1.03819945125687
14,6,10,12,8,16,10.05,1.5,0.196884457362902,1.66653396374023,0.975,0.930765331070568,1.03678365655781,0.87990788045795,1.04522109973494
15,5,7,12,26,15,7.33333333333333,2,0.195535881349426,1.39684905892337,0.933333333333333,0.928405469336591,1.03640545934653,0.872954058206167,1.04268793995562
16,6,6,12,7,14,6.85714285714286,2,0.193477308949733,1.33975348658138,0.857142857142857,0.934618050000634,1.04106357647238,0.863279701157688,1.03905810901441
17,5,6,11,15,15,7,0.25,0.172090802408265,1.17930416897856,0.8,0.929908286080414,1.03748953124427,0.878717032887895,1.05002561216234
18,6,5,12,5,13,5.46666666666667,0.5,0.271095194284432,1.37543285491705,0.933333333333333,0.932234114724774,1.04138609968592,0.871029956499033,1.04219533599555
19,4,9,12,6,16,9.375,2.5,0.138812084130162,1.31790715295713,0.875,0.930226991343661,1.03670693571854,0.868227791345238,1.04146889549127
20,6,7,12,12,15,7.16666666666667,2,0.236586815848289,1.49144738907479,0.966666666666667,0.927240605874927,1.03553652135085,0.877634536446375,1.04461481028985
