DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-08-08,2020-08-08,2020-11-09,154.368118457483,166.242589108062,261.022796013873,Grande São Paulo
II,2020-08-08,2020-08-08,2020-10-27,5.16154291514377,5.53022455193965,7.88595923688911,Araçatuba
III,2020-08-08,2020-09-27,2020-10-28,2.90300771744398,3.38147793028103,8.30594376721012,Araraquara
IV,2020-08-08,2020-09-21,2020-10-26,18.4940287048873,21.5763668223683,60.1201782978496,Baixada Santista
IX,2020-08-08,2020-10-07,2020-11-06,3.22280519386396,4.07599828176615,12.2503178185896,Marília
V,2020-08-08,2020-09-19,2020-10-27,3.26724027258857,3.66099997914455,9.74491879674804,Barretos
VI,2020-08-08,2020-08-08,2020-10-17,7.84652943531302,8.45010862264491,15.8687462110493,Bauru
VII,2020-08-08,2020-08-08,2020-10-24,42.8009408021253,46.0933208638271,82.5401439585548,Campinas
VIII,2020-09-12,2020-10-03,2020-10-26,4.53763888051628,12.1430096382482,39.7428885958757,Franca
X,2020-08-08,2020-08-08,2020-11-06,15.8110830034038,17.027320157512,39.3127183533634,Piracicaba
XI,2020-08-08,2020-09-30,2020-10-31,3.60181118701658,4.45116944837943,12.8144807708527,Presidente Prudente
XII,2020-08-08,2020-08-08,2020-10-30,1.95316386287854,2.05971227538281,3.41375542378597,Registro
XIII,2020-08-08,2020-08-08,2020-12-09,15.9192295483523,16.6238307326635,28.1029549883133,Ribeirão Preto
XIV,2020-08-08,2020-09-24,2020-10-28,4.65062296106166,5.42572678790526,18.1672328892749,São João da Boa Vista
XV,2020-08-08,2020-08-08,2020-10-14,18.1779472373281,19.3980651348828,33.0131417888947,São José do Rio Preto
XVI,2020-08-08,2020-08-08,2020-11-26,12.4499442809005,13.407632302508,22.7933621928296,Sorocaba
XVII,2020-08-08,2020-10-02,2020-11-11,16.2063521642566,18.9846824219233,52.6114230867233,Taubaté
