DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-08-17,2020-08-17,2020-08-17,114.286512763847,140.660323401651,166.234927656504,Grande São Paulo
II,2020-08-17,2020-08-17,2020-08-17,3.7242888993033,4.58374018375787,5.41714748989566,Araçatuba
III,2020-08-17,2020-08-17,2020-08-17,2.34253947216646,2.88312550420488,3.40733014133301,Araraquara
IV,2020-08-17,2020-08-17,2020-08-17,15.8320764620428,19.4856325686683,23.0284748538807,Baixada Santista
IX,2020-08-17,2020-08-17,2020-08-17,2.50061196831715,3.0776762686981,3.63725377209769,Marília
V,2020-08-17,2020-08-17,2020-08-17,2.85060500928685,3.50843693450688,4.14633455896268,Barretos
VI,2020-08-17,2020-08-17,2020-08-17,5.92305170887425,7.2899097955376,8.61534794018081,Bauru
VII,2020-08-17,2020-08-17,2020-08-17,33.1406543207745,40.7884976255687,48.204588102944,Campinas
VIII,2020-08-17,2020-08-17,2020-08-17,3.20006672010013,3.93854365550786,4.65464250196379,Franca
X,2020-08-17,2020-08-17,2020-08-17,11.0328415686937,13.5788819307,16.0477695544637,Piracicaba
XI,2020-08-17,2020-08-17,2020-08-17,3.20500837339802,3.9446256903361,4.66183036130633,Presidente Prudente
XII,2020-08-17,2020-08-17,2020-08-17,1.92100712095311,2.3643164565577,2.79419217593184,Registro
XIII,2020-08-17,2020-08-17,2020-08-17,12.7636631802459,15.7091239141489,18.5653282621759,Ribeirão Preto
XIV,2020-08-17,2020-08-17,2020-08-17,2.86229359991975,3.52282289220898,4.16333614533784,São João da Boa Vista
XV,2020-08-17,2020-08-17,2020-08-17,14.8727922144575,18.304975033179,21.6331523119384,São José do Rio Preto
XVI,2020-08-17,2020-08-17,2020-08-17,9.07150932048728,11.1649345482919,13.1949226479815,Sorocaba
XVII,2020-08-17,2020-08-17,2020-08-17,13.0171042063344,16.0210513308729,18.9339697546676,Taubaté
