date,median_cases,min_cases,max_cases,median_deaths,min_deaths,max_deaths
2020-07-22,441063.142857143,441063.142857143,441063.142857143,20541.1428571429,20541.1428571429,20541.1428571429
2020-07-23,449872.422650962,449179.05294577,449880.350029787,20899.0611270062,20851.3386910244,20928.8876494948
2020-07-24,458734.797398643,457495.252227451,458790.743553805,21245.6204208673,21156.1919519561,21297.3434261933
2020-07-25,467538.174409856,465834.042586236,467697.624956805,21582.4622651571,21456.4527579874,21649.6102477081
2020-07-26,476206.365324368,474075.83591733,476496.95639907,21910.6141542496,21752.4086569634,21987.8138682046
2020-07-27,484684.289844372,482140.878386947,485132.716305038,22230.6717898553,22044.0666909096,22327.5292242145
2020-07-28,492933.946692662,420679.244418003,520159.173320751,22544.3147297935,20511.310646132,24003.4973760573
2020-07-29,500930.768888863,427180.565074786,528810.284820561,22862.6134860506,20770.8125910799,24375.9599956425
2020-07-30,508660.632933813,433438.346354199,537227.823829784,23175.8058077074,21025.7763737434,24745.0975685267
2020-07-31,516117.131866473,439443.204486544,545402.889249941,23473.6032026764,21275.9686043121,25110.1707791637
2020-08-01,523299.674620296,445191.544066706,553338.504812703,23769.833679985,21521.1787945187,25470.4925459193
2020-08-02,530211.794288094,450683.824218838,561040.610789387,24047.8524539533,21761.2292909632,25825.4419946999
2020-08-03,536860.059445778,455923.413342626,568517.061684583,24313.5683110769,21995.9793608438,26174.4717864588
2020-08-04,543314.860074917,460915.624154126,575776.366965147,24577.5293855576,22225.326200798,26517.1109359886
2020-08-05,549549.915567192,465667.132257695,582827.346421272,24833.3999934557,22448.9363657135,26852.9641115587
2020-08-06,555628.311064418,470160.647541872,589679.702321048,25081.1927258966,22654.6639206914,27181.7088398102
2020-08-07,561543.123146667,474387.364596186,596343.010641382,25320.959070787,22852.752969249,27503.6262529415
2020-08-08,567279.847398162,478389.56765621,602826.733061187,25552.786386417,23044.3252997419,27818.926988833
2020-08-09,572848.212494637,482177.316150757,609139.848102324,25776.7945066555,23229.501147813,28126.9737473454
2020-08-10,578257.537818372,485760.706290715,615290.935987774,25997.7975677294,23408.420082625,28427.7135403258
2020-08-11,583435.947946968,489149.533939353,621287.78158663,26220.9276649359,23581.238087063,28721.1340643821
2020-08-12,588414.277447192,492353.294340775,627137.529183629,26437.1829772894,23748.1242350107,29007.2577769764
2020-08-13,593238.390575804,495381.51180228,632847.431828184,26659.4005409921,23909.2576617414,29286.1368028052
2020-08-14,597800.861331023,498243.384127364,638424.251229175,26876.072867489,24064.8255811378,29557.8501974524
2020-08-15,602223.405305105,500947.812297274,643874.41579418,27086.5245776292,24215.0208200612,29822.4999530807
2020-08-16,606514.625595733,503503.283443402,649203.811895534,27290.8564572888,24360.0397345139,30080.2077116294
2020-08-17,610682.635101622,505917.915649105,654417.923605306,27489.1869106498,24500.0801483352,30331.1112942415
2020-08-18,614734.916317937,508199.331335934,659521.552411272,27676.8940095164,24635.3396635449,30575.3618660944
2020-08-19,618759.263375899,510354.720325367,664518.981477508,27836.6427725667,24766.0139138185,30813.1207019987
2020-08-20,622730.910049243,512391.086665307,669414.606181994,27989.0772494043,24892.2951887676,31044.5565972979
2020-08-21,626611.247680039,514315.07226194,674212.461272624,28135.0466109404,25014.371923693,31269.8450818113
2020-08-22,630376.443732109,516133.006488734,678916.366040086,28274.7671828718,25132.4278452405,31489.1665718874
2020-08-23,633959.036063517,517850.8563185,683529.752151756,28408.4565540296,25246.6413962896,31702.7050118937
2020-08-24,637461.388797849,519474.272852664,688055.786707113,28536.3321420908,25357.1851274772,31910.6462554044
2020-08-25,640888.161775428,521008.527006996,692497.139618862,28658.6100211228,25464.2253160725,32113.1768666032
2020-08-26,644243.591859014,522458.561351311,696856.128986339,28775.5037677913,25562.5712354472,32310.4824976169
2020-08-27,647531.800535043,523829.151365669,701135.242794976,28901.095818034,25635.9301902139,32502.7467109596
2020-08-28,650756.604293766,525124.804114749,705336.74831824,29017.3441068353,25705.4619333408,32690.1511779731
2020-08-29,653921.591885802,526349.796211979,709462.817509031,29121.4145412243,25771.3537586242,32872.8749387627
2020-08-30,657030.047027833,527508.146292453,713515.37755546,29220.9288759296,25833.7859426639,33051.0940009611
2020-08-31,660085.010590663,528603.648414498,717496.215231723,29316.0712395651,25892.931644503,33224.9806394714
2020-09-01,663089.173386805,529639.834214088,721406.77714231,29407.020734285,25948.956949916,33394.7029868618
2020-09-02,666068.323025507,530620.009171409,725248.296018955,29501.8823901905,26002.0207451121,33560.4242077832
2020-09-03,669039.322692301,531547.356119205,729113.548021255,29596.8606503564,26052.2747493164,33722.3020083952
2020-09-04,671966.350023048,532424.873362661,733026.689442637,29688.6171550891,26099.8639927913,33880.4892430938
2020-09-05,674837.651664011,533255.401102134,736888.922324398,29777.2932545658,26144.9269557728,34035.1336999056
2020-09-06,677633.705447977,534041.604524641,740701.200907063,29863.024365556,26187.5957923862,34186.3781425109
2020-09-07,680391.817014753,534785.996504687,744464.383609548,29945.9400231171,26227.9964524718,34334.3600519981
2020-09-08,683113.448756802,535490.913916444,748179.215728282,30043.3103120583,26266.2488773143,34479.2115884087
2020-09-09,685799.882096403,536158.542416601,751846.355969206,30139.6389337009,26302.467069408,34621.0591625211
2020-09-10,688452.396312882,536790.983262551,755466.442285849,30233.8977683598,26336.7592507451,34760.0232828408
2020-09-11,691072.154581388,537390.214290583,759040.055488577,30326.1698213962,26369.228287618,34896.2193082663
2020-09-12,693660.250768321,537958.107964959,762567.740635371,30416.5335025067,26399.971888962,35029.7574790252
2020-09-13,696217.656049627,538496.420411357,766049.993131267,30505.0629309151,26429.0828496439,35160.7431545145
2020-09-14,698745.255569861,539006.806684154,769487.275498746,30591.8280189252,26456.6492161303,35289.2767618618
2020-09-15,701243.776477078,539490.805339778,772879.996363686,30676.8946721468,26482.754491053,35415.4539189889
2020-09-16,703715.98499496,539949.85534397,776228.529005329,30760.3247144633,26507.4777475206,35539.3651950251
