DRS,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo,Regiao
I,2020-07-23,2020-07-23,2020-07-25,176.951374133596,204.174662461841,221.189217666993,Grande São Paulo
II,2020-07-23,2020-07-23,2020-07-30,4.87594704613588,5.6260927455414,6.09493380766998,Araçatuba
III,2020-07-23,2020-07-23,2020-07-23,1.75954325287718,2.0302422148583,2.19942906609649,Araraquara
IV,2020-07-23,2020-07-23,2020-07-23,14.787966999555,17.0630388456402,18.4849587494434,Baixada Santista
IX,2020-07-23,2020-09-17,2020-10-03,2.91152753503172,3.54425563499788,5.19096656954963,Marília
V,2020-07-23,2020-07-23,2020-07-23,2.75368742021756,3.17733163871257,3.44210927527197,Barretos
VI,2020-07-23,2020-07-23,2020-07-23,5.6134727491845,6.4770839413668,7.01684093648066,Bauru
VII,2020-07-23,2020-07-23,2020-07-23,32.3048762946946,37.2748572631094,40.3810953683685,Campinas
VIII,2020-07-23,2020-07-23,2020-07-23,1.89112211331644,2.18206397690359,2.36390264164557,Franca
X,2020-07-23,2020-07-23,2020-07-23,12.2514981789947,14.1363440526862,15.3143727237433,Piracicaba
XI,2020-07-23,2020-10-09,2020-11-06,2.75840663750914,4.20810206268072,7.06364764728437,Presidente Prudente
XII,2020-07-23,2020-07-23,2020-07-29,1.15912906051244,1.33745660828359,1.44891132564056,Registro
XIII,2020-07-23,2020-07-23,2020-07-23,12.8582017975927,14.8363866895299,16.0727522469907,Ribeirão Preto
XIV,2020-07-23,2020-07-23,2020-07-23,3.03989536852077,3.50757157906241,3.79986921065094,São João da Boa Vista
XV,2020-07-23,2020-07-23,2020-07-23,13.7653991444959,15.8831528590335,17.2067489306196,São José do Rio Preto
XVI,2020-07-23,2020-07-23,2020-07-23,11.6462419815133,13.4379715171307,14.5578024768918,Sorocaba
XVII,2020-07-23,2020-07-23,2020-07-28,9.24553977928861,10.6679305145636,11.5569247241106,Taubaté
