pais,id,pop2019
BRA,31066,191891
BRA,32001,55047
BRA,32002,152424
BRA,32003,112381
BRA,32004,69601
BRA,32005,77784
BRA,32006,240406
BRA,32007,260570
BRA,32008,214369
BRA,32009,101680
BRA,32010,2378813
BRA,32011,187414
BRA,32012,456469
BRA,32013,72979
BRA,33001,71436
BRA,33002,152680
BRA,33003,260026
BRA,33004,74687
BRA,33005,81479
BRA,33006,56141
BRA,33007,57158
BRA,33008,46122
BRA,33009,213483
BRA,33010,131617
BRA,33011,167234
BRA,33012,65632
BRA,33013,402895
BRA,33014,204979
BRA,33015,54218
BRA,33016,66562
BRA,33017,93268
BRA,33018,7477584
BRA,35001,171779
BRA,35002,111202
BRA,35003,302850
BRA,35004,2063700
BRA,35005,341598
BRA,35006,49822
BRA,35007,72503
BRA,35008,87478
BRA,35009,61277
BRA,35010,234560
BRA,35011,297585
BRA,35012,427758
BRA,35013,396118
BRA,35014,1192971
BRA,35015,82698
BRA,35016,172346
BRA,35017,114220
BRA,35018,304013
BRA,35019,176778
BRA,35020,380873
BRA,35021,586473
BRA,35022,122750
BRA,35023,273997
BRA,35024,479329
BRA,35025,384527
BRA,35026,317666
BRA,35027,792711
BRA,35028,709768
BRA,35029,670247
BRA,35030,423209
BRA,35031,398587
BRA,35032,1694642
BRA,35033,156102
BRA,35034,126198
BRA,35035,143175
BRA,35036,682368
BRA,35037,104046
BRA,35038,462193
BRA,35039,290621
BRA,35040,322884
BRA,35041,307176
BRA,35042,247885
BRA,35043,244648
BRA,35044,132308
BRA,35045,204149
BRA,35046,1460779
BRA,35047,693677
BRA,35048,292788
BRA,35049,28013
BRA,35050,1543306
BRA,35051,470338
BRA,35052,77115
BRA,35053,72466
BRA,35054,259960
BRA,35055,388572
BRA,35056,255569
BRA,35057,1310904
BRA,35058,454397
BRA,35059,1447917
BRA,35060,939857
BRA,35061,15041894
BRA,35062,1506747
BRA,35063,1583138
BRA,41001,521360
BRA,41002,264003
BRA,41003,116416
BRA,41004,122813
BRA,41005,130795
BRA,41006,400685
BRA,41007,121769
BRA,41008,78328
BRA,41009,572748
BRA,41010,107181
BRA,41011,94392
BRA,41012,39846
BRA,41013,93715
BRA,41014,51361
BRA,41015,957115
BRA,41016,68104
BRA,41017,62682
BRA,41018,103683
BRA,41019,173355
BRA,41020,58391
BRA,41021,403588
BRA,41022,366452
BRA,41023,128001
BRA,41024,153161
BRA,41025,79615
BRA,41026,212528
BRA,41027,81736
BRA,41028,60032
BRA,41029,182631
BRA,41030,111263
BRA,41031,94562
BRA,41032,49629
BRA,41033,102045
BRA,41034,67139
BRA,41035,42095
BRA,41036,23572
BRA,41037,790149
BRA,41038,233424
BRA,41039,96292
BRA,42001,609448
BRA,42002,3552516
BRA,42003,297736
BRA,42004,617348
BRA,42005,409104
BRA,42006,265362
BRA,42007,145508
BRA,42008,250131
BRA,42009,148679
BRA,42010,343149
BRA,42011,447318
BRA,42012,418311
BRA,42013,337554
BRA,42014,172381
BRA,42015,521317
BRA,42016,480751
BRA,42017,104995
BRA,42018,694988
BRA,42019,257208
BRA,42020,235579
BRA,43001,170981
BRA,43002,227119
BRA,43003,158883
BRA,43004,269271
BRA,43005,117025
BRA,43006,52309
BRA,43007,195922
BRA,43008,133866
BRA,43009,91741
BRA,43010,131602
BRA,43011,86462
BRA,43012,55666
BRA,43013,156387
BRA,43014,149892
BRA,43015,200790
BRA,43016,149959
BRA,43017,133142
BRA,43018,369553
BRA,43019,352770
BRA,43020,342332
BRA,43021,254842
BRA,43022,78480
BRA,43023,1012350
BRA,43024,189572
BRA,43025,157824
BRA,43026,997110
BRA,43027,368013
BRA,43028,73945
BRA,43029,253752
BRA,43030,181116
BRA,43031,49555
BRA,43032,61411
BRA,43033,159105
BRA,43034,94914
BRA,43035,274953
BRA,50001,109842
BRA,50002,137750
BRA,50003,234794
BRA,50004,833165
BRA,50005,258644
BRA,50006,49109
BRA,50007,153745
BRA,50008,200794
BRA,50009,554673
BRA,50010,500838
BRA,50011,475048
BRA,51001,230960
BRA,51002,143631
BRA,51003,125617
BRA,51004,113202
BRA,51005,96955
BRA,51006,283817
BRA,51007,177030
BRA,51008,88539
BRA,51009,195539
BRA,51010,2311385
BRA,51011,95361
BRA,51012,87477
BRA,51013,191556
BRA,51014,225725
BRA,51015,78726
BRA,51016,99644
BRA,51017,185866
BRA,51018,135450
BRA,51019,106060
BRA,51020,277653
BRA,51021,106208
BRA,51022,110051
BRA,52001,70537
BRA,52002,77355
BRA,52003,97747
BRA,52004,242351
BRA,52005,64144
BRA,52006,280288
BRA,52007,272580
BRA,52008,129478
BRA,52009,158332
BRA,52010,8701287
BRA,52011,260078
BRA,52012,1466471
BRA,52013,560930
BRA,52014,189070
BRA,52015,464513
BRA,52016,111849
BRA,52017,293464
BRA,52018,118930
BRA,53001,8739
BRA,43888,1
BRA,43777,1
