"micro_reg_id","micro_reg_name","isolated","dt","ibge","ibge.conf","ibge.code"
"5913914b03205749cd16f423","Microrregião do Litoral Norte Alagoano",0.465550311115469,"2020-05-14","LITORAL NORTE ALAGOANO","LITORAL NORTE ALAGOANO","27010"
"5913915303205749cd172395","Microrregião de Chorozinho",0.508980430698666,"2020-05-14","CHOROZINHO","CHOROZINHO","23014"
"5913912703205749cd16456d","Microrregião de Itaituba",0.426906480320927,"2020-05-14","ITAITUBA","ITAITUBA","15014"
"59138cf603205749cd02844c","Microrregião Novo Venécia",0.395939770763408,"2020-05-14","NOVA VENÉCIA","NOVA VENÉCIA","32002"
"59138d8d03205749cd051b9b","Microrregião Uberlândia",0.377181989216813,"2020-05-14","UBERLÂNDIA","UBERLÂNDIA","31018"
"59138cf603205749cd0282c1","Microrregião Guarapari",0.391951376653004,"2020-05-14","GUARAPARI","GUARAPARI","32010"
"5913910603205749cd159ea9","Microrregião Umuarama",0.360193841168721,"2020-05-14","UMUARAMA","UMUARAMA","41002"
"5913915403205749cd172984","Microrregião de Cariri",0.461680898483532,"2020-05-14","CARIRI","CARIRI","23032"
"59138cf603205749cd0282c7","Microrregião Afonso Cláudio",0.380461233056586,"2020-05-14","AFONSO CLÁUDIO","AFONSO CLÁUDIO","32007"
"59138b8703205749cdfcca2c","Microrregião do Litoral Lagunar",0.453984725456804,"2020-05-14","LITORAL LAGUNAR","LITORAL LAGUNAR","43035"
"59138e2803205749cd07f89d","Microrregião de Dracena",0.371538188796676,"2020-05-14","DRACENA","DRACENA","35034"
"591390bc03205749cd142630","Microrregião de Guanambi",0.37537966298892,"2020-05-14","GUANAMBI","GUANAMBI","29026"
"5913910e03205749cd15ccfc","Microrregião de Juruá",0.453274161678317,"2020-05-14","JURUÁ","JURUÁ","13004"
"5913915703205749cd173b09","Microrregião do Litoral Nordeste",0.435770432276524,"2020-05-14","LITORAL NORDESTE","LITORAL NORDESTE","24016"
"5913912303205749cd162fa1","Microrregião de Mazagão",0.53516598925744,"2020-05-14","MAZAGÃO","MAZAGÃO","16004"
"5913915703205749cd1739fa","Microrregião de Seridó Oriental",0.388594446965496,"2020-05-14","SERIDÓ ORIENTAL","SERIDÓ ORIENTAL","24012"
"5913915703205749cd1739fa","Microrregião de Seridó Oriental",0.388594446965496,"2020-05-14","SERIDÓ ORIENTAL","SERIDÓ ORIENTAL","24012"
"591390ad03205749cd13d156","Microrregião do Seridó Oriental",0.455302124784527,"2020-05-14","SERIDÓ ORIENTAL","SERIDÓ ORIENTAL","24012"
"591390ad03205749cd13d156","Microrregião do Seridó Oriental",0.455302124784527,"2020-05-14","SERIDÓ ORIENTAL","SERIDÓ ORIENTAL","24012"
"5913910e03205749cd15cb02","Microrregião de São Mateus do Sul",0.441967432422186,"2020-05-14","SÃO MATEUS DO SUL","SÃO MATEUS DO SUL","41034"
"5913912803205749cd164ccb","Microrregião de Bragantina",0.491293412283475,"2020-05-14","BRAGANTINA","BRAGANTINA","15010"
"5913910e03205749cd15cc8a","Microrregião de Cerro Azul",0.423583953979527,"2020-05-14","CERRO AZUL","CERRO AZUL","41035"
"59138cf603205749cd02842d","Microrregião Itapemirim",0.416669842610496,"2020-05-14","ITAPEMIRIM","ITAPEMIRIM","32013"
"5913912803205749cd164b6f","Microrregião de Cametá",0.538012584002721,"2020-05-14","CAMETÁ","CAMETÁ","15011"
"591390ad03205749cd13d155","Microrregião do Cariri Oriental",0.398737373883223,"2020-05-14","CARIRI ORIENTAL","CARIRI ORIENTAL","25011"
"59138d8d03205749cd051b9c","Microrregião Viçosa",0.441000095943838,"2020-05-14","VIÇOSA","VIÇOSA","31062"
"59138e4203205749cd0866e5","Microrregião de Birigui",0.367991484770206,"2020-05-14","BIRIGUI","BIRIGUI","35018"
"59138d8d03205749cd051b8b","Microrregião Piui",0.384845732407371,"2020-05-14","PIUÍ","PIUÍ","31042"
"5913913a03205749cd16abe3","Microrregião de São Miguel do Araguaia",0.418607824866932,"2020-05-14","SÃO MIGUEL DO ARAGUAIA","SÃO MIGUEL DO ARAGUAIA","52001"
"59138d8c03205749cd051b65","Microrregião Cataguases",0.44210840970287,"2020-05-14","CATAGUASES","CATAGUASES","31066"
"5913910c03205749cd15be12","Microrregião de Francisco Beltrão",0.373806751928227,"2020-05-14","FRANCISCO BELTRÃO","FRANCISCO BELTRÃO","41026"
"5913914b03205749cd16f551","Microrregião do Baixo Parnaíba Piauiense",0.456194457936992,"2020-05-14","BAIXO PARNAÍBA PIAUIENSE","BAIXO PARNAÍBA PIAUIENSE","22001"
"59138d8c03205749cd051b79","Microrregião Montes Claros",0.362463296185236,"2020-05-14","MONTES CLAROS","MONTES CLAROS","31007"
