PAIS,UF,COD_UF,COD_MUNIC,CD_GEOCMU,MUNICIPIO,POP2019
BRA,AM,13,1951,1301951,Itamarati,7851
BRA,AM,13,2009,1302009,Itapiranga,9148
BRA,AM,13,2108,1302108,Japurá,2755
BRA,AM,13,2207,1302207,Juruá,14712
BRA,AM,13,2306,1302306,Jutaí,14317
BRA,AM,13,2405,1302405,Lábrea,46069
BRA,AM,13,2504,1302504,Manacapuru,97377
BRA,AM,13,2553,1302553,Manaquiri,32105
BRA,AM,13,2603,1302603,Manaus,2182763
BRA,AM,13,2702,1302702,Manicoré,55751
BRA,AM,13,2801,1302801,Maraã,18224
BRA,AM,13,2900,1302900,Maués,63905
BRA,AM,13,3007,1303007,Nhamundá,21173
BRA,AM,13,3106,1303106,Nova Olinda do Norte,37378
BRA,AM,13,3205,1303205,Novo Airão,19454
BRA,AM,13,3304,1303304,Novo Aripuanã,25644
BRA,AM,13,3403,1303403,Parintins,114273
BRA,AM,13,3502,1303502,Pauini,19426
BRA,AM,13,3536,1303536,Presidente Figueiredo,36279
BRA,AM,13,3569,1303569,Rio Preto da Eva,33347
BRA,AM,13,3601,1303601,Santa Isabel do Rio Negro,25156
BRA,AM,13,3700,1303700,Santo Antônio do Içá,21602
BRA,AM,13,3809,1303809,São Gabriel da Cachoeira,45564
BRA,AM,13,3908,1303908,São Paulo de Olivença,39299
BRA,AM,13,3957,1303957,São Sebastião do Uatumã,14020
BRA,AM,13,4005,1304005,Silves,9171
BRA,AM,13,4062,1304062,Tabatinga,65844
BRA,AM,13,4104,1304104,Tapauá,17156
BRA,AM,13,4203,1304203,Tefé,59849
BRA,AM,13,4237,1304237,Tonantins,18755
BRA,AM,13,4260,1304260,Uarini,13540
BRA,AM,13,4302,1304302,Urucará,16256
BRA,AM,13,4401,1304401,Urucurituba,23065
BRA,RR,14,27,1400027,Amajari,12796
BRA,RR,14,50,1400050,Alto Alegre,15510
BRA,RR,14,100,1400100,Boa Vista,399213
BRA,RR,14,159,1400159,Bonfim,12409
BRA,RR,14,175,1400175,Cantá,18335
BRA,RR,14,209,1400209,Caracaraí,21926
BRA,RR,14,233,1400233,Caroebe,10169
BRA,RR,14,282,1400282,Iracema,11950
BRA,RR,14,308,1400308,Mucajaí,17853
BRA,RR,14,407,1400407,Normandia,11290
BRA,RR,14,456,1400456,Pacaraima,17401
BRA,RR,14,472,1400472,Rorainópolis,30163
BRA,RR,14,506,1400506,São João da Baliza,8201
BRA,RR,14,605,1400605,São Luiz,7986
BRA,RR,14,704,1400704,Uiramutã,10559
BRA,PA,15,107,1500107,Abaetetuba,157698
BRA,PA,15,131,1500131,Abel Figueiredo,7434
BRA,PA,15,206,1500206,Acará,55591
BRA,PA,15,305,1500305,Afuá,39218
BRA,PA,15,347,1500347,Água Azul do Norte,27430
BRA,PA,15,404,1500404,Alenquer,56789
BRA,PA,15,503,1500503,Almeirim,34109
BRA,PA,15,602,1500602,Altamira,114594
BRA,PA,15,701,1500701,Anajás,29277
BRA,PA,15,800,1500800,Ananindeua,530598
BRA,PA,15,859,1500859,Anapu,27890
BRA,PA,15,909,1500909,Augusto Corrêa,45998
BRA,PA,15,958,1500958,Aurora do Pará,31338
BRA,PA,15,1006,1501006,Aveiro,16388
BRA,PA,15,1105,1501105,Bagre,30673
BRA,PA,15,1204,1501204,Baião,47446
BRA,PA,15,1253,1501253,Bannach,3286
BRA,PA,15,1303,1501303,Barcarena,124680
BRA,PA,15,1402,1501402,Belém,1492745
BRA,PA,15,1451,1501451,Belterra,17732
BRA,PA,15,1501,1501501,Benevides,62737
BRA,PA,15,1576,1501576,Bom Jesus do Tocantins,16981
BRA,PA,15,1600,1501600,Bonito,16286
BRA,PA,15,1709,1501709,Bragança,127686
BRA,PA,15,1725,1501725,Brasil Novo,15086
BRA,PA,15,1758,1501758,Brejo Grande do Araguaia,7380
BRA,PA,15,1782,1501782,Breu Branco,66046
BRA,PA,15,1808,1501808,Breves,102701
BRA,PA,15,1907,1501907,Bujaru,29132
BRA,PA,15,1956,1501956,Cachoeira do Piriá,33900
BRA,PA,15,2004,1502004,Cachoeira do Arari,23767
BRA,PA,15,2103,1502103,Cametá,137890
BRA,PA,15,2152,1502152,Canaã dos Carajás,37085
BRA,PA,15,2202,1502202,Capanema,69027
BRA,PA,15,2301,1502301,Capitão Poço,54303
BRA,PA,15,2400,1502400,Castanhal,200793
BRA,PA,15,2509,1502509,Chaves,23717
BRA,PA,15,2608,1502608,Colares,12085
BRA,PA,15,2707,1502707,Conceição do Araguaia,47864
BRA,PA,15,2756,1502756,Concórdia do Pará,33318
BRA,PA,15,2764,1502764,Cumaru do Norte,13473
BRA,PA,15,2772,1502772,Curionópolis,17929
BRA,PA,15,2806,1502806,Curralinho,34448
BRA,PA,15,2855,1502855,Curuá,14393
BRA,PA,15,2905,1502905,Curuçá,40066
BRA,PA,15,2939,1502939,Dom Eliseu,59719
BRA,PA,15,2954,1502954,Eldorado do Carajás,33808
BRA,PA,15,3002,1503002,Faro,7194
BRA,PA,15,3044,1503044,Floresta do Araguaia,20304
BRA,PA,15,3077,1503077,Garrafão do Norte,26066
BRA,PA,15,3093,1503093,Goianésia do Pará,40475
BRA,PA,15,3101,1503101,Gurupá,33376
BRA,PA,15,3200,1503200,Igarapé-Açu,38807
BRA,PA,15,3309,1503309,Igarapé-Miri,62698
BRA,PA,15,3408,1503408,Inhangapi,11711
BRA,PA,15,3457,1503457,Ipixuna do Pará,64053
BRA,PA,15,3507,1503507,Irituia,32550
